instrument,horizon,class,n,frac,below_floor,year
ES,1,DIRECT_BULLISH_EXPANSION,383,0.31163547599674535,False,
ES,1,DIRECT_BEARISH_EXPANSION,349,0.2839707078925956,False,
ES,1,TWO_SIDED_BALANCED,263,0.21399511798209928,False,
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,130,0.10577705451586655,False,
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,94,0.07648494711147275,False,
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,10,0.008136696501220505,True,
ES,1,DIRECT_BEARISH_EXPANSION,54,0.2755102040816326,False,2018.0
ES,1,DIRECT_BULLISH_EXPANSION,53,0.27040816326530615,False,2018.0
ES,1,TWO_SIDED_BALANCED,39,0.1989795918367347,False,2018.0
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,33,0.1683673469387755,False,2018.0
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,15,0.07653061224489796,True,2018.0
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,2,0.01020408163265306,True,2018.0
ES,1,DIRECT_BEARISH_EXPANSION,95,0.3682170542635659,False,2019.0
ES,1,DIRECT_BULLISH_EXPANSION,85,0.32945736434108525,False,2019.0
ES,1,TWO_SIDED_BALANCED,46,0.17829457364341086,False,2019.0
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,18,0.06976744186046512,True,2019.0
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,13,0.050387596899224806,True,2019.0
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,1,0.003875968992248062,True,2019.0
ES,1,DIRECT_BULLISH_EXPANSION,76,0.29343629343629346,False,2020.0
ES,1,DIRECT_BEARISH_EXPANSION,61,0.23552123552123552,False,2020.0
ES,1,TWO_SIDED_BALANCED,59,0.2277992277992278,False,2020.0
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,31,0.11969111969111969,False,2020.0
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,29,0.11196911196911197,False,2020.0
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,3,0.011583011583011582,True,2020.0
ES,1,DIRECT_BULLISH_EXPANSION,82,0.3178294573643411,False,2021.0
ES,1,DIRECT_BEARISH_EXPANSION,78,0.3023255813953488,False,2021.0
ES,1,TWO_SIDED_BALANCED,56,0.21705426356589147,False,2021.0
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,21,0.08139534883720931,False,2021.0
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,19,0.07364341085271318,True,2021.0
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,2,0.007751937984496124,True,2021.0
ES,1,DIRECT_BULLISH_EXPANSION,87,0.3372093023255814,False,2022.0
ES,1,TWO_SIDED_BALANCED,63,0.2441860465116279,False,2022.0
ES,1,DIRECT_BEARISH_EXPANSION,61,0.2364341085271318,False,2022.0
ES,1,SAME_BAR_BULLISH_REVERSAL_PROXY,29,0.1124031007751938,False,2022.0
ES,1,SAME_BAR_BEARISH_REVERSAL_PROXY,16,0.06201550387596899,True,2022.0
ES,1,SAME_BAR_DUAL_SIDED_AMBIGUOUS,2,0.007751937984496124,True,2022.0
ES,3,DIRECT_BULLISH_EXPANSION,338,0.2752442996742671,False,
ES,3,DIRECT_BEARISH_EXPANSION,332,0.2703583061889251,False,
ES,3,TWO_SIDED_BALANCED,191,0.15553745928338764,False,
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,139,0.11319218241042345,False,
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,75,0.061074918566775244,False,
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,58,0.04723127035830619,False,
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,52,0.04234527687296417,False,
ES,3,BALANCE_FAILURE_TO_EXPAND,18,0.014657980456026058,True,
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,15,0.012214983713355049,True,
ES,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,10,0.008143322475570033,True,
ES,3,DIRECT_BULLISH_EXPANSION,51,0.2602040816326531,False,2018.0
ES,3,DIRECT_BEARISH_EXPANSION,48,0.24489795918367346,False,2018.0
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,27,0.1377551020408163,False,2018.0
ES,3,TWO_SIDED_BALANCED,27,0.1377551020408163,False,2018.0
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,12,0.061224489795918366,True,2018.0
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,11,0.05612244897959184,True,2018.0
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,9,0.04591836734693878,True,2018.0
ES,3,BALANCE_FAILURE_TO_EXPAND,6,0.030612244897959183,True,2018.0
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,3,0.015306122448979591,True,2018.0
ES,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,2,0.01020408163265306,True,2018.0
ES,3,DIRECT_BEARISH_EXPANSION,85,0.32945736434108525,False,2019.0
ES,3,DIRECT_BULLISH_EXPANSION,71,0.2751937984496124,False,2019.0
ES,3,TWO_SIDED_BALANCED,46,0.17829457364341086,False,2019.0
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,14,0.05426356589147287,True,2019.0
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,14,0.05426356589147287,True,2019.0
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,13,0.050387596899224806,True,2019.0
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,10,0.03875968992248062,True,2019.0
ES,3,BALANCE_FAILURE_TO_EXPAND,3,0.011627906976744186,True,2019.0
ES,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,1,0.003875968992248062,True,2019.0
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,1,0.003875968992248062,True,2019.0
ES,3,DIRECT_BULLISH_EXPANSION,74,0.2868217054263566,False,2020.0
ES,3,DIRECT_BEARISH_EXPANSION,60,0.23255813953488372,False,2020.0
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,41,0.15891472868217055,False,2020.0
ES,3,TWO_SIDED_BALANCED,38,0.14728682170542637,False,2020.0
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,14,0.05426356589147287,True,2020.0
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,13,0.050387596899224806,True,2020.0
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,9,0.03488372093023256,True,2020.0
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,3,0.011627906976744186,True,2020.0
ES,3,BALANCE_FAILURE_TO_EXPAND,3,0.011627906976744186,True,2020.0
ES,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,3,0.011627906976744186,True,2020.0
ES,3,DIRECT_BULLISH_EXPANSION,72,0.27906976744186046,False,2021.0
ES,3,DIRECT_BEARISH_EXPANSION,67,0.2596899224806202,False,2021.0
ES,3,TWO_SIDED_BALANCED,43,0.16666666666666666,False,2021.0
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,29,0.1124031007751938,False,2021.0
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,19,0.07364341085271318,True,2021.0
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,15,0.05813953488372093,True,2021.0
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,5,0.01937984496124031,True,2021.0
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,3,0.011627906976744186,True,2021.0
ES,3,BALANCE_FAILURE_TO_EXPAND,3,0.011627906976744186,True,2021.0
ES,3,NOT_APPLICABLE_AMBIGUOUS_PROXY,2,0.007751937984496124,True,2021.0
ES,3,DIRECT_BEARISH_EXPANSION,72,0.27906976744186046,False,2022.0
ES,3,DIRECT_BULLISH_EXPANSION,70,0.2713178294573643,False,2022.0
ES,3,TWO_SIDED_BALANCED,37,0.1434108527131783,False,2022.0
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,28,0.10852713178294573,False,2022.0
ES,3,INITIAL_UPSIDE_BEARISH_REVERSAL,21,0.08139534883720931,False,2022.0
ES,3,INITIAL_DOWNSIDE_BULLISH_REVERSAL,11,0.04263565891472868,True,2022.0
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,9,0.03488372093023256,True,2022.0
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,5,0.01937984496124031,True,2022.0
ES,3,BALANCE_FAILURE_TO_EXPAND,3,0.011627906976744186,True,2022.0
