instrument,horizon,label,n,frac,below_floor
ES,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,147,0.6150627615062761,False
ES,3,LATER_OPPOSITE_SIDE_TAKEOVER,54,0.22594142259414227,False
ES,3,BALANCE_FAILURE_TO_EXPAND,20,0.08368200836820083,False
ES,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,18,0.07531380753138076,True
ES,5,CONTINUATION_EXPANSION_PROXY_DIRECTION,144,0.602510460251046,False
ES,5,LATER_OPPOSITE_SIDE_TAKEOVER,56,0.23430962343096234,False
ES,5,LATER_ORDERED_REVERSAL_AFTER_PROXY,31,0.1297071129707113,False
ES,5,BALANCE_FAILURE_TO_EXPAND,8,0.03347280334728033,True
ES,10,CONTINUATION_EXPANSION_PROXY_DIRECTION,128,0.5378151260504201,False
ES,10,LATER_OPPOSITE_SIDE_TAKEOVER,60,0.25210084033613445,False
ES,10,LATER_ORDERED_REVERSAL_AFTER_PROXY,50,0.21008403361344538,False
ES,15,CONTINUATION_EXPANSION_PROXY_DIRECTION,120,0.5042016806722689,False
ES,15,LATER_OPPOSITE_SIDE_TAKEOVER,60,0.25210084033613445,False
ES,15,LATER_ORDERED_REVERSAL_AFTER_PROXY,58,0.24369747899159663,False
ES,30,CONTINUATION_EXPANSION_PROXY_DIRECTION,110,0.46218487394957986,False
ES,30,LATER_ORDERED_REVERSAL_AFTER_PROXY,66,0.2773109243697479,False
ES,30,LATER_OPPOSITE_SIDE_TAKEOVER,62,0.2605042016806723,False
ES,60,CONTINUATION_EXPANSION_PROXY_DIRECTION,98,0.4117647058823529,False
ES,60,LATER_ORDERED_REVERSAL_AFTER_PROXY,77,0.3235294117647059,False
ES,60,LATER_OPPOSITE_SIDE_TAKEOVER,63,0.2647058823529412,False
NQ,3,CONTINUATION_EXPANSION_PROXY_DIRECTION,139,0.7239583333333334,False
NQ,3,LATER_OPPOSITE_SIDE_TAKEOVER,32,0.16666666666666666,False
NQ,3,BALANCE_FAILURE_TO_EXPAND,12,0.0625,True
NQ,3,LATER_ORDERED_REVERSAL_AFTER_PROXY,9,0.046875,True
NQ,5,CONTINUATION_EXPANSION_PROXY_DIRECTION,124,0.6458333333333334,False
NQ,5,LATER_OPPOSITE_SIDE_TAKEOVER,32,0.16666666666666666,False
NQ,5,LATER_ORDERED_REVERSAL_AFTER_PROXY,30,0.15625,False
NQ,5,BALANCE_FAILURE_TO_EXPAND,6,0.03125,True
NQ,10,CONTINUATION_EXPANSION_PROXY_DIRECTION,109,0.5706806282722513,False
NQ,10,LATER_ORDERED_REVERSAL_AFTER_PROXY,49,0.25654450261780104,False
NQ,10,LATER_OPPOSITE_SIDE_TAKEOVER,32,0.16753926701570682,False
NQ,10,BALANCE_FAILURE_TO_EXPAND,1,0.005235602094240838,True
NQ,15,CONTINUATION_EXPANSION_PROXY_DIRECTION,103,0.5392670157068062,False
NQ,15,LATER_ORDERED_REVERSAL_AFTER_PROXY,56,0.2931937172774869,False
NQ,15,LATER_OPPOSITE_SIDE_TAKEOVER,32,0.16753926701570682,False
NQ,30,CONTINUATION_EXPANSION_PROXY_DIRECTION,93,0.4869109947643979,False
NQ,30,LATER_ORDERED_REVERSAL_AFTER_PROXY,66,0.34554973821989526,False
NQ,30,LATER_OPPOSITE_SIDE_TAKEOVER,32,0.16753926701570682,False
NQ,60,LATER_ORDERED_REVERSAL_AFTER_PROXY,85,0.44502617801047123,False
NQ,60,CONTINUATION_EXPANSION_PROXY_DIRECTION,74,0.387434554973822,False
NQ,60,LATER_OPPOSITE_SIDE_TAKEOVER,32,0.16753926701570682,False
