instrument,ema_session_definition,ema_span,approach_side,time_stratum,year,n_events,same_bar_rej_minus_brk,barrier0.5_rej_minus_brk_first_rate,barrier1.0_rej_minus_brk_first_rate,median_signed_close_atr,sign
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,2018,111,-0.009009009009009009,0.018018018018018018,0.02702702702702703,0.5194237318308914,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,2019,103,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.16613135705643287,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,2020,109,0.10091743119266056,0.045871559633027525,0.08256880733944955,0.27057141774872956,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,2021,112,-0.03571428571428571,-0.008928571428571428,-0.044642857142857144,0.10664548575603812,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,2022,104,0.019230769230769232,-0.15384615384615385,-0.028846153846153848,-0.24075973771530246,-1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,2018,141,0.0070921985815602835,0.0,0.0070921985815602835,0.01574019561154797,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,2019,154,0.06493506493506493,0.03896103896103896,0.09090909090909091,0.16180724638783783,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,2020,164,0.024390243902439025,0.11585365853658537,0.10365853658536585,0.2964262399808576,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,2021,135,0.022222222222222223,0.1037037037037037,-0.02962962962962963,0.16812792147957778,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,2022,126,0.0,0.06349206349206349,-0.0873015873015873,-0.12787724352094026,-1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,2018,194,0.09278350515463918,0.061855670103092786,0.005154639175257732,-0.003509655026527332,-1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,2019,207,0.14009661835748793,0.1642512077294686,0.13526570048309178,0.12007923644432594,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,2020,236,0.059322033898305086,0.15677966101694915,0.11440677966101695,0.06640687315325292,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,2021,214,0.009345794392523364,0.056074766355140186,-0.004672897196261682,0.08213320288372675,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,2022,191,-0.005235602094240838,-0.031413612565445025,-0.03664921465968586,-0.16055290020867427,-1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,2018,226,0.07964601769911504,0.030973451327433628,0.035398230088495575,0.13025687612146913,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,2019,255,-0.0196078431372549,0.09803921568627451,0.1411764705882353,0.24501732752738334,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,2020,223,-0.07623318385650224,-0.06726457399103139,-0.004484304932735426,0.0023943757210681247,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,2021,234,-0.008547008547008548,0.05555555555555555,-0.021367521367521368,-0.09036991025459286,-1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,2022,205,0.014634146341463415,0.05853658536585366,0.00975609756097561,0.31757212220751047,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,2018,672,0.05357142857142857,0.03125,0.019345238095238096,0.120728529160322,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,2019,719,0.054242002781641166,0.1043115438108484,0.11404728789986092,0.1688707394654617,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,2020,732,0.01639344262295082,0.06284153005464481,0.07103825136612021,0.10632891816202057,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,2021,695,-0.0014388489208633094,0.05467625899280575,-0.02158273381294964,0.10209763431963177,1.0
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,2022,626,0.006389776357827476,-0.003194888178913738,-0.03035143769968051,-0.07003963589256995,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,2018,108,0.037037037037037035,0.009259259259259259,0.12037037037037036,0.8482282752359552,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,2019,98,0.10204081632653061,0.09183673469387756,-0.05102040816326531,-0.04273253314281253,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,2020,115,-0.0782608695652174,-0.13043478260869565,-0.017391304347826087,-0.3278813232349242,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,2021,94,0.02127659574468085,0.07446808510638298,0.19148936170212766,0.010607550602783887,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,2022,117,-0.1111111111111111,-0.008547008547008548,0.0,0.012409330760049398,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,2018,122,0.22950819672131148,0.08196721311475409,0.0,-0.3536468872054571,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,2019,144,-0.06944444444444445,0.20833333333333334,0.027777777777777776,-0.0763859822063324,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,2020,117,0.09401709401709402,0.1282051282051282,0.1282051282051282,-0.09266554429542093,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,2021,129,0.13178294573643412,0.023255813953488372,0.06201550387596899,0.03356796420351169,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,2022,148,0.20270270270270271,0.06756756756756757,0.05405405405405406,-0.0009310876567555915,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,2018,192,-0.052083333333333336,-0.041666666666666664,0.125,0.219331275574562,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,2019,179,0.027932960893854747,-0.027932960893854747,0.0223463687150838,-0.18525672829942344,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,2020,162,-0.04938271604938271,0.030864197530864196,0.006172839506172839,-0.28262004867697976,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,2021,169,-0.10059171597633136,-0.14792899408284024,-0.07100591715976332,-0.2908398608187044,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,2022,173,0.12138728323699421,0.005780346820809248,-0.028901734104046242,-0.0831683889711554,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,2018,205,0.12195121951219512,0.024390243902439025,0.03902439024390244,-0.09179162416909424,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,2019,185,0.03783783783783784,-0.02702702702702703,0.005405405405405406,-0.05255257507478843,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,2020,174,0.011494252873563218,0.14367816091954022,0.10344827586206896,-0.21473865473369447,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,2021,161,-0.006211180124223602,0.08695652173913043,0.13664596273291926,0.021240572228792044,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,2022,190,0.010526315789473684,-0.005263157894736842,-0.031578947368421054,-0.0551749502663799,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,2018,627,0.07496012759170653,0.012759170653907496,0.07177033492822966,0.0908580466607101,1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,2019,606,0.019801980198019802,0.04785478547854786,0.006600660066006601,-0.10931788279884608,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,2020,568,-0.007042253521126761,0.0528169014084507,0.056338028169014086,-0.22299746880092147,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,2021,553,0.0018083182640144665,-0.0018083182640144665,0.0650994575045208,-0.10045411142138098,-1.0
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,2022,628,0.06369426751592357,0.014331210191082803,-0.004777070063694267,-0.034645426790882394,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,OPEN,2018,113,0.07964601769911504,0.02654867256637168,0.08849557522123894,0.5605701138557843,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,OPEN,2019,102,0.0392156862745098,0.0784313725490196,0.0196078431372549,0.1285893803268084,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,OPEN,2020,111,0.17117117117117117,0.12612612612612611,0.11711711711711711,0.1702475811801531,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,OPEN,2021,111,-0.08108108108108109,-0.018018018018018018,0.009009009009009009,-0.004199722537961469,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,OPEN,2022,104,0.038461538461538464,-0.16346153846153846,0.0,-0.19308539354806276,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MID_MORNING,2018,141,0.02127659574468085,0.0,0.0070921985815602835,-0.007551820480330207,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MID_MORNING,2019,153,0.08496732026143791,0.10457516339869281,0.12418300653594772,0.2223816272688028,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MID_MORNING,2020,162,0.024691358024691357,0.09259259259259259,0.08024691358024691,0.2344144968129727,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MID_MORNING,2021,129,-0.023255813953488372,0.05426356589147287,-0.06976744186046512,0.1879449750525358,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MID_MORNING,2022,126,-0.047619047619047616,0.07936507936507936,-0.07142857142857142,-0.17185034114968017,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MIDDAY,2018,192,0.07291666666666667,0.078125,0.015625,-0.006773868248152152,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MIDDAY,2019,205,0.21951219512195122,0.2146341463414634,0.16097560975609757,0.13606343213344493,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MIDDAY,2020,229,0.10043668122270742,0.11353711790393013,0.11353711790393013,0.11386613998347515,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MIDDAY,2021,210,-0.01904761904761905,0.06190476190476191,0.05238095238095238,0.09417965533995518,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,MIDDAY,2022,189,0.005291005291005291,-0.037037037037037035,-0.037037037037037035,-0.13572458419645006,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,AFTERNOON,2018,217,0.004608294930875576,0.0,0.027649769585253458,0.19223651939545613,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,AFTERNOON,2019,255,0.00392156862745098,0.10980392156862745,0.13333333333333333,0.2732381866482353,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,AFTERNOON,2020,222,-0.13513513513513514,-0.10810810810810811,-0.04504504504504504,-0.12445021612894969,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,AFTERNOON,2021,237,0.029535864978902954,0.08438818565400844,0.012658227848101266,-0.056298871117996536,-1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,AFTERNOON,2022,206,0.009708737864077669,0.06796116504854369,0.009708737864077669,0.21700801700235345,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,ALL_RTH,2018,663,0.04072398190045249,0.027149321266968326,0.030165912518853696,0.13767186569548964,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,ALL_RTH,2019,715,0.08811188811188811,0.13426573426573427,0.12307692307692308,0.2058873522506933,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,ALL_RTH,2020,724,0.022099447513812154,0.04281767955801105,0.058011049723756904,0.10766950118945001,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,ALL_RTH,2021,687,-0.013100436681222707,0.055312954876273655,0.008733624454148471,0.08691097897462896,1.0
ES,FULL_SESSION_EMA,21,FROM_ABOVE,ALL_RTH,2022,625,0.0016,0.0,-0.0224,-0.05462741620413333,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,OPEN,2018,108,0.0,0.06481481481481481,0.12037037037037036,0.7287226709703722,1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,OPEN,2019,99,0.050505050505050504,0.06060606060606061,0.0,0.1226727589152317,1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,OPEN,2020,117,-0.07692307692307693,-0.10256410256410256,-0.017094017094017096,-0.31248385181238014,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,OPEN,2021,96,-0.020833333333333332,0.052083333333333336,0.1875,-0.1865106940577048,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,OPEN,2022,118,-0.0847457627118644,-0.00847457627118644,-0.025423728813559324,-0.038142376561063444,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MID_MORNING,2018,122,0.18032786885245902,0.040983606557377046,0.0,-0.2793551905455155,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MID_MORNING,2019,141,0.0070921985815602835,0.18439716312056736,0.02127659574468085,-0.09023617821718478,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MID_MORNING,2020,114,0.19298245614035087,0.19298245614035087,0.18421052631578946,-0.051896259440794755,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MID_MORNING,2021,123,0.024390243902439025,0.0,0.008130081300813009,-0.04890444263089323,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MID_MORNING,2022,145,0.14482758620689656,0.041379310344827586,0.05517241379310345,0.0035606467290226888,1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MIDDAY,2018,186,-0.053763440860215055,-0.06451612903225806,0.12903225806451613,0.24031848284796,1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MIDDAY,2019,172,-0.011627906976744186,-0.040697674418604654,-0.01744186046511628,-0.1102665323140555,-1.0
ES,FULL_SESSION_EMA,21,FROM_BELOW,MIDDAY,2020,165,-0.10303030303030303,0.03636363636363636,0.0,-0.29055433875431225,-1.0
