session_date,n_bars,n_valid_z1,n_ev_k1,n_ev_k3
2018-09-24,1357,1325,34,20
2018-09-25,1355,1312,23,12
2018-09-26,1362,1328,63,36
2018-09-27,1363,1334,62,29
2018-09-28,1353,1312,52,45
2018-10-01,1362,1324,59,25
2018-10-02,1355,1318,58,38
2018-10-03,1361,1318,72,42
2018-10-04,1365,1329,125,105
2018-10-05,1362,1310,124,141
2018-10-08,1364,1325,130,113
2018-10-09,1364,1327,113,112
2018-10-10,1363,1327,227,236
2018-10-11,1365,1350,556,688
2018-10-12,1365,1349,360,451
2018-10-15,1365,1350,229,318
2018-10-16,1365,1354,111,135
2018-10-17,1365,1333,122,141
2018-10-18,1365,1346,200,224
2018-10-19,1365,1341,164,215
2018-10-22,1365,1353,191,229
2018-10-23,1365,1345,274,380
2018-10-24,1365,1347,276,351
2018-10-25,1365,1352,292,401
2018-10-26,1365,1357,446,572
2018-10-29,1365,1357,297,369
2018-10-30,1365,1355,294,394
2018-10-31,1365,1355,119,181
2018-11-01,1365,1359,116,138
2018-11-02,1365,1359,185,232
2018-11-05,1365,1362,61,85
2018-11-06,1364,1354,53,82
2018-11-07,1365,1357,141,215
2018-11-08,1365,1357,46,64
2018-11-09,1364,1360,90,111
2018-11-12,1365,1363,111,156
2018-11-13,1365,1361,185,286
2018-11-14,1365,1363,171,242
2018-11-15,1365,1362,222,334
2018-11-16,1365,1362,122,137
2018-11-19,1364,1361,108,117
2018-11-20,1365,1362,170,236
2018-11-21,1365,1362,93,122
2018-11-22,1137,1134,30,43
2018-11-23,1155,1152,40,46
2018-11-26,1365,1362,49,64
2018-11-27,1365,1363,89,100
2018-11-28,1364,1360,36,40
2018-11-29,1365,1362,24,32
2018-11-30,1362,1360,15,30
2018-12-03,1365,1363,39,59
2018-12-04,1365,1364,104,127
2018-12-05,930,928,32,50
2018-12-06,1365,1364,273,308
2018-12-07,1365,1363,153,148
2018-12-10,1365,1364,154,180
2018-12-11,1365,1364,121,137
2018-12-12,1365,1364,92,115
2018-12-13,1365,1363,71,67
2018-12-14,1365,1363,82,83
2018-12-17,1364,1362,76,76
2018-12-18,1365,1364,67,99
2018-12-19,1365,1364,96,84
2018-12-20,1365,1364,186,213
2018-12-21,1365,1364,171,161
2018-12-24,1155,1154,148,160
2018-12-26,1365,1364,239,227
2018-12-27,1365,1364,180,176
2018-12-28,1365,1364,142,144
2018-12-31,1364,1363,33,30
2019-01-02,1365,1364,107,112
