instrument,level_id,horizon,b,n,continuation_first_rate,reversal_first_rate,same_bar_tie_rate,neither_rate
ES,LOWER_k0,1,0.5,1086,0.3287292817679558,0.3314917127071823,0.3250460405156538,0.014732965009208104
ES,LOWER_k0,2,0.5,1086,0.3342541436464088,0.3333333333333333,0.3268876611418048,0.0055248618784530384
ES,LOWER_k0,3,0.5,1086,0.3351749539594843,0.3360957642725598,0.3268876611418048,0.001841620626151013
ES,LOWER_k0,4,0.5,1086,0.3351749539594843,0.3360957642725598,0.3268876611418048,0.001841620626151013
ES,LOWER_k0,5,0.5,1086,0.3351749539594843,0.3370165745856354,0.3268876611418048,0.0009208103130755065
ES,LOWER_k0,10,0.5,1086,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0
ES,LOWER_k0,15,0.5,1086,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0
ES,LOWER_k0,20,0.5,1086,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0
ES,LOWER_k0,30,0.5,1086,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0
ES,LOWER_k0,60,0.5,1086,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0
ES,LOWER_k0,120,0.5,1086,0.3351749539594843,0.3379373848987109,0.3268876611418048,0.0
ES,LOWER_k1,1,0.5,1006,0.33697813121272363,0.3260437375745527,0.3230616302186879,0.013916500994035786
ES,LOWER_k1,2,0.5,1006,0.34393638170974156,0.33001988071570576,0.3240556660039761,0.0019880715705765406
ES,LOWER_k1,3,0.5,1006,0.34393638170974156,0.33101391650099404,0.3240556660039761,0.0009940357852882703
ES,LOWER_k1,4,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,5,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,10,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,15,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,20,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,30,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,60,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k1,120,0.5,1006,0.34493041749502984,0.33101391650099404,0.3240556660039761,0.0
ES,LOWER_k2,1,0.5,923,0.31094257854821233,0.3456121343445287,0.3282773564463705,0.015167930660888408
ES,LOWER_k2,2,0.5,923,0.3174431202600217,0.34994582881906827,0.3293607800650054,0.0032502708559046588
ES,LOWER_k2,3,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,4,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,5,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,10,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,15,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,20,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,30,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,60,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k2,120,0.5,923,0.31852654387865653,0.35102925243770317,0.3304442036836403,0.0
ES,LOWER_k3,1,0.5,854,0.2997658079625293,0.34894613583138173,0.33840749414519905,0.01288056206088993
ES,LOWER_k3,2,0.5,854,0.3044496487119438,0.35362997658079626,0.3395784543325527,0.00234192037470726
ES,LOWER_k3,3,0.5,854,0.3044496487119438,0.3548009367681499,0.3395784543325527,0.00117096018735363
ES,LOWER_k3,4,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,5,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,10,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,15,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,20,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,30,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,60,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,LOWER_k3,120,0.5,854,0.30562060889929743,0.3548009367681499,0.3395784543325527,0.0
ES,UPPER_k0,1,0.5,1110,0.3567567567567568,0.3342342342342342,0.2981981981981982,0.010810810810810811
ES,UPPER_k0,2,0.5,1110,0.3621621621621622,0.33603603603603605,0.2981981981981982,0.0036036036036036037
ES,UPPER_k0,3,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,4,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,5,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,10,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,15,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,20,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,30,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,60,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k0,120,0.5,1110,0.3630630630630631,0.3387387387387387,0.2981981981981982,0.0
ES,UPPER_k1,1,0.5,1019,0.3434739941118744,0.35034347399411186,0.2845927379784102,0.021589793915603533
ES,UPPER_k1,2,0.5,1019,0.352306182531894,0.3562315996074583,0.2855740922473013,0.005888125613346418
ES,UPPER_k1,3,0.5,1019,0.35525024533856725,0.3562315996074583,0.2855740922473013,0.002944062806673209
ES,UPPER_k1,4,0.5,1019,0.35525024533856725,0.3572129538763494,0.2855740922473013,0.001962708537782139
ES,UPPER_k1,5,0.5,1019,0.35525024533856725,0.3572129538763494,0.2855740922473013,0.001962708537782139
ES,UPPER_k1,10,0.5,1019,0.35525024533856725,0.35819430814524045,0.2855740922473013,0.0009813542688910696
ES,UPPER_k1,15,0.5,1019,0.35525024533856725,0.3591756624141315,0.2855740922473013,0.0
ES,UPPER_k1,20,0.5,1019,0.35525024533856725,0.3591756624141315,0.2855740922473013,0.0
ES,UPPER_k1,30,0.5,1019,0.35525024533856725,0.3591756624141315,0.2855740922473013,0.0
ES,UPPER_k1,60,0.5,1019,0.35525024533856725,0.3591756624141315,0.2855740922473013,0.0
ES,UPPER_k1,120,0.5,1019,0.35525024533856725,0.3591756624141315,0.2855740922473013,0.0
ES,UPPER_k2,1,0.5,926,0.35205183585313177,0.32937365010799136,0.2894168466522678,0.029157667386609073
ES,UPPER_k2,2,0.5,926,0.3596112311015119,0.34017278617710583,0.2894168466522678,0.01079913606911447
ES,UPPER_k2,3,0.5,926,0.36069114470842334,0.3444924406047516,0.2894168466522678,0.005399568034557235
ES,UPPER_k2,4,0.5,926,0.36069114470842334,0.34557235421166305,0.2894168466522678,0.004319654427645789
ES,UPPER_k2,5,0.5,926,0.3617710583153348,0.34773218142548595,0.2894168466522678,0.0010799136069114472
ES,UPPER_k2,10,0.5,926,0.3617710583153348,0.34773218142548595,0.2894168466522678,0.0010799136069114472
ES,UPPER_k2,15,0.5,926,0.36285097192224625,0.34773218142548595,0.2894168466522678,0.0
ES,UPPER_k2,20,0.5,926,0.36285097192224625,0.34773218142548595,0.2894168466522678,0.0
ES,UPPER_k2,30,0.5,926,0.36285097192224625,0.34773218142548595,0.2894168466522678,0.0
ES,UPPER_k2,60,0.5,926,0.36285097192224625,0.34773218142548595,0.2894168466522678,0.0
