instrument,level_id,activation_window,n_touch_in_A,n_nonneutral_samebar,same_bar_reversal_rate,same_bar_blast_through_rate,same_bar_rev_minus_blast_diff,p_raw,q_value
ES,UPPER_k3,1,42,42,0.5476190476190477,0.4523809523809524,0.09523809523809523,0.6439689563703723,0.899512193025282
ES,UPPER_k3,2,111,111,0.5135135135135135,0.4864864864864865,0.02702702702702703,0.8495501873144536,0.970914499787947
ES,UPPER_k3,3,200,200,0.5,0.5,0.0,1.0,1.0
ES,UPPER_k3,4,252,252,0.5198412698412699,0.4801587301587302,0.03968253968253968,0.5708375672009757,0.8678764686399579
ES,UPPER_k3,5,284,284,0.5140845070422535,0.4859154929577465,0.028169014084507043,0.6779427203063527,0.9043644203620076
ES,UPPER_k3,10,427,427,0.5269320843091335,0.47306791569086654,0.053864168618266976,0.2870199679954342,0.6281125459455905
ES,UPPER_k3,15,517,517,0.5261121856866537,0.4738878143133462,0.05222437137330754,0.2528165408881122,0.6012933945446992
ES,UPPER_k3,20,581,581,0.5094664371772806,0.4905335628227194,0.0189328743545611,0.6782733152715057,0.9043644203620076
ES,UPPER_k3,30,641,641,0.5039001560062403,0.4960998439937597,0.0078003120124804995,0.8744801008137411,0.9741044160963191
ES,UPPER_k3,60,756,756,0.5158730158730159,0.48412698412698413,0.031746031746031744,0.4028882674248667,0.7140915917316679
ES,UPPER_k3,120,857,857,0.5274212368728122,0.4725787631271879,0.05484247374562427,0.11605389046478713,0.4255309317042195
NQ,LOWER_k0,1,538,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,0.0007479119893617499,0.024389659531849447
NQ,LOWER_k0,2,712,710,0.5603932584269663,0.43679775280898875,0.12359550561797752,0.0010801454726388521,0.024389659531849447
NQ,LOWER_k0,3,796,794,0.550251256281407,0.4472361809045226,0.10301507537688442,0.004017532918885424,0.048463770286648465
NQ,LOWER_k0,4,836,834,0.5442583732057417,0.4533492822966507,0.09090909090909091,0.009362319259920726,0.048463770286648465
NQ,LOWER_k0,5,874,872,0.5434782608695652,0.45423340961098396,0.08924485125858124,0.009080775755122943,0.048463770286648465
NQ,LOWER_k0,10,950,948,0.5347368421052632,0.4631578947368421,0.07157894736842105,0.029497400630755743,0.09983735598101943
NQ,LOWER_k0,15,977,975,0.5353121801432958,0.4626407369498465,0.07267144319344933,0.024924765599351324,0.08773517490971665
NQ,LOWER_k0,20,1010,1008,0.5326732673267327,0.46534653465346537,0.06732673267326733,0.034780484186394074,0.10598992046859576
NQ,LOWER_k0,30,1030,1028,0.5330097087378641,0.4650485436893204,0.06796116504854369,0.031343423668232444,0.10215634380757242
NQ,LOWER_k0,60,1079,1077,0.5291936978683967,0.468952734012975,0.060240963855421686,0.05110562125383986,0.13618176376389718
NQ,LOWER_k0,120,1103,1101,0.5249320036264733,0.4732547597461469,0.051677243880326386,0.09142413565838513,0.1787849763986198
NQ,LOWER_k1,1,244,244,0.6229508196721312,0.3770491803278688,0.2459016393442623,0.00014789780442954,0.013015006789799522
NQ,LOWER_k1,2,416,416,0.5384615384615384,0.46153846153846156,0.07692307692307693,0.12843587331900683,0.21173758547635535
NQ,LOWER_k1,3,526,526,0.5342205323193916,0.46577946768060835,0.06844106463878327,0.12691182082659141,0.21173758547635535
NQ,LOWER_k1,4,574,574,0.5418118466898955,0.45818815331010454,0.08362369337979095,0.04969792359755981,0.13618176376389718
NQ,LOWER_k1,5,625,625,0.5392,0.4608,0.0784,0.05477095513843318,0.13624009959134464
NQ,LOWER_k1,10,760,760,0.5328947368421053,0.46710526315789475,0.06578947368421052,0.07543046725511636,0.15750309745730923
NQ,LOWER_k1,15,809,809,0.5339925834363412,0.46600741656365885,0.06798516687268233,0.05755805849768158,0.13624009959134464
NQ,LOWER_k1,20,855,855,0.5263157894736842,0.47368421052631576,0.05263157894736842,0.13233599092272208,0.21173758547635535
NQ,LOWER_k1,30,894,894,0.5257270693512305,0.4742729306487696,0.05145413870246085,0.13227199650000435,0.21173758547635535
NQ,LOWER_k1,60,962,962,0.5103950103950103,0.4896049896049896,0.02079002079002079,0.5401730323443816,0.5868546524235257
NQ,LOWER_k1,120,1008,1008,0.5109126984126984,0.48908730158730157,0.021825396825396824,0.5083513445262736,0.5735245938245138
NQ,LOWER_k2,1,104,104,0.6634615384615384,0.33653846153846156,0.3269230769230769,0.0011086208878113386,0.024389659531849447
NQ,LOWER_k2,2,220,220,0.5909090909090909,0.4090909090909091,0.18181818181818182,0.008405451752681935,0.048463770286648465
NQ,LOWER_k2,3,329,329,0.574468085106383,0.425531914893617,0.14893617021276595,0.00804014403988747,0.048463770286648465
NQ,LOWER_k2,4,398,398,0.5628140703517588,0.4371859296482412,0.12562814070351758,0.013942186645452838,0.06777569470743447
NQ,LOWER_k2,5,448,448,0.546875,0.453125,0.09375,0.052615681454232996,0.13618176376389718
NQ,LOWER_k2,10,597,597,0.5360134003350083,0.4639865996649916,0.07202680067001675,0.08553883120862105,0.1710776624172421
NQ,LOWER_k2,15,650,650,0.536923076923077,0.46307692307692305,0.07384615384615385,0.06517450814506125,0.14351137276500067
NQ,LOWER_k2,20,712,712,0.5308988764044944,0.4691011235955056,0.06179775280898876,0.10700668108411746,0.19827399976531412
NQ,LOWER_k2,30,779,779,0.5365853658536586,0.4634146341463415,0.07317073170731707,0.04474342536130609,0.1270135945740302
