instrument,level_id,activation_window,horizon,n_eligible_sessions,n_touch_in_A,touch_rate_in_A,n_nonneutral_samebar,same_bar_reversal_rate,same_bar_blast_through_rate,same_bar_rev_minus_blast_diff,median_signed_close_sd,median_cont_exc_sd,median_rev_exc_sd,median_dominance,p_cont_gt_rev,p_rev_gt_cont,post_touch_retouch_rate,directional_close_recross_rate,n_continuation_first,n_reversal_first,n_same_bar_tie,n_neither,n_nontied,b1_continuation_first_rate,b1_reversal_first_rate,b1_same_bar_tie_rate,b1_neither_rate,cont_minus_rev_diff,p_raw,sample_status,q_value
NQ,LOWER_k0,1,1,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,-0.14292393336286915,1.1843398073375626,1.5603872366457385,-0.1418604651162452,0.4463276836158192,0.5536723163841808,0.5875706214689266,0.0,183,225,102,21,408,0.3446327683615819,0.423728813559322,0.192090395480226,0.03954802259887006,-0.07909604519774012,0.042244874379620934,tested,0.13106743076754188
NQ,LOWER_k0,1,2,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,-0.026321866321678454,1.7242112672393253,2.0460825015007438,-0.09380530973456476,0.455743879472693,0.5423728813559322,0.6817325800376648,0.0903954802259887,190,234,102,5,424,0.3578154425612053,0.4406779661016949,0.192090395480226,0.009416195856873822,-0.08286252354048965,0.03664940949687819,tested,0.11952181660455218
NQ,LOWER_k0,1,3,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,-0.07602610091364406,2.105140017595883,2.274061725938987,-0.09041095890412285,0.4708097928436911,0.5291902071563088,0.7288135593220338,0.18267419962335216,190,236,102,3,426,0.3578154425612053,0.4444444444444444,0.192090395480226,0.005649717514124294,-0.08662900188323917,0.02911960197815598,tested,0.10717785062682506
NQ,LOWER_k0,1,4,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,0.0020643608196782423,2.488978776252143,2.4276176130288847,-0.06562499999995458,0.4726930320150659,0.527306967984934,0.7419962335216572,0.2297551789077213,190,236,102,3,426,0.3578154425612053,0.4444444444444444,0.192090395480226,0.005649717514124294,-0.08662900188323917,0.02911960197815598,tested,0.10717785062682506
NQ,LOWER_k0,1,5,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,0.15123914575713038,2.736527713791807,2.737169678487977,-0.028735632183908084,0.4915254237288136,0.5084745762711864,0.768361581920904,0.2693032015065913,192,237,102,0,429,0.3615819209039548,0.4463276836158192,0.192090395480226,0.0,-0.0847457627118644,0.033520395009294476,tested,0.11425261397534174
NQ,LOWER_k0,1,10,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,0.773326629579109,3.6717517488095157,3.5099942728587448,0.0170940170940171,0.5084745762711864,0.4896421845574388,0.8116760828625236,0.3973634651600753,192,237,102,0,429,0.3615819209039548,0.4463276836158192,0.192090395480226,0.0,-0.0847457627118644,0.033520395009294476,tested,0.11425261397534174
NQ,LOWER_k0,1,15,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,-0.053661006060399724,4.24774227185027,3.8995905121354397,0.004507042253537479,0.5028248587570622,0.4971751412429379,0.8342749529190208,0.4726930320150659,192,237,102,0,429,0.3615819209039548,0.4463276836158192,0.192090395480226,0.0,-0.0847457627118644,0.033520395009294476,tested,0.11425261397534174
NQ,LOWER_k0,1,20,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,0.45028151394683374,4.692442153158648,4.283381069074649,0.0077669902912903795,0.5028248587570622,0.4971751412429379,0.8549905838041432,0.5141242937853108,192,237,102,0,429,0.3615819209039548,0.4463276836158192,0.192090395480226,0.0,-0.0847457627118644,0.033520395009294476,tested,0.11425261397534174
NQ,LOWER_k0,1,30,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,-0.08939128837330115,5.410107502026676,4.8800600836009975,0.023353293413182416,0.504708097928437,0.4952919020715631,0.8681732580037664,0.5781544256120528,192,237,102,0,429,0.3615819209039548,0.4463276836158192,0.192090395480226,0.0,-0.0847457627118644,0.033520395009294476,tested,0.11425261397534174
NQ,LOWER_k0,1,60,1277,538,0.42129992169146435,537,0.5724907063197026,0.4256505576208178,0.14684014869888476,-0.09248041420838783,7.1269885115144795,6.383299208738259,0.04827586206895298,0.527306967984934,0.4726930320150659,0.8888888888888888,0.6459510357815442,192,237,102,0,429,0.3615819209039548,0.4463276836158192,0.192090395480226,0.0,-0.0847457627118644,0.033520395009294476,tested,0.11425261397534174
