instrument,level_id,horizon,n,median_signed_close,median_signed_close_sd,median_cont_exc_sd,median_rev_exc_sd,median_dominance,post_touch_retouch_rate,directional_close_recross_rate
ES,LOWER_k0,1,1086,0.125,0.09476629229147662,1.0381848420529876,1.0654060736932585,-0.027619047619061494,0.6077348066298343,0.0
ES,LOWER_k0,2,1086,-0.08749999999986358,-0.06021207867528332,1.4299537557181465,1.4896533821133588,-0.01547619047624673,0.6906077348066298,0.11602209944751381
ES,LOWER_k0,3,1086,-0.08749999999986358,-0.06263774204717018,1.7788546502867029,1.8217936492152464,-0.02878787878792837,0.7338858195211786,0.18968692449355432
ES,LOWER_k0,4,1086,0.0500000000001819,0.030024095676721818,2.045183863628796,2.0875975956856774,-0.04625668449195727,0.7532228360957642,0.2430939226519337
ES,LOWER_k0,5,1086,0.012500000000045475,0.007962294915517644,2.2058135480065726,2.30655469069701,-0.04733893557420832,0.785451197053407,0.2974217311233886
ES,LOWER_k0,10,1086,0.14999999999986358,0.10296407260078363,3.062212356979985,3.0605928689919786,-0.013333333333381808,0.8287292817679558,0.43830570902394106
ES,LOWER_k0,15,1086,-0.1999999999998181,-0.17589911442889333,3.630800577598223,3.5899724734444494,0.0,0.850828729281768,0.5322283609576427
ES,LOWER_k0,20,1086,0.16250000000013642,0.09811091142426609,4.029925254491379,3.9285287704329708,0.0,0.8683241252302025,0.5828729281767956
ES,LOWER_k0,30,1086,-0.21249999999986358,-0.16366042042775453,4.786060214099205,4.692190000631534,0.0,0.8876611418047882,0.6482504604051565
ES,LOWER_k0,60,1086,-0.8625000000001819,-0.6746025686153063,6.364252812774382,5.900033212508351,0.015535444947202532,0.9134438305709024,0.7173112338858195
ES,LOWER_k0,120,1086,-0.5500000000001819,-0.40392073976147935,8.3433042473956,7.497099437092694,0.04783882783882197,0.9318600368324125,0.7744014732965009
ES,LOWER_k1,1,1006,0.07792552002456432,0.055907811468471874,1.042236810494459,1.007259858927914,0.0019782466996051615,0.6252485089463221,0.0
ES,LOWER_k1,2,1006,0.06637052094743012,0.054925984625658765,1.473563114743204,1.4187408259465208,-0.009919923121612665,0.7017892644135189,0.09940357852882704
ES,LOWER_k1,3,1006,-0.06611138479024703,-0.05483247889517785,1.7106075252614557,1.6808352523233323,0.0005743257494384821,0.7345924453280318,0.1918489065606362
ES,LOWER_k1,4,1006,-0.15198061602086455,-0.12040134820241372,2.0272785516918814,1.842909218056068,-0.005756013690281292,0.7703777335984096,0.2544731610337972
ES,LOWER_k1,5,1006,-0.14336030574099823,-0.09784477439300121,2.2501569644543977,2.0866963436572394,-0.003745198467569262,0.7833001988071571,0.30119284294234594
ES,LOWER_k1,10,1006,-0.057135273604671966,-0.02784580679354784,2.947923234166839,2.9266681602125955,-0.020625078466289998,0.8349900596421471,0.46222664015904574
ES,LOWER_k1,15,1006,-0.16890835681556382,-0.10803843296374907,3.485017509013243,3.4801784933850684,-0.03801613169931517,0.8648111332007953,0.5427435387673957
ES,LOWER_k1,20,1006,-0.09292015386495223,-0.07910986024983446,3.9129483057020935,3.9830315012077446,-0.037858967543332546,0.8817097415506958,0.5914512922465208
ES,LOWER_k1,30,1006,-0.2910148991186361,-0.2411763278072983,4.730309451648572,4.707463183409262,-0.04112407287155204,0.9005964214711729,0.6481113320079522
ES,LOWER_k1,60,1006,-0.4613850240825741,-0.3383992451447648,6.369147166481407,5.993550474850954,-0.007446226175799422,0.915506958250497,0.731610337972167
ES,LOWER_k1,120,1006,-0.6073925521006913,-0.5318236776017217,8.555804528850034,7.80346746813415,0.04497459794698218,0.9383697813121272,0.7962226640159046
ES,LOWER_k2,1,923,-0.1141380864819439,-0.09499809499718909,0.9548036982887502,1.0554474180783024,-0.0032842010919314586,0.6023835319609967,0.0
ES,LOWER_k2,2,923,-0.032183566158437316,-0.02997973942124146,1.3471552512338323,1.4397126616388114,-0.07832234769466594,0.6793066088840737,0.09425785482123511
ES,LOWER_k2,3,923,-0.1803256443790815,-0.11828765024455433,1.635578210490922,1.7239737762635714,-0.03853957796700005,0.7063921993499458,0.18743228602383533
ES,LOWER_k2,4,923,-0.24917873365257037,-0.18404021970085044,1.8547855966521323,2.050944303039244,-0.04786987468880558,0.7345612134344529,0.25785482123510295
ES,LOWER_k2,5,923,-0.09192655120205018,-0.06445318749075302,2.037307648573561,2.2117072865278593,-0.01900361745683769,0.7540628385698809,0.29685807150595883
ES,LOWER_k2,10,923,-0.0640248582071763,-0.0426081182544281,2.807457798612169,2.915960179728188,-0.0019737694836460128,0.8255687973997833,0.46045503791982667
ES,LOWER_k2,15,923,-0.44598407038938603,-0.3578667422376513,3.3589492334780156,3.6164477182408397,-0.04438950911314945,0.8537378114842904,0.542795232936078
ES,LOWER_k2,20,923,-0.00690134426804434,-0.003649669116040707,3.9138851003353388,4.135383428174311,-0.03948359448637539,0.866738894907909,0.5839653304442037
ES,LOWER_k2,30,923,-0.2975596900837445,-0.32257499516688254,4.9970767604658946,4.711199085346928,-0.06361817418798203,0.8916576381365113,0.6663055254604551
ES,LOWER_k2,60,923,-0.11027972008696452,-0.11004137184012933,6.589750969544296,6.418758165911972,-0.007115553271829775,0.9154929577464789,0.7464788732394366
ES,LOWER_k2,120,923,-0.5202003478484585,-0.4180638230018203,8.469397824914147,7.786385238073514,0.02434252640991736,0.9371614301191766,0.8104008667388949
ES,LOWER_k3,1,854,-0.03362863455799925,-0.020449198283500482,0.9377803068856679,1.0621419066348672,-0.11066260750403675,0.6018735362997658,0.0
ES,LOWER_k3,2,854,-0.004783940770721529,-0.005061355109654128,1.2588252044406585,1.4978449775723999,-0.06886431526696118,0.6791569086651054,0.09718969555035128
ES,LOWER_k3,3,854,-0.21010705633398175,-0.21951140157320306,1.5358245487987257,1.7671801405651193,-0.06561462490748562,0.7084309133489461,0.19320843091334894
ES,LOWER_k3,4,854,-0.24241541039009462,-0.24410384514999903,1.776903984971982,2.006576541142334,-0.034015647241899954,0.7552693208430913,0.26229508196721313
ES,LOWER_k3,5,854,-0.17868102408374398,-0.15904705687518267,2.013856785630783,2.208040888207247,-0.04617325128250133,0.7810304449648712,0.30679156908665106
ES,LOWER_k3,10,854,-0.32058852607110566,-0.2511179779405593,2.8195590386925264,2.9050899179439815,-0.021873141925260218,0.8372365339578455,0.4765807962529274
ES,LOWER_k3,15,854,-0.30109570411150344,-0.2567704109894596,3.4788987626041417,3.5990653010566147,-0.0327685665697977,0.8618266978922716,0.5538641686182669
ES,LOWER_k3,20,854,-0.12616132109883438,-0.08903858883096617,4.091258974040624,3.9352270692144087,-0.018275333093417848,0.8723653395784543,0.5936768149882904
ES,LOWER_k3,30,854,-0.4694773228579834,-0.4300483342923631,4.918841958865887,4.94572605323051,-0.02201645407025251,0.9016393442622951,0.6592505854800936
ES,LOWER_k3,60,854,-0.34267419396769583,-0.3593146273951746,6.590475737663503,6.592434071896575,-0.010749441313182739,0.9355971896955504,0.7494145199063232
ES,LOWER_k3,120,854,-1.0326265589637842,-0.8195109298257115,8.42898723408274,8.11018485472499,0.0053225225113778885,0.949648711943794,0.8032786885245902
ES,UPPER_k0,1,1110,0.09999999999990905,0.09139754593869401,1.0117587047094034,0.9260918943276468,0.0,0.5603603603603604,0.0
ES,UPPER_k0,2,1110,0.11249999999995453,0.09714564676224952,1.3722848182298648,1.3076354966644077,0.017424242424154236,0.6549549549549549,0.08648648648648649
ES,UPPER_k0,3,1110,0.0625,0.047280158009175316,1.6859948821847663,1.674999137603594,0.0,0.7072072072072072,0.17657657657657658
ES,UPPER_k0,4,1110,-0.0749999999998181,-0.08791061131758561,1.91880142129948,2.0102532689646324,-0.0571428571429351,0.7351351351351352,0.24774774774774774
ES,UPPER_k0,5,1110,0.0500000000001819,0.04513567152820355,2.164806451494648,2.205404797938094,-0.07272727272720655,0.754054054054054,0.2873873873873874
ES,UPPER_k0,10,1110,-0.0500000000001819,-0.031070872242143156,2.827941065653165,2.9899337171370437,-0.06549110085693677,0.8153153153153153,0.43513513513513513
ES,UPPER_k0,15,1110,0.1999999999998181,0.1619264033522057,3.4173053474777686,3.610213120443137,-0.043826219512253295,0.8423423423423423,0.5081081081081081
ES,UPPER_k0,20,1110,-0.09999999999990905,-0.08380437595662454,3.850751940515674,4.107890159992756,-0.05892857142858446,0.8576576576576577,0.5585585585585585
