instrument,level_id,n_continuation_state,n_reversal_state,n_mixed_state,n_state_unavailable,continuation_rate_given_continuation_state,continuation_rate_given_reversal_state,continuation_rate_diff,p_raw,n_directional_total,confirmatory_eligible,q_value,classification
ES,LOWER_k0,328,341,194,10,0.5396341463414634,0.4750733137829912,0.06456083255847223,0.1044247927653437,669,True,0.4176991710613748,STATE_NULL
ES,LOWER_k1,277,327,154,10,0.4981949458483754,0.4709480122324159,0.027246933615959534,0.5143406300713875,604,True,0.8917656501149344,STATE_NULL
ES,LOWER_k2,211,306,137,10,0.4597156398104265,0.4673202614379085,-0.007604621627481989,0.928531884661997,517,True,0.9378616773676283,STATE_NULL
ES,LOWER_k3,138,262,146,10,0.4492753623188406,0.4351145038167939,0.01416085850204668,0.832388795500139,400,True,0.9378616773676283,STATE_NULL
ES,UPPER_k0,361,300,229,10,0.5069252077562327,0.5033333333333333,0.0035918744228994326,0.9378616773676283,661,True,0.9378616773676283,STATE_NULL
ES,UPPER_k1,356,239,165,10,0.550561797752809,0.4602510460251046,0.09031075172770442,0.03640276645894504,595,True,0.2912221316715603,STATE_NULL
ES,UPPER_k2,270,204,180,10,0.5185185185185185,0.5686274509803921,-0.050108932461873645,0.30623395769183914,474,True,0.8166238871782378,STATE_NULL
ES,UPPER_k3,245,180,116,10,0.5183673469387755,0.4888888888888889,0.029478458049886636,0.557353531321834,425,True,0.8917656501149344,STATE_NULL
NQ,LOWER_k0,302,374,177,10,0.48344370860927155,0.48128342245989303,0.002160286149378521,1.0,676,True,1.0,STATE_NULL
NQ,LOWER_k1,268,291,172,10,0.4962686567164179,0.4948453608247423,0.0014232958916756133,1.0,559,True,1.0,STATE_NULL
NQ,LOWER_k2,205,268,184,10,0.5024390243902439,0.5223880597014925,-0.019949035311248586,0.7106254287738978,473,True,0.9512993756529422,STATE_NULL
NQ,LOWER_k3,199,212,136,10,0.5025125628140703,0.47641509433962265,0.02609746847444766,0.6223214018351463,411,True,0.9512993756529422,STATE_NULL
NQ,UPPER_k0,431,232,227,10,0.531322505800464,0.5862068965517241,-0.05488439075126006,0.19060101032599036,663,True,0.9512993756529422,STATE_NULL
NQ,UPPER_k1,339,221,212,10,0.5309734513274337,0.5746606334841629,-0.043687182156729176,0.3395380421322234,560,True,0.9512993756529422,STATE_NULL
NQ,UPPER_k2,288,204,162,10,0.5659722222222222,0.5490196078431373,0.016952614379084907,0.7134745317397067,492,True,0.9512993756529422,STATE_NULL
NQ,UPPER_k3,238,178,138,10,0.49159663865546216,0.5337078651685393,-0.04211122651307714,0.4282849995908703,416,True,0.9512993756529422,STATE_NULL
