leg,leader_instrument,leader_direction,n_extreme_raw,n_moderate_raw,n_resolved_extreme,n_resolved_moderate,n_ambiguous,n_neither,n_incomplete,n_matched_strata,closure_rate_extreme,closure_rate_moderate,effect_pp,raw_p_value,n_perms,seed,q_value,max_year_sign_agreement,sample_ok,classification
ASIA,ES,DOWN,120,2375,103,2211,0,101,80,9,0.6310679611650486,0.639981908638625,-0.8913947473576433,0.9147085291470853,10000,20260713,1.0,4,True,MIXED_OR_NULL
ASIA,ES,UP,101,2373,76,2195,0,130,73,9,0.5789473684210527,0.6564920273348519,-7.754465891379924,0.17368263173682633,10000,20260713,0.7088291170882912,3,True,MIXED_OR_NULL
ASIA,NQ,DOWN,168,2801,120,2604,0,160,85,9,0.6,0.6232718894009217,-2.327188940092173,0.6317368263173683,10000,20260713,1.0,3,True,MIXED_OR_NULL
ASIA,NQ,UP,179,2809,125,2568,0,204,91,9,0.592,0.5973520249221184,-0.5352024922118392,0.9263073692630737,10000,20260713,1.0,3,True,MIXED_OR_NULL
LONDON,ES,DOWN,72,1452,60,1294,0,87,83,6,0.6666666666666666,0.5880989180834622,7.856774858320447,0.23627637236276372,10000,20260713,0.7088291170882912,4,True,MIXED_OR_NULL
LONDON,ES,UP,67,1386,55,1257,0,71,70,6,0.43636363636363634,0.6085918854415274,-17.222824907789107,0.011898810118988102,10000,20260713,0.14278572142785723,4,True,MIXED_OR_NULL
LONDON,NQ,DOWN,107,1739,77,1544,0,117,108,6,0.5454545454545454,0.5511658031088082,-0.5711257654262836,1.0,10000,20260713,1.0,3,True,MIXED_OR_NULL
LONDON,NQ,UP,98,1878,70,1701,0,118,87,6,0.6,0.5808348030570253,1.9165196942974694,0.8077192280771923,10000,20260713,1.0,3,True,MIXED_OR_NULL
NEW_YORK,ES,DOWN,54,1541,38,1422,0,78,57,7,0.5526315789473685,0.5260196905766527,2.661188837071582,0.8700129987001299,10000,20260713,1.0,3,True,MIXED_OR_NULL
NEW_YORK,NQ,DOWN,77,2270,52,2071,0,154,70,7,0.4230769230769231,0.5152100434572671,-9.213312038034399,0.21027897210278973,10000,20260713,0.7088291170882912,3,True,MIXED_OR_NULL
NEW_YORK,NQ,UP,53,2295,35,2076,0,179,58,7,0.42857142857142855,0.5096339113680154,-8.106248279658685,0.40475952404759524,10000,20260713,0.897110288971103,4,True,MIXED_OR_NULL
