leg,leader,n,LEADER_REVERSAL,LEADER_REVERSAL_rate,LAGGARD_CATCHUP,LAGGARD_CATCHUP_rate,JOINT_CONVERGENCE,JOINT_CONVERGENCE_rate,DIVERGENCE_EXPANDS,DIVERGENCE_EXPANDS_rate,DIVERGENCE_PERSISTS,DIVERGENCE_PERSISTS_rate,PARTIAL_OR_MIXED,PARTIAL_OR_MIXED_rate
ASIA,ES,4816,589,0.12230066445182725,494,0.10257475083056479,1877,0.3897425249169435,1620,0.33637873754152825,231,0.04796511627906977,5,0.0010382059800664453
ASIA,NQ,5781,804,0.13907628437986508,532,0.0920256011070749,1959,0.3388687078360145,2114,0.36568067808337656,364,0.06296488496799861,8,0.0013838436256702993
LONDON,ES,2824,275,0.09737960339943343,259,0.09171388101983002,1051,0.3721671388101983,1076,0.3810198300283286,158,0.05594900849858357,5,0.0017705382436260624
LONDON,NQ,3627,448,0.12351805900192997,252,0.06947890818858561,1221,0.33664185277088504,1469,0.4050179211469534,235,0.06479183898538737,2,0.0005514199062586159
NEW_YORK,ES,3065,202,0.06590538336052203,276,0.0900489396411093,1074,0.3504078303425775,1346,0.4391517128874388,163,0.05318107667210441,4,0.0013050570962479609
NEW_YORK,NQ,4567,517,0.11320341580906502,262,0.05736807532296913,1376,0.3012918765053646,2072,0.4536895117144734,333,0.07291438581125466,7,0.001532734836873221
