horizon_min,event_class,n_resolved,closure_rate
5,EXTREME_UNSUPPORTED_MOVE,463,0.5853131749460043
5,MODERATE_UNSUPPORTED_MOVE,16690,0.6006590772917915
10,EXTREME_UNSUPPORTED_MOVE,703,0.5590327169274538
10,MODERATE_UNSUPPORTED_MOVE,21057,0.5866932611483118
15,EXTREME_UNSUPPORTED_MOVE,839,0.564958283671037
15,MODERATE_UNSUPPORTED_MOVE,22357,0.5825915820548374
30,EXTREME_UNSUPPORTED_MOVE,958,0.5688935281837161
30,MODERATE_UNSUPPORTED_MOVE,22564,0.5816787803580925
