leg,leader_instrument,leader_direction,year,n_extreme,n_moderate,closure_rate_extreme,closure_rate_moderate,diff,sign
LONDON,NQ,UP,2018,9,276,0.7777777777777778,0.5579710144927537,0.21980676328502413,1.0
LONDON,NQ,UP,2019,4,303,0.75,0.6831683168316832,0.06683168316831678,1.0
LONDON,NQ,UP,2020,36,342,0.6111111111111112,0.5350877192982456,0.07602339181286555,1.0
LONDON,NQ,UP,2021,18,512,0.5,0.578125,-0.078125,-1.0
LONDON,NQ,UP,2022,3,268,0.3333333333333333,0.5522388059701493,-0.21890547263681598,-1.0
NEW_YORK,ES,DOWN,2018,15,228,0.7333333333333333,0.5175438596491229,0.21578947368421042,1.0
NEW_YORK,ES,DOWN,2019,3,264,0.6666666666666666,0.5871212121212122,0.07954545454545447,1.0
NEW_YORK,ES,DOWN,2020,14,293,0.5714285714285714,0.4778156996587031,0.09361287176986832,1.0
NEW_YORK,ES,DOWN,2021,5,352,0.0,0.5426136363636364,-0.5426136363636364,-1.0
NEW_YORK,ES,DOWN,2022,1,285,0.0,0.5052631578947369,-0.5052631578947369,-1.0
NEW_YORK,ES,UP,2018,6,201,0.5,0.5223880597014925,-0.02238805970149249,-1.0
NEW_YORK,ES,UP,2019,2,286,0.5,0.5944055944055944,-0.09440559440559437,-1.0
NEW_YORK,ES,UP,2020,9,286,0.2222222222222222,0.5664335664335665,-0.34421134421134425,-1.0
NEW_YORK,ES,UP,2021,8,350,0.625,0.5257142857142857,0.09928571428571431,1.0
NEW_YORK,ES,UP,2022,3,291,0.6666666666666666,0.5257731958762887,0.14089347079037795,1.0
NEW_YORK,NQ,DOWN,2018,7,316,0.5714285714285714,0.5348101265822784,0.03661844484629295,1.0
NEW_YORK,NQ,DOWN,2019,2,344,0.5,0.49127906976744184,0.008720930232558155,1.0
NEW_YORK,NQ,DOWN,2020,17,469,0.47058823529411764,0.5159914712153518,-0.045403235921234186,-1.0
NEW_YORK,NQ,DOWN,2021,21,635,0.2857142857142857,0.5228346456692914,-0.2371203599550057,-1.0
NEW_YORK,NQ,DOWN,2022,5,307,0.6,0.504885993485342,0.09511400651465796,1.0
NEW_YORK,NQ,UP,2018,6,320,0.3333333333333333,0.528125,-0.19479166666666664,-1.0
NEW_YORK,NQ,UP,2019,2,322,0.5,0.5683229813664596,-0.06832298136645965,-1.0
NEW_YORK,NQ,UP,2020,9,484,0.4444444444444444,0.5165289256198347,-0.07208448117539024,-1.0
NEW_YORK,NQ,UP,2021,16,653,0.375,0.48392036753445633,-0.10892036753445633,-1.0
NEW_YORK,NQ,UP,2022,2,297,1.0,0.4713804713804714,0.5286195286195285,1.0
