leg,leader_instrument,leader_direction,year,n_extreme,n_moderate,closure_rate_extreme,closure_rate_moderate,diff,sign
ASIA,ES,DOWN,2018,18,386,0.7222222222222222,0.6373056994818653,0.08491652274035688,1.0
ASIA,ES,DOWN,2019,11,474,0.8181818181818182,0.7616033755274262,0.05657844265439205,1.0
ASIA,ES,DOWN,2020,45,418,0.5111111111111111,0.6100478468899522,-0.0989367357788411,-1.0
ASIA,ES,DOWN,2021,21,541,0.7142857142857143,0.5785582255083179,0.13572748877739638,1.0
ASIA,ES,DOWN,2022,8,392,0.625,0.6122448979591837,0.012755102040816313,1.0
ASIA,ES,UP,2018,16,323,0.75,0.6873065015479877,0.06269349845201233,1.0
ASIA,ES,UP,2019,6,479,0.6666666666666666,0.7473903966597077,-0.08072372999304112,-1.0
ASIA,ES,UP,2020,30,414,0.43333333333333335,0.6304347826086957,-0.19710144927536233,-1.0
ASIA,ES,UP,2021,20,560,0.6,0.5964285714285714,0.0035714285714285587,1.0
ASIA,ES,UP,2022,4,419,0.75,0.6348448687350835,0.1151551312649165,1.0
ASIA,NQ,DOWN,2018,22,454,0.5,0.6629955947136564,-0.16299559471365643,-1.0
ASIA,NQ,DOWN,2019,11,530,0.8181818181818182,0.6528301886792452,0.16535162950257298,1.0
ASIA,NQ,DOWN,2020,38,479,0.6052631578947368,0.592901878914405,0.012361278980331791,1.0
ASIA,NQ,DOWN,2021,39,664,0.5897435897435898,0.625,-0.03525641025641024,-1.0
ASIA,NQ,DOWN,2022,10,477,0.6,0.5807127882599581,0.019287211740041887,1.0
ASIA,NQ,UP,2018,28,461,0.6071428571428571,0.6182212581344902,-0.011078400991633153,-1.0
ASIA,NQ,UP,2019,10,487,0.7,0.6981519507186859,0.0018480492813141014,1.0
ASIA,NQ,UP,2020,47,461,0.5531914893617021,0.5813449023861171,-0.028153413024414986,-1.0
ASIA,NQ,UP,2021,31,719,0.6451612903225806,0.545201668984701,0.09995962133787961,1.0
ASIA,NQ,UP,2022,9,440,0.4444444444444444,0.5659090909090909,-0.1214646464646465,-1.0
LONDON,ES,DOWN,2018,8,223,0.875,0.6457399103139013,0.22926008968609868,1.0
LONDON,ES,DOWN,2019,1,259,1.0,0.6525096525096525,0.34749034749034746,1.0
LONDON,ES,DOWN,2020,33,275,0.6363636363636364,0.5527272727272727,0.08363636363636362,1.0
LONDON,ES,DOWN,2021,17,302,0.6470588235294118,0.5463576158940397,0.10070120763537205,1.0
LONDON,ES,DOWN,2022,1,235,0.0,0.5574468085106383,-0.5574468085106383,-1.0
LONDON,ES,UP,2018,5,189,0.6,0.6349206349206349,-0.03492063492063491,-1.0
LONDON,ES,UP,2019,3,270,0.6666666666666666,0.6925925925925925,-0.025925925925925908,-1.0
LONDON,ES,UP,2020,30,264,0.4,0.5606060606060606,-0.16060606060606053,-1.0
LONDON,ES,UP,2021,16,319,0.375,0.5579937304075235,-0.18299373040752354,-1.0
LONDON,ES,UP,2022,1,215,1.0,0.6139534883720931,0.38604651162790693,1.0
LONDON,NQ,DOWN,2018,15,217,0.3333333333333333,0.5898617511520737,-0.2565284178187404,-1.0
LONDON,NQ,DOWN,2019,8,263,0.375,0.6197718631178707,-0.2447718631178707,-1.0
LONDON,NQ,DOWN,2020,29,323,0.5862068965517241,0.5634674922600619,0.022739404291662213,1.0
LONDON,NQ,DOWN,2021,21,490,0.6190476190476191,0.5204081632653061,0.09863945578231292,1.0
LONDON,NQ,DOWN,2022,4,251,1.0,0.4900398406374502,0.5099601593625498,1.0
