instrument,level_id,horizon,b,n_continuation_first,n_reversal_first,n_same_bar_tie,n_neither,n_nontied,continuation_first_rate,reversal_first_rate,same_bar_tie_rate,neither_rate,cont_minus_rev_diff,p_raw,q_value
ES,ON_VWAP_0,30,0.5,405,442,15,9,847,0.46498277841561425,0.5074626865671642,0.01722158438576349,0.010332950631458095,-0.04247990815154995,0.216072597506899,0.7873966927435786
ES,ON_VWAP_0,60,0.5,409,445,15,2,854,0.4695752009184845,0.5109070034443168,0.01722158438576349,0.002296211251435132,-0.04133180252583235,0.23102371372548475,0.7873966927435786
ES,ON_VWAP_0,120,0.5,410,446,15,0,856,0.4707233065442021,0.5120551090700345,0.01722158438576349,0.0,-0.041331802525832406,0.23156958659052862,0.7873966927435786
ES,ON_VWAP_m1,30,0.5,354,407,16,7,761,0.45153061224489793,0.5191326530612245,0.02040816326530612,0.008928571428571428,-0.06760204081632654,0.05935883447964294,0.5104859765249292
ES,ON_VWAP_m1,60,0.5,357,411,16,0,768,0.45535714285714285,0.5242346938775511,0.02040816326530612,0.0,-0.06887755102040821,0.05574486059486909,0.4794058011158742
ES,ON_VWAP_m1,120,0.5,357,411,16,0,768,0.45535714285714285,0.5242346938775511,0.02040816326530612,0.0,-0.06887755102040821,0.05574486059486909,0.4794058011158742
ES,ON_VWAP_m2,30,0.5,302,292,14,1,594,0.49589490968801314,0.4794745484400657,0.022988505747126436,0.0016420361247947454,0.016420361247947435,0.7119565910144368,0.8895082134755111
ES,ON_VWAP_m2,60,0.5,302,292,14,1,594,0.49589490968801314,0.4794745484400657,0.022988505747126436,0.0016420361247947454,0.016420361247947435,0.7119565910144368,0.9018624942182265
ES,ON_VWAP_m2,120,0.5,302,293,14,0,595,0.49589490968801314,0.48111658456486045,0.022988505747126436,0.0,0.014778325123152691,0.7429669189725264,0.9018624942182265
ES,ON_VWAP_m3,30,0.5,204,229,13,3,433,0.45434298440979953,0.5100222717149221,0.028953229398663696,0.0066815144766146995,-0.05567928730512256,0.24873018566602512,0.7873966927435786
ES,ON_VWAP_m3,60,0.5,205,231,13,0,436,0.45657015590200445,0.5144766146993318,0.028953229398663696,0.0,-0.057906458797327365,0.23115788471765739,0.7873966927435786
ES,ON_VWAP_m3,120,0.5,205,231,13,0,436,0.45657015590200445,0.5144766146993318,0.028953229398663696,0.0,-0.057906458797327365,0.23115788471765739,0.7873966927435786
ES,ON_VWAP_p1,30,0.5,415,381,14,7,796,0.5079559363525091,0.4663402692778458,0.017135862913096694,0.008567931456548347,0.041615667074663354,0.24212216259246816,0.7873966927435786
ES,ON_VWAP_p1,60,0.5,418,384,14,1,802,0.5116279069767442,0.4700122399020808,0.017135862913096694,0.0012239902080783353,0.04161566707466341,0.24389204544999338,0.7873966927435786
ES,ON_VWAP_p1,120,0.5,418,384,14,1,802,0.5116279069767442,0.4700122399020808,0.017135862913096694,0.0012239902080783353,0.04161566707466341,0.24389204544999338,0.7873966927435786
