instrument,level_id,horizon,year,n_touches,n_continuation_first,n_reversal_first,cont_minus_rev_diff
ES,ON_VWAP_p1,120,2020,161,73,79,-0.037267080745341616
ES,ON_VWAP_p1,120,2021,156,90,63,0.17307692307692307
ES,ON_VWAP_p1,120,2022,168,81,81,0.0
ES,ON_VWAP_p2,5,2018,144,35,19,0.1111111111111111
ES,ON_VWAP_p2,5,2019,137,33,24,0.06569343065693431
ES,ON_VWAP_p2,5,2020,107,15,15,0.0
ES,ON_VWAP_p2,5,2021,134,30,28,0.014925373134328358
ES,ON_VWAP_p2,5,2022,122,26,26,0.0
ES,ON_VWAP_p2,15,2018,144,53,41,0.08333333333333333
ES,ON_VWAP_p2,15,2019,137,49,41,0.058394160583941604
ES,ON_VWAP_p2,15,2020,107,29,32,-0.028037383177570093
ES,ON_VWAP_p2,15,2021,134,56,46,0.07462686567164178
ES,ON_VWAP_p2,15,2022,122,48,43,0.040983606557377046
ES,ON_VWAP_p2,30,2018,144,66,59,0.04861111111111111
ES,ON_VWAP_p2,30,2019,137,60,54,0.043795620437956206
ES,ON_VWAP_p2,30,2020,107,44,42,0.018691588785046728
ES,ON_VWAP_p2,30,2021,134,70,50,0.14925373134328357
ES,ON_VWAP_p2,30,2022,122,55,53,0.01639344262295082
ES,ON_VWAP_p2,60,2018,144,73,64,0.0625
ES,ON_VWAP_p2,60,2019,137,68,61,0.051094890510948905
ES,ON_VWAP_p2,60,2020,107,48,48,0.0
ES,ON_VWAP_p2,60,2021,134,73,54,0.1417910447761194
ES,ON_VWAP_p2,60,2022,122,59,57,0.01639344262295082
ES,ON_VWAP_p2,120,2018,144,77,65,0.08333333333333333
ES,ON_VWAP_p2,120,2019,137,71,61,0.072992700729927
ES,ON_VWAP_p2,120,2020,107,51,51,0.0
ES,ON_VWAP_p2,120,2021,134,74,55,0.1417910447761194
ES,ON_VWAP_p2,120,2022,122,60,60,0.0
ES,ON_VWAP_p3,5,2018,99,18,17,0.010101010101010102
ES,ON_VWAP_p3,5,2019,91,16,19,-0.03296703296703297
ES,ON_VWAP_p3,5,2020,67,7,10,-0.04477611940298507
ES,ON_VWAP_p3,5,2021,96,14,14,0.0
ES,ON_VWAP_p3,5,2022,81,12,17,-0.06172839506172839
ES,ON_VWAP_p3,15,2018,99,32,35,-0.030303030303030304
ES,ON_VWAP_p3,15,2019,91,31,26,0.054945054945054944
ES,ON_VWAP_p3,15,2020,67,17,18,-0.014925373134328358
ES,ON_VWAP_p3,15,2021,96,32,30,0.020833333333333332
ES,ON_VWAP_p3,15,2022,81,22,29,-0.08641975308641975
ES,ON_VWAP_p3,30,2018,99,39,47,-0.08080808080808081
ES,ON_VWAP_p3,30,2019,91,40,35,0.054945054945054944
ES,ON_VWAP_p3,30,2020,67,24,24,0.0
ES,ON_VWAP_p3,30,2021,96,45,34,0.11458333333333333
ES,ON_VWAP_p3,30,2022,81,30,34,-0.04938271604938271
ES,ON_VWAP_p3,60,2018,99,42,55,-0.13131313131313133
ES,ON_VWAP_p3,60,2019,91,45,38,0.07692307692307693
ES,ON_VWAP_p3,60,2020,67,30,29,0.014925373134328358
ES,ON_VWAP_p3,60,2021,96,51,35,0.16666666666666666
ES,ON_VWAP_p3,60,2022,81,37,39,-0.024691358024691357
ES,ON_VWAP_p3,120,2018,99,42,57,-0.15151515151515152
ES,ON_VWAP_p3,120,2019,91,47,39,0.08791208791208792
ES,ON_VWAP_p3,120,2020,67,34,29,0.07462686567164178
ES,ON_VWAP_p3,120,2021,96,56,37,0.19791666666666666
ES,ON_VWAP_p3,120,2022,81,39,41,-0.024691358024691357
ES,PR_VWAP_0,5,2018,93,5,6,-0.010752688172043012
ES,PR_VWAP_0,5,2019,88,9,10,-0.011363636363636364
ES,PR_VWAP_0,5,2020,95,8,4,0.042105263157894736
ES,PR_VWAP_0,5,2021,92,6,8,-0.021739130434782608
ES,PR_VWAP_0,5,2022,93,6,7,-0.010752688172043012
ES,PR_VWAP_0,15,2018,93,11,20,-0.0967741935483871
ES,PR_VWAP_0,15,2019,88,18,19,-0.011363636363636364
ES,PR_VWAP_0,15,2020,95,24,13,0.11578947368421053
ES,PR_VWAP_0,15,2021,92,19,14,0.05434782608695652
ES,PR_VWAP_0,15,2022,93,18,18,0.0
ES,PR_VWAP_0,30,2018,93,15,28,-0.13978494623655913
ES,PR_VWAP_0,30,2019,88,24,32,-0.09090909090909091
ES,PR_VWAP_0,30,2020,95,30,23,0.07368421052631578
ES,PR_VWAP_0,30,2021,92,32,28,0.043478260869565216
ES,PR_VWAP_0,30,2022,93,28,25,0.03225806451612903
ES,PR_VWAP_0,60,2018,93,26,37,-0.11827956989247312
ES,PR_VWAP_0,60,2019,88,33,41,-0.09090909090909091
ES,PR_VWAP_0,60,2020,95,41,32,0.09473684210526316
ES,PR_VWAP_0,60,2021,92,41,32,0.09782608695652174
ES,PR_VWAP_0,60,2022,93,37,35,0.021505376344086023
ES,PR_VWAP_0,120,2018,93,31,49,-0.1935483870967742
ES,PR_VWAP_0,120,2019,88,40,42,-0.022727272727272728
ES,PR_VWAP_0,120,2020,95,45,38,0.07368421052631578
ES,PR_VWAP_0,120,2021,92,48,36,0.13043478260869565
ES,PR_VWAP_0,120,2022,93,40,42,-0.021505376344086023
ES,PR_VWAP_m1,5,2018,78,2,10,-0.10256410256410256
ES,PR_VWAP_m1,5,2019,83,11,7,0.04819277108433735
ES,PR_VWAP_m1,5,2020,80,5,10,-0.0625
ES,PR_VWAP_m1,5,2021,81,16,8,0.09876543209876543
ES,PR_VWAP_m1,5,2022,96,9,8,0.010416666666666666
ES,PR_VWAP_m1,15,2018,78,4,18,-0.1794871794871795
ES,PR_VWAP_m1,15,2019,83,19,17,0.024096385542168676
ES,PR_VWAP_m1,15,2020,80,16,22,-0.075
ES,PR_VWAP_m1,15,2021,81,23,16,0.08641975308641975
ES,PR_VWAP_m1,15,2022,96,20,22,-0.020833333333333332
ES,PR_VWAP_m1,30,2018,78,14,30,-0.20512820512820512
ES,PR_VWAP_m1,30,2019,83,29,28,0.012048192771084338
ES,PR_VWAP_m1,30,2020,80,23,32,-0.1125
ES,PR_VWAP_m1,30,2021,81,31,26,0.06172839506172839
ES,PR_VWAP_m1,30,2022,96,29,36,-0.07291666666666667
ES,PR_VWAP_m1,60,2018,78,21,36,-0.19230769230769232
ES,PR_VWAP_m1,60,2019,83,34,36,-0.024096385542168676
ES,PR_VWAP_m1,60,2020,80,27,37,-0.125
ES,PR_VWAP_m1,60,2021,81,37,35,0.024691358024691357
ES,PR_VWAP_m1,60,2022,96,35,44,-0.09375
ES,PR_VWAP_m1,120,2018,78,30,44,-0.1794871794871795
ES,PR_VWAP_m1,120,2019,83,37,40,-0.03614457831325301
ES,PR_VWAP_m1,120,2020,80,31,41,-0.125
ES,PR_VWAP_m1,120,2021,81,38,40,-0.024691358024691357
ES,PR_VWAP_m1,120,2022,96,37,48,-0.11458333333333333
ES,PR_VWAP_m2,5,2018,55,3,2,0.01818181818181818
ES,PR_VWAP_m2,5,2019,64,18,3,0.234375
ES,PR_VWAP_m2,5,2020,62,10,4,0.0967741935483871
ES,PR_VWAP_m2,5,2021,56,15,9,0.10714285714285714
ES,PR_VWAP_m2,5,2022,78,8,5,0.038461538461538464
ES,PR_VWAP_m2,15,2018,55,15,13,0.03636363636363636
ES,PR_VWAP_m2,15,2019,64,26,8,0.28125
ES,PR_VWAP_m2,15,2020,62,20,14,0.0967741935483871
ES,PR_VWAP_m2,15,2021,56,18,15,0.05357142857142857
ES,PR_VWAP_m2,15,2022,78,16,18,-0.02564102564102564
ES,PR_VWAP_m2,30,2018,55,20,18,0.03636363636363636
ES,PR_VWAP_m2,30,2019,64,33,16,0.265625
ES,PR_VWAP_m2,30,2020,62,26,18,0.12903225806451613
ES,PR_VWAP_m2,30,2021,56,22,22,0.0
ES,PR_VWAP_m2,30,2022,78,23,26,-0.038461538461538464
ES,PR_VWAP_m2,60,2018,55,23,20,0.05454545454545454
ES,PR_VWAP_m2,60,2019,64,36,21,0.234375
ES,PR_VWAP_m2,60,2020,62,27,25,0.03225806451612903
ES,PR_VWAP_m2,60,2021,56,23,28,-0.08928571428571429
ES,PR_VWAP_m2,60,2022,78,27,34,-0.08974358974358974
ES,PR_VWAP_m2,120,2018,55,27,22,0.09090909090909091
ES,PR_VWAP_m2,120,2019,64,39,24,0.234375
ES,PR_VWAP_m2,120,2020,62,31,27,0.06451612903225806
ES,PR_VWAP_m2,120,2021,56,25,28,-0.05357142857142857
ES,PR_VWAP_m2,120,2022,78,29,40,-0.14102564102564102
ES,PR_VWAP_m3,5,2018,45,5,4,0.022222222222222223
ES,PR_VWAP_m3,5,2019,54,12,6,0.1111111111111111
ES,PR_VWAP_m3,5,2020,44,10,9,0.022727272727272728
ES,PR_VWAP_m3,5,2021,41,13,1,0.2926829268292683
ES,PR_VWAP_m3,5,2022,52,5,5,0.0
ES,PR_VWAP_m3,15,2018,45,7,11,-0.08888888888888889
ES,PR_VWAP_m3,15,2019,54,20,17,0.05555555555555555
ES,PR_VWAP_m3,15,2020,44,15,13,0.045454545454545456
ES,PR_VWAP_m3,15,2021,41,16,7,0.21951219512195122
ES,PR_VWAP_m3,15,2022,52,11,13,-0.038461538461538464
ES,PR_VWAP_m3,30,2018,45,14,21,-0.15555555555555556
ES,PR_VWAP_m3,30,2019,54,21,23,-0.037037037037037035
ES,PR_VWAP_m3,30,2020,44,16,19,-0.06818181818181818
ES,PR_VWAP_m3,30,2021,41,21,12,0.21951219512195122
ES,PR_VWAP_m3,30,2022,52,20,16,0.07692307692307693
ES,PR_VWAP_m3,60,2018,45,18,22,-0.08888888888888889
ES,PR_VWAP_m3,60,2019,54,23,25,-0.037037037037037035
ES,PR_VWAP_m3,60,2020,44,18,21,-0.06818181818181818
ES,PR_VWAP_m3,60,2021,41,23,16,0.17073170731707318
ES,PR_VWAP_m3,60,2022,52,22,22,0.0
ES,PR_VWAP_m3,120,2018,45,19,25,-0.13333333333333333
ES,PR_VWAP_m3,120,2019,54,24,28,-0.07407407407407407
ES,PR_VWAP_m3,120,2020,44,18,24,-0.13636363636363635
ES,PR_VWAP_m3,120,2021,41,23,17,0.14634146341463414
ES,PR_VWAP_m3,120,2022,52,25,22,0.057692307692307696
ES,PR_VWAP_p1,5,2018,94,3,4,-0.010638297872340425
ES,PR_VWAP_p1,5,2019,78,8,9,-0.01282051282051282
ES,PR_VWAP_p1,5,2020,86,5,7,-0.023255813953488372
ES,PR_VWAP_p1,5,2021,105,9,14,-0.047619047619047616
ES,PR_VWAP_p1,5,2022,95,9,5,0.042105263157894736
ES,PR_VWAP_p1,15,2018,94,10,16,-0.06382978723404255
ES,PR_VWAP_p1,15,2019,78,17,19,-0.02564102564102564
ES,PR_VWAP_p1,15,2020,86,14,19,-0.05813953488372093
ES,PR_VWAP_p1,15,2021,105,16,23,-0.06666666666666667
ES,PR_VWAP_p1,15,2022,95,15,19,-0.042105263157894736
ES,PR_VWAP_p1,30,2018,94,17,28,-0.11702127659574468
ES,PR_VWAP_p1,30,2019,78,24,29,-0.0641025641025641
ES,PR_VWAP_p1,30,2020,86,24,28,-0.046511627906976744
ES,PR_VWAP_p1,30,2021,105,26,37,-0.10476190476190476
ES,PR_VWAP_p1,30,2022,95,22,32,-0.10526315789473684
ES,PR_VWAP_p1,60,2018,94,28,38,-0.10638297872340426
ES,PR_VWAP_p1,60,2019,78,31,34,-0.038461538461538464
ES,PR_VWAP_p1,60,2020,86,32,33,-0.011627906976744186
ES,PR_VWAP_p1,60,2021,105,33,43,-0.09523809523809523
ES,PR_VWAP_p1,60,2022,95,31,37,-0.06315789473684211
ES,PR_VWAP_p1,120,2018,94,33,46,-0.13829787234042554
ES,PR_VWAP_p1,120,2019,78,33,41,-0.10256410256410256
ES,PR_VWAP_p1,120,2020,86,38,36,0.023255813953488372
ES,PR_VWAP_p1,120,2021,105,41,49,-0.0761904761904762
ES,PR_VWAP_p1,120,2022,95,37,47,-0.10526315789473684
ES,PR_VWAP_p2,5,2018,76,1,5,-0.05263157894736842
ES,PR_VWAP_p2,5,2019,77,8,11,-0.03896103896103896
ES,PR_VWAP_p2,5,2020,64,7,2,0.078125
ES,PR_VWAP_p2,5,2021,84,10,4,0.07142857142857142
ES,PR_VWAP_p2,5,2022,80,8,6,0.025
ES,PR_VWAP_p2,15,2018,76,11,12,-0.013157894736842105
ES,PR_VWAP_p2,15,2019,77,15,30,-0.19480519480519481
ES,PR_VWAP_p2,15,2020,64,15,10,0.078125
ES,PR_VWAP_p2,15,2021,84,21,11,0.11904761904761904
ES,PR_VWAP_p2,15,2022,80,20,14,0.075
ES,PR_VWAP_p2,30,2018,76,18,19,-0.013157894736842105
ES,PR_VWAP_p2,30,2019,77,21,39,-0.23376623376623376
ES,PR_VWAP_p2,30,2020,64,20,19,0.015625
ES,PR_VWAP_p2,30,2021,84,33,17,0.19047619047619047
ES,PR_VWAP_p2,30,2022,80,23,22,0.0125
ES,PR_VWAP_p2,60,2018,76,26,25,0.013157894736842105
ES,PR_VWAP_p2,60,2019,77,25,42,-0.22077922077922077
ES,PR_VWAP_p2,60,2020,64,27,26,0.015625
ES,PR_VWAP_p2,60,2021,84,41,21,0.23809523809523808
ES,PR_VWAP_p2,60,2022,80,29,34,-0.0625
ES,PR_VWAP_p2,120,2018,76,31,34,-0.039473684210526314
ES,PR_VWAP_p2,120,2019,77,28,44,-0.2077922077922078
ES,PR_VWAP_p2,120,2020,64,29,28,0.015625
ES,PR_VWAP_p2,120,2021,84,46,27,0.2261904761904762
ES,PR_VWAP_p2,120,2022,80,31,38,-0.0875
ES,PR_VWAP_p3,5,2018,55,3,5,-0.03636363636363636
ES,PR_VWAP_p3,5,2019,71,11,6,0.07042253521126761
ES,PR_VWAP_p3,5,2020,61,3,3,0.0
ES,PR_VWAP_p3,5,2021,74,10,7,0.04054054054054054
ES,PR_VWAP_p3,5,2022,48,5,2,0.0625
ES,PR_VWAP_p3,15,2018,55,8,10,-0.03636363636363636
ES,PR_VWAP_p3,15,2019,71,21,10,0.15492957746478872
ES,PR_VWAP_p3,15,2020,61,6,13,-0.11475409836065574
ES,PR_VWAP_p3,15,2021,74,18,12,0.08108108108108109
ES,PR_VWAP_p3,15,2022,48,9,8,0.020833333333333332
ES,PR_VWAP_p3,30,2018,55,10,16,-0.10909090909090909
ES,PR_VWAP_p3,30,2019,71,26,16,0.14084507042253522
ES,PR_VWAP_p3,30,2020,61,12,23,-0.18032786885245902
ES,PR_VWAP_p3,30,2021,74,26,18,0.10810810810810811
ES,PR_VWAP_p3,30,2022,48,14,13,0.020833333333333332
ES,PR_VWAP_p3,60,2018,55,18,24,-0.10909090909090909
ES,PR_VWAP_p3,60,2019,71,33,23,0.14084507042253522
ES,PR_VWAP_p3,60,2020,61,16,30,-0.22950819672131148
ES,PR_VWAP_p3,60,2021,74,33,22,0.14864864864864866
ES,PR_VWAP_p3,60,2022,48,20,18,0.041666666666666664
ES,PR_VWAP_p3,120,2018,55,23,26,-0.05454545454545454
ES,PR_VWAP_p3,120,2019,71,39,27,0.16901408450704225
ES,PR_VWAP_p3,120,2020,61,20,32,-0.19672131147540983
ES,PR_VWAP_p3,120,2021,74,39,24,0.20270270270270271
ES,PR_VWAP_p3,120,2022,48,24,20,0.08333333333333333
ES,lower_N10_ema_k0,5,2018,214,88,89,-0.004672897196261682
ES,lower_N10_ema_k0,5,2019,213,91,94,-0.014084507042253521
ES,lower_N10_ema_k0,5,2020,222,96,97,-0.0045045045045045045
ES,lower_N10_ema_k0,5,2021,211,95,82,0.061611374407582936
ES,lower_N10_ema_k0,5,2022,224,97,84,0.05803571428571429
ES,lower_N10_ema_k0,15,2018,214,88,89,-0.004672897196261682
ES,lower_N10_ema_k0,15,2019,213,92,95,-0.014084507042253521
ES,lower_N10_ema_k0,15,2020,222,97,99,-0.009009009009009009
ES,lower_N10_ema_k0,15,2021,211,97,82,0.07109004739336493
ES,lower_N10_ema_k0,15,2022,224,97,84,0.05803571428571429
ES,lower_N10_ema_k0,30,2018,214,88,89,-0.004672897196261682
ES,lower_N10_ema_k0,30,2019,213,93,96,-0.014084507042253521
