instrument,level_id,horizon,year,n_touches,n_continuation_first,n_reversal_first,cont_minus_rev_diff
ES,lower_N5_mean_k0,120,2020,219,88,96,-0.0365296803652968
ES,lower_N5_mean_k0,120,2021,214,92,93,-0.004672897196261682
ES,lower_N5_mean_k0,120,2022,225,91,84,0.03111111111111111
ES,lower_N5_mean_k1,5,2018,202,71,90,-0.09405940594059406
ES,lower_N5_mean_k1,5,2019,193,71,82,-0.05699481865284974
ES,lower_N5_mean_k1,5,2020,206,86,90,-0.019417475728155338
ES,lower_N5_mean_k1,5,2021,189,89,70,0.10052910052910052
ES,lower_N5_mean_k1,5,2022,219,90,71,0.0867579908675799
ES,lower_N5_mean_k1,15,2018,202,74,90,-0.07920792079207921
ES,lower_N5_mean_k1,15,2019,193,74,82,-0.04145077720207254
ES,lower_N5_mean_k1,15,2020,206,86,92,-0.02912621359223301
ES,lower_N5_mean_k1,15,2021,189,90,70,0.10582010582010581
ES,lower_N5_mean_k1,15,2022,219,90,71,0.0867579908675799
ES,lower_N5_mean_k1,30,2018,202,74,90,-0.07920792079207921
ES,lower_N5_mean_k1,30,2019,193,74,83,-0.046632124352331605
ES,lower_N5_mean_k1,30,2020,206,86,92,-0.02912621359223301
ES,lower_N5_mean_k1,30,2021,189,90,70,0.10582010582010581
ES,lower_N5_mean_k1,30,2022,219,90,71,0.0867579908675799
ES,lower_N5_mean_k1,60,2018,202,74,90,-0.07920792079207921
ES,lower_N5_mean_k1,60,2019,193,74,83,-0.046632124352331605
ES,lower_N5_mean_k1,60,2020,206,86,92,-0.02912621359223301
ES,lower_N5_mean_k1,60,2021,189,90,70,0.10582010582010581
ES,lower_N5_mean_k1,60,2022,219,90,71,0.0867579908675799
ES,lower_N5_mean_k1,120,2018,202,74,90,-0.07920792079207921
ES,lower_N5_mean_k1,120,2019,193,74,83,-0.046632124352331605
ES,lower_N5_mean_k1,120,2020,206,86,92,-0.02912621359223301
ES,lower_N5_mean_k1,120,2021,189,90,70,0.10582010582010581
ES,lower_N5_mean_k1,120,2022,219,90,71,0.0867579908675799
ES,lower_N5_mean_k2,5,2018,188,71,72,-0.005319148936170213
ES,lower_N5_mean_k2,5,2019,179,69,79,-0.055865921787709494
ES,lower_N5_mean_k2,5,2020,187,75,83,-0.0427807486631016
ES,lower_N5_mean_k2,5,2021,177,56,89,-0.1864406779661017
ES,lower_N5_mean_k2,5,2022,210,91,70,0.1
ES,lower_N5_mean_k2,15,2018,188,71,72,-0.005319148936170213
ES,lower_N5_mean_k2,15,2019,179,70,79,-0.05027932960893855
ES,lower_N5_mean_k2,15,2020,187,75,84,-0.0481283422459893
ES,lower_N5_mean_k2,15,2021,177,56,90,-0.192090395480226
ES,lower_N5_mean_k2,15,2022,210,92,70,0.10476190476190476
ES,lower_N5_mean_k2,30,2018,188,71,72,-0.005319148936170213
ES,lower_N5_mean_k2,30,2019,179,70,79,-0.05027932960893855
ES,lower_N5_mean_k2,30,2020,187,75,84,-0.0481283422459893
ES,lower_N5_mean_k2,30,2021,177,56,90,-0.192090395480226
ES,lower_N5_mean_k2,30,2022,210,92,70,0.10476190476190476
ES,lower_N5_mean_k2,60,2018,188,71,72,-0.005319148936170213
ES,lower_N5_mean_k2,60,2019,179,70,79,-0.05027932960893855
ES,lower_N5_mean_k2,60,2020,187,75,84,-0.0481283422459893
ES,lower_N5_mean_k2,60,2021,177,56,90,-0.192090395480226
ES,lower_N5_mean_k2,60,2022,210,92,70,0.10476190476190476
ES,lower_N5_mean_k2,120,2018,188,71,72,-0.005319148936170213
ES,lower_N5_mean_k2,120,2019,179,70,79,-0.05027932960893855
ES,lower_N5_mean_k2,120,2020,187,75,84,-0.0481283422459893
ES,lower_N5_mean_k2,120,2021,177,56,90,-0.192090395480226
ES,lower_N5_mean_k2,120,2022,210,92,70,0.10476190476190476
ES,lower_N5_mean_k3,5,2018,175,56,77,-0.12
ES,lower_N5_mean_k3,5,2019,167,73,55,0.10778443113772455
ES,lower_N5_mean_k3,5,2020,167,75,60,0.08982035928143713
ES,lower_N5_mean_k3,5,2021,161,68,71,-0.018633540372670808
ES,lower_N5_mean_k3,5,2022,203,89,74,0.07389162561576355
ES,lower_N5_mean_k3,15,2018,175,56,79,-0.13142857142857142
ES,lower_N5_mean_k3,15,2019,167,73,55,0.10778443113772455
ES,lower_N5_mean_k3,15,2020,167,75,63,0.0718562874251497
ES,lower_N5_mean_k3,15,2021,161,68,72,-0.024844720496894408
ES,lower_N5_mean_k3,15,2022,203,89,76,0.06403940886699508
ES,lower_N5_mean_k3,30,2018,175,56,79,-0.13142857142857142
ES,lower_N5_mean_k3,30,2019,167,73,55,0.10778443113772455
ES,lower_N5_mean_k3,30,2020,167,75,63,0.0718562874251497
ES,lower_N5_mean_k3,30,2021,161,68,72,-0.024844720496894408
ES,lower_N5_mean_k3,30,2022,203,89,76,0.06403940886699508
ES,lower_N5_mean_k3,60,2018,175,56,79,-0.13142857142857142
ES,lower_N5_mean_k3,60,2019,167,73,55,0.10778443113772455
ES,lower_N5_mean_k3,60,2020,167,75,63,0.0718562874251497
ES,lower_N5_mean_k3,60,2021,161,68,72,-0.024844720496894408
ES,lower_N5_mean_k3,60,2022,203,89,76,0.06403940886699508
ES,lower_N5_mean_k3,120,2018,175,56,79,-0.13142857142857142
ES,lower_N5_mean_k3,120,2019,167,73,55,0.10778443113772455
ES,lower_N5_mean_k3,120,2020,167,75,63,0.0718562874251497
ES,lower_N5_mean_k3,120,2021,161,68,72,-0.024844720496894408
ES,lower_N5_mean_k3,120,2022,203,89,76,0.06403940886699508
ES,lower_N5_median_k0,5,2018,227,68,100,-0.14096916299559473
ES,lower_N5_median_k0,5,2019,220,71,106,-0.1590909090909091
ES,lower_N5_median_k0,5,2020,226,82,99,-0.0752212389380531
ES,lower_N5_median_k0,5,2021,215,90,96,-0.027906976744186046
ES,lower_N5_median_k0,5,2022,232,84,97,-0.05603448275862069
ES,lower_N5_median_k0,15,2018,227,68,100,-0.14096916299559473
ES,lower_N5_median_k0,15,2019,220,73,106,-0.15
ES,lower_N5_median_k0,15,2020,226,83,104,-0.09292035398230089
ES,lower_N5_median_k0,15,2021,215,90,96,-0.027906976744186046
ES,lower_N5_median_k0,15,2022,232,84,97,-0.05603448275862069
ES,lower_N5_median_k0,30,2018,227,68,100,-0.14096916299559473
ES,lower_N5_median_k0,30,2019,220,74,106,-0.14545454545454545
ES,lower_N5_median_k0,30,2020,226,83,104,-0.09292035398230089
ES,lower_N5_median_k0,30,2021,215,90,96,-0.027906976744186046
ES,lower_N5_median_k0,30,2022,232,84,97,-0.05603448275862069
ES,lower_N5_median_k0,60,2018,227,68,100,-0.14096916299559473
ES,lower_N5_median_k0,60,2019,220,74,106,-0.14545454545454545
ES,lower_N5_median_k0,60,2020,226,83,104,-0.09292035398230089
ES,lower_N5_median_k0,60,2021,215,90,96,-0.027906976744186046
ES,lower_N5_median_k0,60,2022,232,84,97,-0.05603448275862069
ES,lower_N5_median_k0,120,2018,227,68,100,-0.14096916299559473
ES,lower_N5_median_k0,120,2019,220,74,106,-0.14545454545454545
ES,lower_N5_median_k0,120,2020,226,83,104,-0.09292035398230089
ES,lower_N5_median_k0,120,2021,215,90,96,-0.027906976744186046
ES,lower_N5_median_k0,120,2022,232,84,97,-0.05603448275862069
ES,lower_N5_median_k1,5,2018,211,69,99,-0.14218009478672985
ES,lower_N5_median_k1,5,2019,196,68,81,-0.0663265306122449
ES,lower_N5_median_k1,5,2020,207,88,86,0.00966183574879227
ES,lower_N5_median_k1,5,2021,199,83,85,-0.010050251256281407
ES,lower_N5_median_k1,5,2022,219,91,78,0.0593607305936073
ES,lower_N5_median_k1,15,2018,211,72,100,-0.13270142180094788
ES,lower_N5_median_k1,15,2019,196,70,82,-0.061224489795918366
ES,lower_N5_median_k1,15,2020,207,90,87,0.014492753623188406
ES,lower_N5_median_k1,15,2021,199,84,85,-0.005025125628140704
ES,lower_N5_median_k1,15,2022,219,91,78,0.0593607305936073
ES,lower_N5_median_k1,30,2018,211,72,100,-0.13270142180094788
ES,lower_N5_median_k1,30,2019,196,70,83,-0.0663265306122449
ES,lower_N5_median_k1,30,2020,207,90,87,0.014492753623188406
ES,lower_N5_median_k1,30,2021,199,84,85,-0.005025125628140704
ES,lower_N5_median_k1,30,2022,219,91,78,0.0593607305936073
ES,lower_N5_median_k1,60,2018,211,72,100,-0.13270142180094788
ES,lower_N5_median_k1,60,2019,196,70,83,-0.0663265306122449
ES,lower_N5_median_k1,60,2020,207,90,87,0.014492753623188406
ES,lower_N5_median_k1,60,2021,199,84,85,-0.005025125628140704
ES,lower_N5_median_k1,60,2022,219,91,78,0.0593607305936073
ES,lower_N5_median_k1,120,2018,211,72,100,-0.13270142180094788
ES,lower_N5_median_k1,120,2019,196,70,83,-0.0663265306122449
ES,lower_N5_median_k1,120,2020,207,90,87,0.014492753623188406
ES,lower_N5_median_k1,120,2021,199,84,85,-0.005025125628140704
ES,lower_N5_median_k1,120,2022,219,91,78,0.0593607305936073
ES,lower_N5_median_k2,5,2018,190,71,81,-0.05263157894736842
ES,lower_N5_median_k2,5,2019,182,76,72,0.02197802197802198
ES,lower_N5_median_k2,5,2020,192,76,83,-0.036458333333333336
ES,lower_N5_median_k2,5,2021,179,68,73,-0.027932960893854747
ES,lower_N5_median_k2,5,2022,213,88,79,0.04225352112676056
ES,lower_N5_median_k2,15,2018,190,71,81,-0.05263157894736842
ES,lower_N5_median_k2,15,2019,182,77,75,0.01098901098901099
ES,lower_N5_median_k2,15,2020,192,76,84,-0.041666666666666664
ES,lower_N5_median_k2,15,2021,179,69,74,-0.027932960893854747
ES,lower_N5_median_k2,15,2022,213,88,79,0.04225352112676056
ES,lower_N5_median_k2,30,2018,190,71,81,-0.05263157894736842
ES,lower_N5_median_k2,30,2019,182,77,75,0.01098901098901099
ES,lower_N5_median_k2,30,2020,192,76,84,-0.041666666666666664
ES,lower_N5_median_k2,30,2021,179,69,74,-0.027932960893854747
ES,lower_N5_median_k2,30,2022,213,88,79,0.04225352112676056
ES,lower_N5_median_k2,60,2018,190,71,81,-0.05263157894736842
ES,lower_N5_median_k2,60,2019,182,77,75,0.01098901098901099
ES,lower_N5_median_k2,60,2020,192,76,84,-0.041666666666666664
ES,lower_N5_median_k2,60,2021,179,69,74,-0.027932960893854747
ES,lower_N5_median_k2,60,2022,213,88,79,0.04225352112676056
ES,lower_N5_median_k2,120,2018,190,71,81,-0.05263157894736842
ES,lower_N5_median_k2,120,2019,182,77,75,0.01098901098901099
ES,lower_N5_median_k2,120,2020,192,76,84,-0.041666666666666664
ES,lower_N5_median_k2,120,2021,179,69,74,-0.027932960893854747
ES,lower_N5_median_k2,120,2022,213,88,79,0.04225352112676056
ES,lower_N5_median_k3,5,2018,177,60,75,-0.0847457627118644
ES,lower_N5_median_k3,5,2019,168,67,62,0.02976190476190476
ES,lower_N5_median_k3,5,2020,171,73,69,0.023391812865497075
ES,lower_N5_median_k3,5,2021,163,67,71,-0.024539877300613498
ES,lower_N5_median_k3,5,2022,205,87,73,0.06829268292682927
ES,lower_N5_median_k3,15,2018,177,60,76,-0.0903954802259887
ES,lower_N5_median_k3,15,2019,168,68,62,0.03571428571428571
ES,lower_N5_median_k3,15,2020,171,74,73,0.005847953216374269
ES,lower_N5_median_k3,15,2021,163,67,74,-0.04294478527607362
ES,lower_N5_median_k3,15,2022,205,87,74,0.06341463414634146
ES,lower_N5_median_k3,30,2018,177,60,77,-0.096045197740113
ES,lower_N5_median_k3,30,2019,168,68,62,0.03571428571428571
ES,lower_N5_median_k3,30,2020,171,74,73,0.005847953216374269
ES,lower_N5_median_k3,30,2021,163,67,74,-0.04294478527607362
ES,lower_N5_median_k3,30,2022,205,87,74,0.06341463414634146
ES,lower_N5_median_k3,60,2018,177,60,77,-0.096045197740113
ES,lower_N5_median_k3,60,2019,168,68,62,0.03571428571428571
ES,lower_N5_median_k3,60,2020,171,74,73,0.005847953216374269
ES,lower_N5_median_k3,60,2021,163,67,74,-0.04294478527607362
ES,lower_N5_median_k3,60,2022,205,87,74,0.06341463414634146
ES,lower_N5_median_k3,120,2018,177,60,77,-0.096045197740113
ES,lower_N5_median_k3,120,2019,168,68,62,0.03571428571428571
ES,lower_N5_median_k3,120,2020,171,74,73,0.005847953216374269
ES,lower_N5_median_k3,120,2021,163,67,74,-0.04294478527607362
ES,lower_N5_median_k3,120,2022,205,87,74,0.06341463414634146
ES,upper_N10_ema_k0,5,2018,224,105,83,0.09821428571428571
ES,upper_N10_ema_k0,5,2019,215,91,99,-0.037209302325581395
ES,upper_N10_ema_k0,5,2020,228,90,105,-0.06578947368421052
ES,upper_N10_ema_k0,5,2021,221,95,102,-0.03167420814479638
ES,upper_N10_ema_k0,5,2022,221,110,91,0.08597285067873303
ES,upper_N10_ema_k0,15,2018,224,105,85,0.08928571428571429
ES,upper_N10_ema_k0,15,2019,215,93,100,-0.03255813953488372
ES,upper_N10_ema_k0,15,2020,228,93,107,-0.06140350877192982
ES,upper_N10_ema_k0,15,2021,221,95,106,-0.049773755656108594
ES,upper_N10_ema_k0,15,2022,221,110,91,0.08597285067873303
ES,upper_N10_ema_k0,30,2018,224,105,85,0.08928571428571429
ES,upper_N10_ema_k0,30,2019,215,93,100,-0.03255813953488372
ES,upper_N10_ema_k0,30,2020,228,93,107,-0.06140350877192982
ES,upper_N10_ema_k0,30,2021,221,95,106,-0.049773755656108594
ES,upper_N10_ema_k0,30,2022,221,110,91,0.08597285067873303
ES,upper_N10_ema_k0,60,2018,224,105,85,0.08928571428571429
ES,upper_N10_ema_k0,60,2019,215,93,100,-0.03255813953488372
ES,upper_N10_ema_k0,60,2020,228,93,107,-0.06140350877192982
ES,upper_N10_ema_k0,60,2021,221,95,106,-0.049773755656108594
ES,upper_N10_ema_k0,60,2022,221,110,91,0.08597285067873303
ES,upper_N10_ema_k0,120,2018,224,105,85,0.08928571428571429
ES,upper_N10_ema_k0,120,2019,215,93,100,-0.03255813953488372
ES,upper_N10_ema_k0,120,2020,228,93,107,-0.06140350877192982
ES,upper_N10_ema_k0,120,2021,221,95,106,-0.049773755656108594
ES,upper_N10_ema_k0,120,2022,221,110,91,0.08597285067873303
ES,upper_N10_ema_k1,5,2018,210,91,89,0.009523809523809525
ES,upper_N10_ema_k1,5,2019,194,87,82,0.02577319587628866
ES,upper_N10_ema_k1,5,2020,208,89,91,-0.009615384615384616
ES,upper_N10_ema_k1,5,2021,201,95,82,0.06467661691542288
ES,upper_N10_ema_k1,5,2022,208,102,79,0.11057692307692307
ES,upper_N10_ema_k1,15,2018,210,91,89,0.009523809523809525
ES,upper_N10_ema_k1,15,2019,194,89,85,0.020618556701030927
ES,upper_N10_ema_k1,15,2020,208,91,97,-0.028846153846153848
ES,upper_N10_ema_k1,15,2021,201,98,86,0.05970149253731343
ES,upper_N10_ema_k1,15,2022,208,102,81,0.10096153846153846
ES,upper_N10_ema_k1,30,2018,210,91,89,0.009523809523809525
ES,upper_N10_ema_k1,30,2019,194,89,85,0.020618556701030927
ES,upper_N10_ema_k1,30,2020,208,92,97,-0.02403846153846154
ES,upper_N10_ema_k1,30,2021,201,98,87,0.05472636815920398
ES,upper_N10_ema_k1,30,2022,208,102,81,0.10096153846153846
ES,upper_N10_ema_k1,60,2018,210,91,89,0.009523809523809525
ES,upper_N10_ema_k1,60,2019,194,89,85,0.020618556701030927
ES,upper_N10_ema_k1,60,2020,208,92,97,-0.02403846153846154
ES,upper_N10_ema_k1,60,2021,201,98,87,0.05472636815920398
ES,upper_N10_ema_k1,60,2022,208,102,81,0.10096153846153846
ES,upper_N10_ema_k1,120,2018,210,91,89,0.009523809523809525
ES,upper_N10_ema_k1,120,2019,194,89,85,0.020618556701030927
ES,upper_N10_ema_k1,120,2020,208,92,97,-0.02403846153846154
ES,upper_N10_ema_k1,120,2021,201,98,87,0.05472636815920398
ES,upper_N10_ema_k1,120,2022,208,102,81,0.10096153846153846
ES,upper_N10_ema_k2,5,2018,194,72,90,-0.09278350515463918
ES,upper_N10_ema_k2,5,2019,177,85,67,0.1016949152542373
ES,upper_N10_ema_k2,5,2020,179,89,69,0.11173184357541899
ES,upper_N10_ema_k2,5,2021,179,70,80,-0.055865921787709494
ES,upper_N10_ema_k2,5,2022,198,99,77,0.1111111111111111
ES,upper_N10_ema_k2,15,2018,194,73,92,-0.0979381443298969
ES,upper_N10_ema_k2,15,2019,177,87,71,0.0903954802259887
ES,upper_N10_ema_k2,15,2020,179,93,71,0.12290502793296089
ES,upper_N10_ema_k2,15,2021,179,72,84,-0.0670391061452514
ES,upper_N10_ema_k2,15,2022,198,100,78,0.1111111111111111
ES,upper_N10_ema_k2,30,2018,194,73,92,-0.0979381443298969
ES,upper_N10_ema_k2,30,2019,177,87,71,0.0903954802259887
ES,upper_N10_ema_k2,30,2020,179,94,72,0.12290502793296089
ES,upper_N10_ema_k2,30,2021,179,74,84,-0.055865921787709494
ES,upper_N10_ema_k2,30,2022,198,100,78,0.1111111111111111
ES,upper_N10_ema_k2,60,2018,194,73,92,-0.0979381443298969
ES,upper_N10_ema_k2,60,2019,177,87,71,0.0903954802259887
ES,upper_N10_ema_k2,60,2020,179,94,72,0.12290502793296089
ES,upper_N10_ema_k2,60,2021,179,74,84,-0.055865921787709494
ES,upper_N10_ema_k2,60,2022,198,100,78,0.1111111111111111
ES,upper_N10_ema_k2,120,2018,194,73,92,-0.0979381443298969
ES,upper_N10_ema_k2,120,2019,177,87,71,0.0903954802259887
ES,upper_N10_ema_k2,120,2020,179,94,72,0.12290502793296089
ES,upper_N10_ema_k2,120,2021,179,74,84,-0.055865921787709494
ES,upper_N10_ema_k2,120,2022,198,100,78,0.1111111111111111
ES,upper_N10_ema_k3,5,2018,178,72,82,-0.056179775280898875
ES,upper_N10_ema_k3,5,2019,164,67,68,-0.006097560975609756
ES,upper_N10_ema_k3,5,2020,166,59,76,-0.10240963855421686
ES,upper_N10_ema_k3,5,2021,157,78,60,0.11464968152866242
ES,upper_N10_ema_k3,5,2022,181,87,77,0.055248618784530384
ES,upper_N10_ema_k3,15,2018,178,75,84,-0.05056179775280899
ES,upper_N10_ema_k3,15,2019,164,71,70,0.006097560975609756
ES,upper_N10_ema_k3,15,2020,166,61,79,-0.10843373493975904
ES,upper_N10_ema_k3,15,2021,157,82,63,0.12101910828025478
ES,upper_N10_ema_k3,15,2022,181,87,79,0.04419889502762431
ES,upper_N10_ema_k3,30,2018,178,75,84,-0.05056179775280899
ES,upper_N10_ema_k3,30,2019,164,73,70,0.018292682926829267
ES,upper_N10_ema_k3,30,2020,166,63,81,-0.10843373493975904
ES,upper_N10_ema_k3,30,2021,157,82,63,0.12101910828025478
ES,upper_N10_ema_k3,30,2022,181,87,79,0.04419889502762431
ES,upper_N10_ema_k3,60,2018,178,75,84,-0.05056179775280899
ES,upper_N10_ema_k3,60,2019,164,73,70,0.018292682926829267
ES,upper_N10_ema_k3,60,2020,166,63,81,-0.10843373493975904
ES,upper_N10_ema_k3,60,2021,157,82,63,0.12101910828025478
ES,upper_N10_ema_k3,60,2022,181,87,79,0.04419889502762431
ES,upper_N10_ema_k3,120,2018,178,75,84,-0.05056179775280899
ES,upper_N10_ema_k3,120,2019,164,73,70,0.018292682926829267
ES,upper_N10_ema_k3,120,2020,166,63,81,-0.10843373493975904
ES,upper_N10_ema_k3,120,2021,157,82,63,0.12101910828025478
ES,upper_N10_ema_k3,120,2022,181,87,79,0.04419889502762431
ES,upper_N10_mean_k0,5,2018,225,99,86,0.057777777777777775
ES,upper_N10_mean_k0,5,2019,214,89,97,-0.037383177570093455
ES,upper_N10_mean_k0,5,2020,228,90,101,-0.04824561403508772
ES,upper_N10_mean_k0,5,2021,221,105,92,0.058823529411764705
ES,upper_N10_mean_k0,5,2022,222,118,87,0.13963963963963963
ES,upper_N10_mean_k0,15,2018,225,99,87,0.05333333333333334
ES,upper_N10_mean_k0,15,2019,214,91,98,-0.03271028037383177
ES,upper_N10_mean_k0,15,2020,228,96,103,-0.03070175438596491
ES,upper_N10_mean_k0,15,2021,221,105,95,0.04524886877828054
ES,upper_N10_mean_k0,15,2022,222,118,87,0.13963963963963963
ES,upper_N10_mean_k0,30,2018,225,99,87,0.05333333333333334
ES,upper_N10_mean_k0,30,2019,214,91,98,-0.03271028037383177
ES,upper_N10_mean_k0,30,2020,228,96,103,-0.03070175438596491
ES,upper_N10_mean_k0,30,2021,221,105,95,0.04524886877828054
ES,upper_N10_mean_k0,30,2022,222,118,87,0.13963963963963963
ES,upper_N10_mean_k0,60,2018,225,99,87,0.05333333333333334
ES,upper_N10_mean_k0,60,2019,214,91,98,-0.03271028037383177
ES,upper_N10_mean_k0,60,2020,228,96,103,-0.03070175438596491
ES,upper_N10_mean_k0,60,2021,221,105,95,0.04524886877828054
ES,upper_N10_mean_k0,60,2022,222,118,87,0.13963963963963963
ES,upper_N10_mean_k0,120,2018,225,99,87,0.05333333333333334
ES,upper_N10_mean_k0,120,2019,214,91,98,-0.03271028037383177
ES,upper_N10_mean_k0,120,2020,228,96,103,-0.03070175438596491
ES,upper_N10_mean_k0,120,2021,221,105,95,0.04524886877828054
ES,upper_N10_mean_k0,120,2022,222,118,87,0.13963963963963963
ES,upper_N10_mean_k1,5,2018,212,87,93,-0.02830188679245283
ES,upper_N10_mean_k1,5,2019,194,87,82,0.02577319587628866
ES,upper_N10_mean_k1,5,2020,208,86,89,-0.014423076923076924
ES,upper_N10_mean_k1,5,2021,198,88,80,0.04040404040404041
ES,upper_N10_mean_k1,5,2022,207,108,73,0.16908212560386474
ES,upper_N10_mean_k1,15,2018,212,88,94,-0.02830188679245283
ES,upper_N10_mean_k1,15,2019,194,88,85,0.015463917525773196
ES,upper_N10_mean_k1,15,2020,208,89,96,-0.03365384615384615
ES,upper_N10_mean_k1,15,2021,198,92,84,0.04040404040404041
ES,upper_N10_mean_k1,15,2022,207,108,75,0.15942028985507245
ES,upper_N10_mean_k1,30,2018,212,88,94,-0.02830188679245283
ES,upper_N10_mean_k1,30,2019,194,88,85,0.015463917525773196
ES,upper_N10_mean_k1,30,2020,208,90,96,-0.028846153846153848
ES,upper_N10_mean_k1,30,2021,198,92,84,0.04040404040404041
ES,upper_N10_mean_k1,30,2022,207,108,75,0.15942028985507245
ES,upper_N10_mean_k1,60,2018,212,88,94,-0.02830188679245283
ES,upper_N10_mean_k1,60,2019,194,88,85,0.015463917525773196
ES,upper_N10_mean_k1,60,2020,208,90,96,-0.028846153846153848
ES,upper_N10_mean_k1,60,2021,198,93,84,0.045454545454545456
ES,upper_N10_mean_k1,60,2022,207,108,75,0.15942028985507245
ES,upper_N10_mean_k1,120,2018,212,88,94,-0.02830188679245283
ES,upper_N10_mean_k1,120,2019,194,88,85,0.015463917525773196
ES,upper_N10_mean_k1,120,2020,208,90,96,-0.028846153846153848
ES,upper_N10_mean_k1,120,2021,198,93,84,0.045454545454545456
ES,upper_N10_mean_k1,120,2022,207,108,75,0.15942028985507245
ES,upper_N10_mean_k2,5,2018,194,75,86,-0.05670103092783505
ES,upper_N10_mean_k2,5,2019,177,88,71,0.096045197740113
ES,upper_N10_mean_k2,5,2020,179,86,69,0.09497206703910614
ES,upper_N10_mean_k2,5,2021,179,76,75,0.00558659217877095
ES,upper_N10_mean_k2,5,2022,197,97,79,0.09137055837563451
ES,upper_N10_mean_k2,15,2018,194,76,88,-0.061855670103092786
ES,upper_N10_mean_k2,15,2019,177,90,73,0.096045197740113
ES,upper_N10_mean_k2,15,2020,179,91,71,0.11173184357541899
ES,upper_N10_mean_k2,15,2021,179,79,79,0.0
ES,upper_N10_mean_k2,15,2022,197,97,81,0.08121827411167512
ES,upper_N10_mean_k2,30,2018,194,76,88,-0.061855670103092786
ES,upper_N10_mean_k2,30,2019,177,90,73,0.096045197740113
ES,upper_N10_mean_k2,30,2020,179,92,72,0.11173184357541899
ES,upper_N10_mean_k2,30,2021,179,81,80,0.00558659217877095
ES,upper_N10_mean_k2,30,2022,197,97,81,0.08121827411167512
ES,upper_N10_mean_k2,60,2018,194,76,88,-0.061855670103092786
ES,upper_N10_mean_k2,60,2019,177,90,73,0.096045197740113
ES,upper_N10_mean_k2,60,2020,179,92,72,0.11173184357541899
ES,upper_N10_mean_k2,60,2021,179,81,80,0.00558659217877095
ES,upper_N10_mean_k2,60,2022,197,97,81,0.08121827411167512
ES,upper_N10_mean_k2,120,2018,194,76,88,-0.061855670103092786
ES,upper_N10_mean_k2,120,2019,177,90,73,0.096045197740113
ES,upper_N10_mean_k2,120,2020,179,92,72,0.11173184357541899
ES,upper_N10_mean_k2,120,2021,179,81,80,0.00558659217877095
ES,upper_N10_mean_k2,120,2022,197,97,81,0.08121827411167512
ES,upper_N10_mean_k3,5,2018,177,69,85,-0.0903954802259887
ES,upper_N10_mean_k3,5,2019,164,71,69,0.012195121951219513
ES,upper_N10_mean_k3,5,2020,165,61,71,-0.06060606060606061
ES,upper_N10_mean_k3,5,2021,157,72,65,0.044585987261146494
ES,upper_N10_mean_k3,5,2022,181,87,76,0.06077348066298342
ES,upper_N10_mean_k3,15,2018,177,69,86,-0.096045197740113
ES,upper_N10_mean_k3,15,2019,164,75,70,0.03048780487804878
ES,upper_N10_mean_k3,15,2020,165,64,74,-0.06060606060606061
ES,upper_N10_mean_k3,15,2021,157,74,68,0.03821656050955414
ES,upper_N10_mean_k3,15,2022,181,87,76,0.06077348066298342
ES,upper_N10_mean_k3,30,2018,177,70,86,-0.0903954802259887
ES,upper_N10_mean_k3,30,2019,164,76,71,0.03048780487804878
ES,upper_N10_mean_k3,30,2020,165,65,76,-0.06666666666666667
ES,upper_N10_mean_k3,30,2021,157,74,68,0.03821656050955414
ES,upper_N10_mean_k3,30,2022,181,87,76,0.06077348066298342
ES,upper_N10_mean_k3,60,2018,177,70,86,-0.0903954802259887
ES,upper_N10_mean_k3,60,2019,164,76,71,0.03048780487804878
ES,upper_N10_mean_k3,60,2020,165,65,76,-0.06666666666666667
ES,upper_N10_mean_k3,60,2021,157,74,68,0.03821656050955414
ES,upper_N10_mean_k3,60,2022,181,87,76,0.06077348066298342
ES,upper_N10_mean_k3,120,2018,177,70,86,-0.0903954802259887
ES,upper_N10_mean_k3,120,2019,164,76,71,0.03048780487804878
ES,upper_N10_mean_k3,120,2020,165,65,76,-0.06666666666666667
ES,upper_N10_mean_k3,120,2021,157,74,68,0.03821656050955414
ES,upper_N10_mean_k3,120,2022,181,87,76,0.06077348066298342
ES,upper_N10_median_k0,5,2018,227,103,85,0.07929515418502203
ES,upper_N10_median_k0,5,2019,220,83,111,-0.12727272727272726
ES,upper_N10_median_k0,5,2020,230,94,103,-0.0391304347826087
ES,upper_N10_median_k0,5,2021,225,103,94,0.04
ES,upper_N10_median_k0,5,2022,228,111,89,0.09649122807017543
ES,upper_N10_median_k0,15,2018,227,103,86,0.07488986784140969
ES,upper_N10_median_k0,15,2019,220,83,111,-0.12727272727272726
ES,upper_N10_median_k0,15,2020,230,97,106,-0.0391304347826087
ES,upper_N10_median_k0,15,2021,225,105,95,0.044444444444444446
ES,upper_N10_median_k0,15,2022,228,111,89,0.09649122807017543
ES,upper_N10_median_k0,30,2018,227,103,86,0.07488986784140969
ES,upper_N10_median_k0,30,2019,220,83,111,-0.12727272727272726
ES,upper_N10_median_k0,30,2020,230,97,106,-0.0391304347826087
ES,upper_N10_median_k0,30,2021,225,105,95,0.044444444444444446
ES,upper_N10_median_k0,30,2022,228,111,89,0.09649122807017543
ES,upper_N10_median_k0,60,2018,227,103,86,0.07488986784140969
ES,upper_N10_median_k0,60,2019,220,83,111,-0.12727272727272726
ES,upper_N10_median_k0,60,2020,230,97,106,-0.0391304347826087
ES,upper_N10_median_k0,60,2021,225,105,95,0.044444444444444446
