instrument,level_id,horizon,n_touch_events,n_nontied_barrier,n_years_with_floor,cont_minus_rev_diff,q_value,median_signed_close_sd,classification
ES,ON_VWAP_0,30,945,756,5,-0.027554535017221604,0.8102798847173216,-0.03656080442035354,MIXED_OR_NULL
ES,ON_VWAP_0,60,945,816,5,-0.02066590126291623,0.8748484406938318,0.07739278779736256,MIXED_OR_NULL
ES,ON_VWAP_0,120,945,847,5,-0.014925373134328346,0.8866383863044958,-0.019678818068644372,MIXED_OR_NULL
ES,ON_VWAP_m1,30,845,703,5,-0.0063775510204081565,1.0,-0.16961470501305614,MIXED_OR_NULL
ES,ON_VWAP_m1,60,845,754,5,-0.022959183673469385,0.8748484406938318,-0.05644594760750888,MIXED_OR_NULL
ES,ON_VWAP_m1,120,845,777,5,-0.019132653061224414,0.8677851768981992,-0.2847771202701483,MIXED_OR_NULL
ES,ON_VWAP_m2,30,633,562,5,0.0394088669950739,0.7981310043602048,0.005862222448218537,MIXED_OR_NULL
ES,ON_VWAP_m2,60,633,594,5,0.04269293924466344,0.8108343120160185,-0.08836756019760998,MIXED_OR_NULL
ES,ON_VWAP_m2,120,633,601,5,0.044334975369458185,0.7962135592649535,-0.2582270769268368,MIXED_OR_NULL
ES,ON_VWAP_m3,30,458,412,5,-0.062360801781737196,0.7715714096451649,-0.21916996897156188,MIXED_OR_NULL
ES,ON_VWAP_m3,60,458,441,5,-0.07349665924276166,0.7879584284322592,-0.5279460202071697,MIXED_OR_NULL
ES,ON_VWAP_m3,120,458,446,5,-0.08017817371937641,0.7962135592649535,-0.5655644665766701,MIXED_OR_NULL
ES,ON_VWAP_p1,30,886,702,5,0.046511627906976716,0.7715714096451649,0.09856954245698119,MIXED_OR_NULL
ES,ON_VWAP_p1,60,886,767,5,0.05018359853121174,0.7879584284322592,0.11776324431065474,MIXED_OR_NULL
ES,ON_VWAP_p1,120,886,796,5,0.04895960832313345,0.7962135592649535,0.13079285188174503,MIXED_OR_NULL
ES,ON_VWAP_p2,30,671,553,5,0.05745341614906835,0.7715714096451649,0.17131712996910514,MIXED_OR_NULL
ES,ON_VWAP_p2,60,671,605,5,0.05745341614906835,0.7879584284322592,0.18691473929164643,MIXED_OR_NULL
ES,ON_VWAP_p2,120,671,625,5,0.06366459627329185,0.7962135592649535,0.3200374119460091,MIXED_OR_NULL
ES,ON_VWAP_p3,30,438,352,5,0.009216589861751168,1.0,0.2323313680758346,MIXED_OR_NULL
ES,ON_VWAP_p3,60,438,401,5,0.020737327188940113,0.9135062161925108,0.4508538786223493,MIXED_OR_NULL
ES,ON_VWAP_p3,120,438,421,5,0.03456221198156689,0.8677851768981992,0.4715368240419794,MIXED_OR_NULL
ES,PR_VWAP_0,30,476,265,5,-0.015184381778741818,0.9320404800805823,-0.014191424881626218,MIXED_OR_NULL
ES,PR_VWAP_0,60,476,355,5,0.0021691973969631406,1.0,0.07654595309608044,MIXED_OR_NULL
ES,PR_VWAP_0,120,476,411,5,-0.006507592190889366,0.9666884488011775,0.03390670534790417,MIXED_OR_NULL
ES,PR_VWAP_m1,30,429,278,5,-0.062200956937799035,0.7715714096451649,-0.10876774084124002,MIXED_OR_NULL
ES,PR_VWAP_m1,60,429,342,5,-0.08133971291866032,0.7879584284322592,-0.11260976618797151,MIXED_OR_NULL
ES,PR_VWAP_m1,120,429,386,5,-0.09569377990430628,0.7962135592649535,-0.16385163260994906,MIXED_OR_NULL
ES,PR_VWAP_m2,30,328,224,5,0.0761904761904762,0.7715714096451649,-0.014936062358102568,MIXED_OR_NULL
ES,PR_VWAP_m2,60,328,264,5,0.025396825396825418,0.9100713547368864,-0.14369580815034333,MIXED_OR_NULL
ES,PR_VWAP_m2,120,328,292,5,0.031746031746031744,0.8677851768981992,-0.1577843689922997,MIXED_OR_NULL
ES,PR_VWAP_m3,30,246,183,5,0.004237288135593209,1.0,-0.06956247179100808,MIXED_OR_NULL
ES,PR_VWAP_m3,60,246,210,5,-0.008474576271186474,1.0,-0.2078858576033516,MIXED_OR_NULL
ES,PR_VWAP_m3,120,246,225,5,-0.029661016949152574,0.8866383863044958,-0.30141493921875573,MIXED_OR_NULL
ES,PR_VWAP_p1,30,480,267,5,-0.08951965065502185,0.40747423173391617,-0.0924955943105794,MIXED_OR_NULL
ES,PR_VWAP_p1,60,480,340,5,-0.06550218340611352,0.7879584284322592,0.00014448444927809743,MIXED_OR_NULL
ES,PR_VWAP_p1,120,480,401,5,-0.08078602620087338,0.7962135592649535,-0.09976640202917551,MIXED_OR_NULL
ES,PR_VWAP_p2,30,394,231,5,-0.0026246719160105125,1.0,0.02015228450877053,MIXED_OR_NULL
ES,PR_VWAP_p2,60,394,296,5,0.0,1.0,0.026083773925718527,MIXED_OR_NULL
ES,PR_VWAP_p2,120,394,336,5,-0.015748031496062964,0.9472952890154832,-0.04859873426378749,MIXED_OR_NULL
ES,PR_VWAP_p3,30,327,174,5,0.006472491909385092,1.0,0.042359422434282056,MIXED_OR_NULL
ES,PR_VWAP_p3,60,327,237,5,0.009708737864077666,1.0,0.1470492309678214,MIXED_OR_NULL
ES,PR_VWAP_p3,120,327,274,5,0.0517799352750809,0.8296779303876447,0.263052068434843,MIXED_OR_NULL
ES,lower_N10_ema_k0,30,1113,924,5,0.022140221402214055,0.8399591015239245,-0.13076764414436504,MIXED_OR_NULL
