instrument,level_id,timing_bin,n
ES,ON_VWAP_p3,MINUTES_2_TO_5,36
ES,ON_VWAP_p3,MINUTES_31_TO_60,107
ES,ON_VWAP_p3,MINUTES_61_TO_120,115
ES,ON_VWAP_p3,MINUTES_6_TO_15,73
ES,PR_VWAP_0,BAR_0930,80
ES,PR_VWAP_0,MINUTES_16_TO_30,69
ES,PR_VWAP_0,MINUTES_2_TO_5,58
ES,PR_VWAP_0,MINUTES_31_TO_60,94
ES,PR_VWAP_0,MINUTES_61_TO_120,98
ES,PR_VWAP_0,MINUTES_6_TO_15,77
ES,PR_VWAP_m1,BAR_0930,67
ES,PR_VWAP_m1,MINUTES_16_TO_30,64
ES,PR_VWAP_m1,MINUTES_2_TO_5,68
ES,PR_VWAP_m1,MINUTES_31_TO_60,70
ES,PR_VWAP_m1,MINUTES_61_TO_120,91
ES,PR_VWAP_m1,MINUTES_6_TO_15,69
ES,PR_VWAP_m2,BAR_0930,53
ES,PR_VWAP_m2,MINUTES_16_TO_30,54
ES,PR_VWAP_m2,MINUTES_2_TO_5,56
ES,PR_VWAP_m2,MINUTES_31_TO_60,66
ES,PR_VWAP_m2,MINUTES_61_TO_120,60
ES,PR_VWAP_m2,MINUTES_6_TO_15,39
ES,PR_VWAP_m3,BAR_0930,28
ES,PR_VWAP_m3,MINUTES_16_TO_30,36
ES,PR_VWAP_m3,MINUTES_2_TO_5,37
ES,PR_VWAP_m3,MINUTES_31_TO_60,46
ES,PR_VWAP_m3,MINUTES_61_TO_120,58
ES,PR_VWAP_m3,MINUTES_6_TO_15,41
ES,PR_VWAP_p1,BAR_0930,78
ES,PR_VWAP_p1,MINUTES_16_TO_30,72
ES,PR_VWAP_p1,MINUTES_2_TO_5,88
ES,PR_VWAP_p1,MINUTES_31_TO_60,85
ES,PR_VWAP_p1,MINUTES_61_TO_120,79
ES,PR_VWAP_p1,MINUTES_6_TO_15,78
ES,PR_VWAP_p2,BAR_0930,68
ES,PR_VWAP_p2,MINUTES_16_TO_30,55
ES,PR_VWAP_p2,MINUTES_2_TO_5,59
ES,PR_VWAP_p2,MINUTES_31_TO_60,64
ES,PR_VWAP_p2,MINUTES_61_TO_120,83
ES,PR_VWAP_p2,MINUTES_6_TO_15,65
ES,PR_VWAP_p3,BAR_0930,58
ES,PR_VWAP_p3,MINUTES_16_TO_30,54
ES,PR_VWAP_p3,MINUTES_2_TO_5,44
ES,PR_VWAP_p3,MINUTES_31_TO_60,63
ES,PR_VWAP_p3,MINUTES_61_TO_120,49
ES,PR_VWAP_p3,MINUTES_6_TO_15,59
ES,lower_N10_ema_k0,BAR_0930,521
ES,lower_N10_ema_k0,MINUTES_16_TO_30,59
ES,lower_N10_ema_k0,MINUTES_2_TO_5,350
ES,lower_N10_ema_k0,MINUTES_31_TO_60,45
ES,lower_N10_ema_k0,MINUTES_61_TO_120,21
ES,lower_N10_ema_k0,MINUTES_6_TO_15,117
ES,lower_N10_ema_k1,BAR_0930,231
ES,lower_N10_ema_k1,MINUTES_16_TO_30,94
ES,lower_N10_ema_k1,MINUTES_2_TO_5,408
ES,lower_N10_ema_k1,MINUTES_31_TO_60,66
ES,lower_N10_ema_k1,MINUTES_61_TO_120,36
ES,lower_N10_ema_k1,MINUTES_6_TO_15,190
ES,lower_N10_ema_k2,BAR_0930,112
ES,lower_N10_ema_k2,MINUTES_16_TO_30,125
ES,lower_N10_ema_k2,MINUTES_2_TO_5,329
ES,lower_N10_ema_k2,MINUTES_31_TO_60,91
ES,lower_N10_ema_k2,MINUTES_61_TO_120,52
ES,lower_N10_ema_k2,MINUTES_6_TO_15,228
ES,lower_N10_ema_k3,BAR_0930,63
ES,lower_N10_ema_k3,MINUTES_16_TO_30,144
ES,lower_N10_ema_k3,MINUTES_2_TO_5,234
ES,lower_N10_ema_k3,MINUTES_31_TO_60,129
ES,lower_N10_ema_k3,MINUTES_61_TO_120,67
ES,lower_N10_ema_k3,MINUTES_6_TO_15,232
ES,lower_N10_mean_k0,BAR_0930,540
ES,lower_N10_mean_k0,MINUTES_16_TO_30,54
ES,lower_N10_mean_k0,MINUTES_2_TO_5,343
