instrument,level_id,horizon,n,median_raw_signed_close,mean_raw_signed_close,median_norm_signed_close,mean_norm_signed_close,median_cont_exc,median_rev_exc,median_cont_exc_sd,median_rev_exc_sd,median_dominance,p_cont_gt_rev,p_rev_gt_cont,post_touch_retouch_rate,directional_close_recross_rate
ES,ON_VWAP_0,5,871,0.07609026299041943,-0.17253116357479756,-0.018970752781414343,-0.0389188567482857,2.3268371811777797,2.5296037466077905,0.46470236049523633,0.48633860507586096,-0.02214026134318674,0.49483352468427094,0.505166475315729,0.7623421354764638,0.28587830080367393
ES,ON_VWAP_0,15,871,0.04859570628286747,-0.17683655967123843,-0.009035647190264201,-0.03151327224948359,4.011509743246279,4.194128251298025,0.8001890466940182,0.8220187171004919,-0.05611535453028725,0.47416762342135477,0.5258323765786452,0.8415614236509759,0.5315729047072331
ES,ON_VWAP_0,30,871,0.1794637003195021,-0.4150684770076334,-0.03656080442035354,-0.04797204773495989,5.404715964986281,5.639165321387736,1.0934777004728422,1.1301771758509844,-0.0304853506032055,0.48679678530424797,0.513203214695752,0.8748564867967853,0.642939150401837
ES,ON_VWAP_0,60,871,0.6941282512980251,-0.5947470074324325,0.07739278779736256,0.04282858090290571,7.251563943075325,7.135668817543774,1.4413999128864328,1.4878335309164472,-0.028064753254875528,0.4833524684270953,0.5166475315729047,0.9024110218140069,0.7175660160734788
ES,ON_VWAP_0,120,871,1.1731628188222203,-0.09245079618099732,-0.019678818068644372,0.08529041858324955,9.772654295245957,9.268019309080955,1.8495443396143185,1.8827354874477427,0.009991092797255241,0.5028702640642939,0.4971297359357061,0.9242250287026407,0.7761194029850746
ES,ON_VWAP_m1,5,784,0.05517001904263452,0.09722809555266826,-0.010222780850769601,-0.0184419012906231,2.6972728971786637,2.7483266434708185,0.4953975376658532,0.5901350163411633,-0.09227149066615095,0.461734693877551,0.5382653061224489,0.7806122448979592,0.28316326530612246
ES,ON_VWAP_m1,15,784,0.3288187885893876,0.025480646573076422,-0.043223801687236066,-0.013336814157119146,4.3904280797901265,4.362428370091038,0.8706083625924279,0.8731313064384656,-0.054882409607607555,0.4846938775510204,0.5153061224489796,0.8571428571428571,0.5293367346938775
ES,ON_VWAP_m1,30,784,0.3061093547673863,-0.0032183330187603113,-0.16961470501305614,-0.015205718732106438,5.994628449543143,5.9135591418476,1.2085688467384672,1.2038280189754962,-0.039913711993377544,0.48341836734693877,0.5165816326530612,0.889030612244898,0.6479591836734694
ES,ON_VWAP_m1,60,784,-0.3988250793865973,0.01910309555266826,-0.05644594760750888,0.10166482340202208,7.7128007144699495,7.579323183686938,1.5783484692168543,1.593585318497177,-0.025152287081193284,0.4872448979591837,0.5127551020408163,0.9145408163265306,0.7385204081632653
ES,ON_VWAP_m1,120,784,1.0722021640997355,0.06693472820572949,-0.2847771202701483,0.023012360185491552,9.727662614492829,9.3353601946053,2.1230171215076394,2.0064935285468657,-0.0036033756644767616,0.49744897959183676,0.5025510204081632,0.9311224489795918,0.7946428571428571
