instrument,level_id,n_reversal_proxy,n_blast_through_proxy,n_neutral,n_total_touch_bars,n_nonneutral,reversal_rate,blast_through_rate,neutral_rate,reversal_minus_blast_diff,p_raw,q_value,same_bar_classification
ES,ON_VWAP_0,447,444,0,891,891,0.5016835016835017,0.4983164983164983,0.0,0.003367003367003367,0.9465846706308821,0.9807985743886248,SAME_BAR_MIXED
ES,ON_VWAP_m1,415,388,0,803,803,0.5168119551681195,0.48318804483188044,0.0,0.033623910336239106,0.35887815074014,0.757529536087832,SAME_BAR_MIXED
ES,ON_VWAP_m2,289,333,0,622,622,0.4646302250803859,0.5353697749196141,0.0,-0.0707395498392283,0.08459976646772085,0.529562125836555,SAME_BAR_MIXED
ES,ON_VWAP_m3,234,224,0,458,458,0.5109170305676856,0.4890829694323144,0.0,0.021834061135371178,0.6741354548183224,0.8434458638541631,SAME_BAR_MIXED
ES,ON_VWAP_p1,451,382,0,833,833,0.5414165666266506,0.45858343337334934,0.0,0.08283313325330131,0.018416530629396643,0.3035268699209734,SAME_BAR_MIXED
ES,ON_VWAP_p2,298,358,0,656,656,0.45426829268292684,0.5457317073170732,0.0,-0.09146341463414634,0.02117629325030047,0.3035268699209734,SAME_BAR_MIXED
ES,ON_VWAP_p3,234,204,0,438,438,0.5342465753424658,0.4657534246575342,0.0,0.0684931506849315,0.16577260500802812,0.6762518950518571,SAME_BAR_MIXED
ES,PR_VWAP_0,241,225,0,466,466,0.5171673819742489,0.48283261802575106,0.0,0.034334763948497854,0.48718257181989083,0.7757764805789217,SAME_BAR_MIXED
ES,PR_VWAP_m1,221,203,0,424,424,0.5212264150943396,0.47877358490566035,0.0,0.04245283018867924,0.40906464258024605,0.757529536087832,SAME_BAR_MIXED
ES,PR_VWAP_m2,144,178,0,322,322,0.4472049689440994,0.5527950310559007,0.0,-0.10559006211180125,0.06574554808757242,0.529562125836555,SAME_BAR_MIXED
ES,PR_VWAP_m3,109,131,0,240,240,0.45416666666666666,0.5458333333333333,0.0,-0.09166666666666666,0.1751191862977773,0.6762518950518571,SAME_BAR_MIXED
