instrument,level_id,year,n_valid,n_touched,touch_rate
NQ,upper_N5_ema_k0,2018,251,226,0.900398406374502
NQ,upper_N5_ema_k0,2019,257,219,0.8521400778210116
NQ,upper_N5_ema_k0,2020,258,230,0.8914728682170543
NQ,upper_N5_ema_k0,2021,258,233,0.9031007751937985
NQ,upper_N5_ema_k0,2022,258,227,0.8798449612403101
NQ,upper_N5_ema_k1,2018,251,214,0.852589641434263
NQ,upper_N5_ema_k1,2019,257,204,0.7937743190661478
NQ,upper_N5_ema_k1,2020,258,210,0.813953488372093
NQ,upper_N5_ema_k1,2021,258,211,0.8178294573643411
NQ,upper_N5_ema_k1,2022,258,210,0.813953488372093
NQ,upper_N5_ema_k2,2018,251,195,0.7768924302788844
NQ,upper_N5_ema_k2,2019,257,185,0.7198443579766537
NQ,upper_N5_ema_k2,2020,258,193,0.748062015503876
NQ,upper_N5_ema_k2,2021,258,195,0.7558139534883721
NQ,upper_N5_ema_k2,2022,258,187,0.7248062015503876
NQ,upper_N5_ema_k3,2018,251,182,0.7250996015936255
NQ,upper_N5_ema_k3,2019,257,159,0.6186770428015564
NQ,upper_N5_ema_k3,2020,258,173,0.6705426356589147
NQ,upper_N5_ema_k3,2021,258,174,0.6744186046511628
NQ,upper_N5_ema_k3,2022,258,166,0.6434108527131783
NQ,upper_N5_mean_k0,2018,251,228,0.9083665338645418
NQ,upper_N5_mean_k0,2019,257,218,0.8482490272373541
NQ,upper_N5_mean_k0,2020,258,230,0.8914728682170543
NQ,upper_N5_mean_k0,2021,258,235,0.9108527131782945
NQ,upper_N5_mean_k0,2022,258,230,0.8914728682170543
NQ,upper_N5_mean_k1,2018,251,212,0.8446215139442231
NQ,upper_N5_mean_k1,2019,257,204,0.7937743190661478
NQ,upper_N5_mean_k1,2020,258,212,0.8217054263565892
NQ,upper_N5_mean_k1,2021,258,209,0.810077519379845
NQ,upper_N5_mean_k1,2022,258,210,0.813953488372093
NQ,upper_N5_mean_k2,2018,251,196,0.7808764940239044
NQ,upper_N5_mean_k2,2019,257,184,0.7159533073929961
NQ,upper_N5_mean_k2,2020,258,190,0.7364341085271318
NQ,upper_N5_mean_k2,2021,258,196,0.7596899224806202
NQ,upper_N5_mean_k2,2022,258,184,0.7131782945736435
