level_id,level_family,anchor_type,lookback_N,center_estimator,k_or_j
ON_VWAP_m3,family_a1_overnight_vwap,overnight_vwap,,,-3
ON_VWAP_m2,family_a1_overnight_vwap,overnight_vwap,,,-2
ON_VWAP_m1,family_a1_overnight_vwap,overnight_vwap,,,-1
ON_VWAP_0,family_a1_overnight_vwap,overnight_vwap,,,0
ON_VWAP_p1,family_a1_overnight_vwap,overnight_vwap,,,1
ON_VWAP_p2,family_a1_overnight_vwap,overnight_vwap,,,2
ON_VWAP_p3,family_a1_overnight_vwap,overnight_vwap,,,3
PR_VWAP_m3,family_a2_prior_rth_vwap,prior_rth_vwap,,,-3
PR_VWAP_m2,family_a2_prior_rth_vwap,prior_rth_vwap,,,-2
PR_VWAP_m1,family_a2_prior_rth_vwap,prior_rth_vwap,,,-1
PR_VWAP_0,family_a2_prior_rth_vwap,prior_rth_vwap,,,0
PR_VWAP_p1,family_a2_prior_rth_vwap,prior_rth_vwap,,,1
PR_VWAP_p2,family_a2_prior_rth_vwap,prior_rth_vwap,,,2
PR_VWAP_p3,family_a2_prior_rth_vwap,prior_rth_vwap,,,3
upper_N5_mean_k0,family_b_excursion,upper_09_30_excursion,5.0,mean,0
upper_N5_mean_k1,family_b_excursion,upper_09_30_excursion,5.0,mean,1
upper_N5_mean_k2,family_b_excursion,upper_09_30_excursion,5.0,mean,2
upper_N5_mean_k3,family_b_excursion,upper_09_30_excursion,5.0,mean,3
upper_N5_median_k0,family_b_excursion,upper_09_30_excursion,5.0,median,0
upper_N5_median_k1,family_b_excursion,upper_09_30_excursion,5.0,median,1
upper_N5_median_k2,family_b_excursion,upper_09_30_excursion,5.0,median,2
upper_N5_median_k3,family_b_excursion,upper_09_30_excursion,5.0,median,3
upper_N5_ema_k0,family_b_excursion,upper_09_30_excursion,5.0,ema,0
upper_N5_ema_k1,family_b_excursion,upper_09_30_excursion,5.0,ema,1
upper_N5_ema_k2,family_b_excursion,upper_09_30_excursion,5.0,ema,2
upper_N5_ema_k3,family_b_excursion,upper_09_30_excursion,5.0,ema,3
upper_N10_mean_k0,family_b_excursion,upper_09_30_excursion,10.0,mean,0
upper_N10_mean_k1,family_b_excursion,upper_09_30_excursion,10.0,mean,1
upper_N10_mean_k2,family_b_excursion,upper_09_30_excursion,10.0,mean,2
upper_N10_mean_k3,family_b_excursion,upper_09_30_excursion,10.0,mean,3
upper_N10_median_k0,family_b_excursion,upper_09_30_excursion,10.0,median,0
upper_N10_median_k1,family_b_excursion,upper_09_30_excursion,10.0,median,1
upper_N10_median_k2,family_b_excursion,upper_09_30_excursion,10.0,median,2
upper_N10_median_k3,family_b_excursion,upper_09_30_excursion,10.0,median,3
upper_N10_ema_k0,family_b_excursion,upper_09_30_excursion,10.0,ema,0
upper_N10_ema_k1,family_b_excursion,upper_09_30_excursion,10.0,ema,1
upper_N10_ema_k2,family_b_excursion,upper_09_30_excursion,10.0,ema,2
upper_N10_ema_k3,family_b_excursion,upper_09_30_excursion,10.0,ema,3
upper_N20_mean_k0,family_b_excursion,upper_09_30_excursion,20.0,mean,0
upper_N20_mean_k1,family_b_excursion,upper_09_30_excursion,20.0,mean,1
upper_N20_mean_k2,family_b_excursion,upper_09_30_excursion,20.0,mean,2
upper_N20_mean_k3,family_b_excursion,upper_09_30_excursion,20.0,mean,3
upper_N20_median_k0,family_b_excursion,upper_09_30_excursion,20.0,median,0
upper_N20_median_k1,family_b_excursion,upper_09_30_excursion,20.0,median,1
upper_N20_median_k2,family_b_excursion,upper_09_30_excursion,20.0,median,2
upper_N20_median_k3,family_b_excursion,upper_09_30_excursion,20.0,median,3
