instrument,level_id,n_sessions,n_valid,pct_valid
ES,ON_VWAP_0,1291,1289,99.84508133230054
ES,ON_VWAP_m1,1291,1289,99.84508133230054
ES,ON_VWAP_m2,1291,1289,99.84508133230054
ES,ON_VWAP_m3,1291,1289,99.84508133230054
ES,ON_VWAP_p1,1291,1289,99.84508133230054
ES,ON_VWAP_p2,1291,1289,99.84508133230054
ES,ON_VWAP_p3,1291,1289,99.84508133230054
ES,PR_VWAP_0,1291,1245,96.43687064291248
ES,PR_VWAP_m1,1291,1245,96.43687064291248
ES,PR_VWAP_m2,1291,1245,96.43687064291248
ES,PR_VWAP_m3,1291,1245,96.43687064291248
ES,PR_VWAP_p1,1291,1245,96.43687064291248
ES,PR_VWAP_p2,1291,1245,96.43687064291248
ES,PR_VWAP_p3,1291,1245,96.43687064291248
ES,lower_N10_ema_k0,1291,1279,99.07048799380325
ES,lower_N10_ema_k1,1291,1279,99.07048799380325
ES,lower_N10_ema_k2,1291,1279,99.07048799380325
ES,lower_N10_ema_k3,1291,1279,99.07048799380325
ES,lower_N10_mean_k0,1291,1279,99.07048799380325
ES,lower_N10_mean_k1,1291,1279,99.07048799380325
ES,lower_N10_mean_k2,1291,1279,99.07048799380325
ES,lower_N10_mean_k3,1291,1279,99.07048799380325
ES,lower_N10_median_k0,1291,1279,99.07048799380325
ES,lower_N10_median_k1,1291,1279,99.07048799380325
ES,lower_N10_median_k2,1291,1279,99.07048799380325
ES,lower_N10_median_k3,1291,1279,99.07048799380325
ES,lower_N20_ema_k0,1291,1269,98.29589465530596
ES,lower_N20_ema_k1,1291,1269,98.29589465530596
ES,lower_N20_ema_k2,1291,1269,98.29589465530596
ES,lower_N20_ema_k3,1291,1269,98.29589465530596
ES,lower_N20_mean_k0,1291,1269,98.29589465530596
ES,lower_N20_mean_k1,1291,1269,98.29589465530596
ES,lower_N20_mean_k2,1291,1269,98.29589465530596
ES,lower_N20_mean_k3,1291,1269,98.29589465530596
ES,lower_N20_median_k0,1291,1269,98.29589465530596
ES,lower_N20_median_k1,1291,1269,98.29589465530596
ES,lower_N20_median_k2,1291,1269,98.29589465530596
ES,lower_N20_median_k3,1291,1269,98.29589465530596
ES,lower_N5_ema_k0,1291,1284,99.4577846630519
ES,lower_N5_ema_k1,1291,1284,99.4577846630519
ES,lower_N5_ema_k2,1291,1284,99.4577846630519
ES,lower_N5_ema_k3,1291,1284,99.4577846630519
ES,lower_N5_mean_k0,1291,1284,99.4577846630519
ES,lower_N5_mean_k1,1291,1284,99.4577846630519
ES,lower_N5_mean_k2,1291,1284,99.4577846630519
ES,lower_N5_mean_k3,1291,1284,99.4577846630519
ES,lower_N5_median_k0,1291,1284,99.4577846630519
ES,lower_N5_median_k1,1291,1284,99.4577846630519
ES,lower_N5_median_k2,1291,1284,99.4577846630519
ES,lower_N5_median_k3,1291,1284,99.4577846630519
ES,upper_N10_ema_k0,1291,1279,99.07048799380325
ES,upper_N10_ema_k1,1291,1279,99.07048799380325
ES,upper_N10_ema_k2,1291,1279,99.07048799380325
ES,upper_N10_ema_k3,1291,1279,99.07048799380325
ES,upper_N10_mean_k0,1291,1279,99.07048799380325
ES,upper_N10_mean_k1,1291,1279,99.07048799380325
ES,upper_N10_mean_k2,1291,1279,99.07048799380325
ES,upper_N10_mean_k3,1291,1279,99.07048799380325
ES,upper_N10_median_k0,1291,1279,99.07048799380325
ES,upper_N10_median_k1,1291,1279,99.07048799380325
ES,upper_N10_median_k2,1291,1279,99.07048799380325
ES,upper_N10_median_k3,1291,1279,99.07048799380325
ES,upper_N20_ema_k0,1291,1269,98.29589465530596
ES,upper_N20_ema_k1,1291,1269,98.29589465530596
ES,upper_N20_ema_k2,1291,1269,98.29589465530596
ES,upper_N20_ema_k3,1291,1269,98.29589465530596
ES,upper_N20_mean_k0,1291,1269,98.29589465530596
ES,upper_N20_mean_k1,1291,1269,98.29589465530596
ES,upper_N20_mean_k2,1291,1269,98.29589465530596
ES,upper_N20_mean_k3,1291,1269,98.29589465530596
ES,upper_N20_median_k0,1291,1269,98.29589465530596
ES,upper_N20_median_k1,1291,1269,98.29589465530596
ES,upper_N20_median_k2,1291,1269,98.29589465530596
ES,upper_N20_median_k3,1291,1269,98.29589465530596
ES,upper_N5_ema_k0,1291,1284,99.4577846630519
ES,upper_N5_ema_k1,1291,1284,99.4577846630519
ES,upper_N5_ema_k2,1291,1284,99.4577846630519
ES,upper_N5_ema_k3,1291,1284,99.4577846630519
ES,upper_N5_mean_k0,1291,1284,99.4577846630519
ES,upper_N5_mean_k1,1291,1284,99.4577846630519
ES,upper_N5_mean_k2,1291,1284,99.4577846630519
ES,upper_N5_mean_k3,1291,1284,99.4577846630519
ES,upper_N5_median_k0,1291,1284,99.4577846630519
ES,upper_N5_median_k1,1291,1284,99.4577846630519
ES,upper_N5_median_k2,1291,1284,99.4577846630519
ES,upper_N5_median_k3,1291,1284,99.4577846630519
NQ,ON_VWAP_0,1289,1287,99.84484096198604
NQ,ON_VWAP_m1,1289,1287,99.84484096198604
NQ,ON_VWAP_m2,1289,1287,99.84484096198604
NQ,ON_VWAP_m3,1289,1287,99.84484096198604
NQ,ON_VWAP_p1,1289,1287,99.84484096198604
NQ,ON_VWAP_p2,1289,1287,99.84484096198604
NQ,ON_VWAP_p3,1289,1287,99.84484096198604
NQ,PR_VWAP_0,1289,1243,96.43134212567882
NQ,PR_VWAP_m1,1289,1243,96.43134212567882
NQ,PR_VWAP_m2,1289,1243,96.43134212567882
NQ,PR_VWAP_m3,1289,1243,96.43134212567882
NQ,PR_VWAP_p1,1289,1243,96.43134212567882
NQ,PR_VWAP_p2,1289,1243,96.43134212567882
NQ,PR_VWAP_p3,1289,1243,96.43134212567882
NQ,lower_N10_ema_k0,1289,1277,99.06904577191621
NQ,lower_N10_ema_k1,1289,1277,99.06904577191621
NQ,lower_N10_ema_k2,1289,1277,99.06904577191621
NQ,lower_N10_ema_k3,1289,1277,99.06904577191621
NQ,lower_N10_mean_k0,1289,1277,99.06904577191621
NQ,lower_N10_mean_k1,1289,1277,99.06904577191621
NQ,lower_N10_mean_k2,1289,1277,99.06904577191621
NQ,lower_N10_mean_k3,1289,1277,99.06904577191621
NQ,lower_N10_median_k0,1289,1277,99.06904577191621
NQ,lower_N10_median_k1,1289,1277,99.06904577191621
NQ,lower_N10_median_k2,1289,1277,99.06904577191621
NQ,lower_N10_median_k3,1289,1277,99.06904577191621
NQ,lower_N20_ema_k0,1289,1267,98.2932505818464
NQ,lower_N20_ema_k1,1289,1267,98.2932505818464
NQ,lower_N20_ema_k2,1289,1267,98.2932505818464
NQ,lower_N20_ema_k3,1289,1267,98.2932505818464
NQ,lower_N20_mean_k0,1289,1267,98.2932505818464
NQ,lower_N20_mean_k1,1289,1267,98.2932505818464
NQ,lower_N20_mean_k2,1289,1267,98.2932505818464
NQ,lower_N20_mean_k3,1289,1267,98.2932505818464
NQ,lower_N20_median_k0,1289,1267,98.2932505818464
NQ,lower_N20_median_k1,1289,1267,98.2932505818464
NQ,lower_N20_median_k2,1289,1267,98.2932505818464
NQ,lower_N20_median_k3,1289,1267,98.2932505818464
NQ,lower_N5_ema_k0,1289,1282,99.45694336695112
NQ,lower_N5_ema_k1,1289,1282,99.45694336695112
NQ,lower_N5_ema_k2,1289,1282,99.45694336695112
NQ,lower_N5_ema_k3,1289,1282,99.45694336695112
NQ,lower_N5_mean_k0,1289,1282,99.45694336695112
NQ,lower_N5_mean_k1,1289,1282,99.45694336695112
NQ,lower_N5_mean_k2,1289,1282,99.45694336695112
NQ,lower_N5_mean_k3,1289,1282,99.45694336695112
NQ,lower_N5_median_k0,1289,1282,99.45694336695112
NQ,lower_N5_median_k1,1289,1282,99.45694336695112
NQ,lower_N5_median_k2,1289,1282,99.45694336695112
NQ,lower_N5_median_k3,1289,1282,99.45694336695112
NQ,upper_N10_ema_k0,1289,1277,99.06904577191621
NQ,upper_N10_ema_k1,1289,1277,99.06904577191621
NQ,upper_N10_ema_k2,1289,1277,99.06904577191621
NQ,upper_N10_ema_k3,1289,1277,99.06904577191621
NQ,upper_N10_mean_k0,1289,1277,99.06904577191621
NQ,upper_N10_mean_k1,1289,1277,99.06904577191621
NQ,upper_N10_mean_k2,1289,1277,99.06904577191621
NQ,upper_N10_mean_k3,1289,1277,99.06904577191621
NQ,upper_N10_median_k0,1289,1277,99.06904577191621
NQ,upper_N10_median_k1,1289,1277,99.06904577191621
NQ,upper_N10_median_k2,1289,1277,99.06904577191621
NQ,upper_N10_median_k3,1289,1277,99.06904577191621
NQ,upper_N20_ema_k0,1289,1267,98.2932505818464
NQ,upper_N20_ema_k1,1289,1267,98.2932505818464
NQ,upper_N20_ema_k2,1289,1267,98.2932505818464
NQ,upper_N20_ema_k3,1289,1267,98.2932505818464
NQ,upper_N20_mean_k0,1289,1267,98.2932505818464
NQ,upper_N20_mean_k1,1289,1267,98.2932505818464
NQ,upper_N20_mean_k2,1289,1267,98.2932505818464
NQ,upper_N20_mean_k3,1289,1267,98.2932505818464
NQ,upper_N20_median_k0,1289,1267,98.2932505818464
NQ,upper_N20_median_k1,1289,1267,98.2932505818464
NQ,upper_N20_median_k2,1289,1267,98.2932505818464
NQ,upper_N20_median_k3,1289,1267,98.2932505818464
NQ,upper_N5_ema_k0,1289,1282,99.45694336695112
NQ,upper_N5_ema_k1,1289,1282,99.45694336695112
NQ,upper_N5_ema_k2,1289,1282,99.45694336695112
NQ,upper_N5_ema_k3,1289,1282,99.45694336695112
NQ,upper_N5_mean_k0,1289,1282,99.45694336695112
NQ,upper_N5_mean_k1,1289,1282,99.45694336695112
NQ,upper_N5_mean_k2,1289,1282,99.45694336695112
NQ,upper_N5_mean_k3,1289,1282,99.45694336695112
NQ,upper_N5_median_k0,1289,1282,99.45694336695112
NQ,upper_N5_median_k1,1289,1282,99.45694336695112
NQ,upper_N5_median_k2,1289,1282,99.45694336695112
NQ,upper_N5_median_k3,1289,1282,99.45694336695112
