instrument,level_type,side,event_class,n,failure_proxy_rate,outside_close_proxy_rate,neutral_rate
ES,overnight_high,upper,FAILED_BREACH_1MIN,377,1.0,0.0,0.0
ES,overnight_high,upper,FAILED_BREACH_2MIN,193,0.0,0.7409326424870466,0.25906735751295334
ES,overnight_high,upper,FAILED_BREACH_3MIN,77,0.0,0.7792207792207793,0.22077922077922077
ES,overnight_high,upper,SUCCESSFUL_BREACH_CONTROL,411,0.0,0.8686131386861314,0.13138686131386862
ES,overnight_low,lower,FAILED_BREACH_1MIN,416,1.0,0.0,0.0
ES,overnight_low,lower,FAILED_BREACH_2MIN,205,0.0,0.7707317073170732,0.22926829268292684
ES,overnight_low,lower,FAILED_BREACH_3MIN,87,0.0,0.8275862068965517,0.1724137931034483
ES,overnight_low,lower,SUCCESSFUL_BREACH_CONTROL,417,0.0,0.8968824940047961,0.10311750599520383
ES,prev_rth_high,upper,FAILED_BREACH_1MIN,324,1.0,0.0,0.0
ES,prev_rth_high,upper,FAILED_BREACH_2MIN,165,0.0,0.6121212121212121,0.3878787878787879
ES,prev_rth_high,upper,FAILED_BREACH_3MIN,76,0.0,0.7368421052631579,0.2631578947368421
ES,prev_rth_high,upper,SUCCESSFUL_BREACH_CONTROL,355,0.0,0.8169014084507042,0.18309859154929578
ES,prev_rth_low,lower,FAILED_BREACH_1MIN,439,1.0,0.0,0.0
ES,prev_rth_low,lower,FAILED_BREACH_2MIN,195,0.0,0.7487179487179487,0.2512820512820513
ES,prev_rth_low,lower,FAILED_BREACH_3MIN,90,0.0,0.8444444444444444,0.15555555555555556
ES,prev_rth_low,lower,SUCCESSFUL_BREACH_CONTROL,397,0.0,0.8765743073047859,0.12342569269521411
NQ,overnight_high,upper,FAILED_BREACH_1MIN,730,1.0,0.0,0.0
NQ,overnight_high,upper,FAILED_BREACH_2MIN,265,0.0,0.8867924528301887,0.11320754716981132
NQ,overnight_high,upper,FAILED_BREACH_3MIN,107,0.0,0.9439252336448598,0.056074766355140186
NQ,overnight_high,upper,SUCCESSFUL_BREACH_CONTROL,524,0.0,0.9274809160305344,0.07251908396946564
NQ,overnight_low,lower,FAILED_BREACH_1MIN,709,1.0,0.0,0.0
NQ,overnight_low,lower,FAILED_BREACH_2MIN,265,0.0,0.879245283018868,0.12075471698113208
NQ,overnight_low,lower,FAILED_BREACH_3MIN,90,0.0,0.9222222222222223,0.07777777777777778
NQ,overnight_low,lower,SUCCESSFUL_BREACH_CONTROL,470,0.0,0.9531914893617022,0.04680851063829787
NQ,prev_rth_high,upper,FAILED_BREACH_1MIN,598,1.0,0.0,0.0
NQ,prev_rth_high,upper,FAILED_BREACH_2MIN,216,0.0,0.8425925925925926,0.1574074074074074
NQ,prev_rth_high,upper,FAILED_BREACH_3MIN,103,0.0,0.8543689320388349,0.14563106796116504
NQ,prev_rth_high,upper,SUCCESSFUL_BREACH_CONTROL,457,0.0,0.9212253829321663,0.0787746170678337
NQ,prev_rth_low,lower,FAILED_BREACH_1MIN,595,1.0,0.0,0.0
NQ,prev_rth_low,lower,FAILED_BREACH_2MIN,204,0.0,0.9166666666666666,0.08333333333333333
NQ,prev_rth_low,lower,FAILED_BREACH_3MIN,99,0.0,0.9494949494949495,0.050505050505050504
NQ,prev_rth_low,lower,SUCCESSFUL_BREACH_CONTROL,424,0.0,0.9551886792452831,0.04481132075471698
