instrument,level_type,side,event_class,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15
ES,overnight_high,upper,FAILED_BREACH_1MIN,377,265,58,32,0,323,0.7029177718832891,0.15384615384615385,0.5490716180371353,9.320211180051292e-33,OK,0.11799410029498525,2.0754716981132075,1.3114754098360657,0.21052631578947367
ES,overnight_high,upper,FAILED_BREACH_2MIN,193,150,26,11,0,176,0.7772020725388601,0.13471502590673576,0.6424870466321243,2.1624066561172456e-22,OK,0.4675324675324675,2.053571428571429,1.1666666666666667,0.3076923076923077
ES,overnight_high,upper,FAILED_BREACH_3MIN,77,59,11,5,0,70,0.7662337662337663,0.14285714285714285,0.6233766233766234,4.466174729063311e-09,OK,0.7978723404255319,2.3703703703703702,1.0714285714285714,0.3684210526315789
ES,overnight_low,lower,FAILED_BREACH_1MIN,416,284,74,40,0,358,0.6826923076923077,0.1778846153846154,0.5048076923076923,4.004919540921662e-30,OK,0.4707692307692308,2.2919194556652895,1.3793103448275863,0.2144072603516733
ES,overnight_low,lower,FAILED_BREACH_2MIN,205,158,21,17,0,179,0.7707317073170732,0.1024390243902439,0.6682926829268293,3.54051918846311e-27,OK,0.6823182526090594,2.0978090766823163,1.1545937797524597,0.22474747474747475
ES,overnight_low,lower,FAILED_BREACH_3MIN,87,62,15,7,0,77,0.7126436781609196,0.1724137931034483,0.5402298850574713,6.083249930070788e-08,OK,0.900947164213169,2.2950518978874,1.003351487222455,0.4565217391304348
ES,prev_rth_high,upper,FAILED_BREACH_1MIN,324,231,48,29,0,279,0.7129629629629629,0.14814814814814814,0.5648148148148148,6.978080747775828e-30,OK,0.05852552110064403,1.8697033898305084,1.1922530206112296,0.14285714285714285
ES,prev_rth_high,upper,FAILED_BREACH_2MIN,165,123,16,17,0,139,0.7454545454545455,0.09696969696969697,0.6484848484848484,1.2448774653760878e-21,OK,0.236480976678083,2.198786614845009,1.0507446221731935,0.3846153846153846
ES,prev_rth_high,upper,FAILED_BREACH_3MIN,76,58,8,5,0,66,0.7631578947368421,0.10526315789473684,0.6578947368421053,1.7951476752580547e-10,OK,0.9958506224066389,2.368421052631579,0.703125,0.5238095238095238
ES,prev_rth_low,lower,FAILED_BREACH_1MIN,439,293,64,45,0,357,0.6674259681093394,0.14578587699316628,0.5216400911161732,3.928874710490944e-36,OK,0.5122319144749786,2.152811537838276,1.305059767479941,0.24999999999999997
ES,prev_rth_low,lower,FAILED_BREACH_2MIN,195,142,26,14,0,168,0.7282051282051282,0.13333333333333333,0.5948717948717949,1.5149876721323238e-20,OK,0.5463869463869464,2.1301247771836005,1.1613344825837855,0.33333333333333337
ES,prev_rth_low,lower,FAILED_BREACH_3MIN,90,64,13,9,0,77,0.7111111111111111,0.14444444444444443,0.5666666666666667,3.0236347515742237e-09,OK,1.2811047306535412,2.3788166292910127,0.8672408672408674,0.46451612903225803
NQ,overnight_high,upper,FAILED_BREACH_1MIN,730,509,150,37,0,659,0.6972602739726027,0.2054794520547945,0.4917808219178082,1.4257001860238577e-46,OK,0.2598803293755745,2.0810745021274006,1.2491331484049932,0.2559846234492399
NQ,overnight_high,upper,FAILED_BREACH_2MIN,265,189,47,19,0,236,0.7132075471698113,0.17735849056603772,0.5358490566037736,2.289777880630806e-21,OK,0.5232558139534884,1.9434628975265018,1.2608695652173914,0.16398713826366565
NQ,overnight_high,upper,FAILED_BREACH_3MIN,107,79,20,3,0,99,0.7383177570093458,0.18691588785046728,0.5514018691588785,1.7924150285414489e-09,OK,0.3333430645569374,2.07345794732723,1.2121633762950124,0.23940734781442743
NQ,overnight_low,lower,FAILED_BREACH_1MIN,709,463,129,85,0,592,0.6530324400564175,0.18194640338504936,0.4710860366713681,4.122721910507348e-45,OK,0.15037593984962405,1.9963702359346642,1.5717092337917486,0.11475409836065568
NQ,overnight_low,lower,FAILED_BREACH_2MIN,265,190,51,15,0,241,0.7169811320754716,0.19245283018867926,0.5245283018867924,5.0254317677525175e-20,OK,0.11996848589027362,1.94550854242919,1.3327296992271482,0.1920967339815507
NQ,overnight_low,lower,FAILED_BREACH_3MIN,90,61,19,5,0,80,0.6777777777777778,0.2111111111111111,0.4666666666666667,2.7318699228822653e-06,OK,0.7977207977207977,2.3655913978494625,0.9921671018276763,0.4851485148514852
NQ,prev_rth_high,upper,FAILED_BREACH_1MIN,598,418,124,28,0,542,0.6989966555183946,0.20735785953177258,0.4916387959866221,3.1355510918070877e-38,OK,0.12586706826994226,1.9208029935710564,1.3099343185550083,0.1503759398496241
NQ,prev_rth_high,upper,FAILED_BREACH_2MIN,216,174,28,7,0,202,0.8055555555555556,0.12962962962962962,0.6759259259259259,6.045737988169455e-27,OK,0.2660753880266075,2.193877551020408,1.1140583554376657,0.33333333333333337
