instrument,level_type,side,touch_sub,n_events,rotation_first_n,breakout_first_n,tie_n,neither_n,n_nontied,rotation_first_rate,breakout_first_rate,rot_minus_brk_first_rate,binom_p,sample_status,median_signed_close_atr_h5,median_rotation_exc_atr_h5,median_breakout_exc_atr_h5,median_dominance_h5,horizon_min,barrier,median_signed_close_atr_h10,median_rotation_exc_atr_h10,median_breakout_exc_atr_h10,median_dominance_h10,median_signed_close_atr_h15,median_rotation_exc_atr_h15,median_breakout_exc_atr_h15,median_dominance_h15,median_signed_close_atr_h30,median_rotation_exc_atr_h30,median_breakout_exc_atr_h30,median_dominance_h30,median_signed_close_atr_h60,median_rotation_exc_atr_h60,median_breakout_exc_atr_h60,median_dominance_h60
ES,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,115,67,36,10,0,103,0.5826086956521739,0.3130434782608696,0.26956521739130435,0.0029291945870261924,OK,0.0,0.9375,0.7317073170731708,0.09090909090909088,5,0.5,,,,,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,371,289,44,31,0,333,0.7789757412398922,0.11859838274932614,0.660377358490566,2.5165158929763728e-45,OK,0.47905909351692477,1.4625668449197862,0.3519091847265222,0.6000000000000001,5,0.5,,,,,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,36,21,11,4,0,32,0.5833333333333334,0.3055555555555556,0.2777777777777778,0.11018416518345475,UNDERPOWERED,0.2857142857142857,1.2765957446808511,1.0172413793103448,-0.17156862745098042,5,0.5,,,,,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,307,232,37,32,0,269,0.755700325732899,0.12052117263843648,0.6351791530944625,1.0794803862978255e-35,OK,0.5555555555555555,1.566820276497696,0.5357142857142857,0.5294117647058824,5,0.5,,,,,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,6,4,2,0,0,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6875,UNDERPOWERED,0.5685011709601874,1.2572215281849934,0.43484023752297474,0.5591397849462365,5,0.5,,,,,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_INSIDE,131,109,15,7,0,124,0.8320610687022901,0.11450381679389313,0.7175572519083969,8.670257546981357e-19,OK,0.39215686274509803,1.380271871732311,0.39215686274509803,0.6249999999999999,5,0.5,,,,,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,2,0,2,0,0,2,0.0,1.0,-1.0,0.5,UNDERPOWERED,-1.5108821895672373,0.39918194212998026,2.0580215118921377,-0.6770833333333333,5,0.5,,,,,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_INSIDE,87,63,12,10,0,75,0.7241379310344828,0.13793103448275862,0.5862068965517241,1.693839376410126e-09,OK,0.31007751937984496,1.3782051282051282,0.72,0.2920353982300885,5,0.5,,,,,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,9,4,3,2,0,7,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,UNDERPOWERED,0.2469135802469136,0.7495069033530571,0.7058823529411765,0.2258064516129032,5,0.5,,,,,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,136,107,18,9,0,125,0.7867647058823529,0.1323529411764706,0.6544117647058824,1.3494093113112984e-16,OK,0.4470212447387246,1.4620236350703995,0.4880016988744956,0.4679849340866291,5,0.5,,,,,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,6,2,3,1,0,5,0.3333333333333333,0.5,-0.16666666666666666,1.0,UNDERPOWERED,-0.3741496598639456,0.7930918846411805,1.3072682509098694,-0.30139372822299654,5,0.5,,,,,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,92,74,11,6,0,85,0.8043478260869565,0.11956521739130435,0.6847826086956522,1.2888315230163817e-12,OK,0.2542372881355932,1.6972477064220184,0.5494505494505495,0.4666666666666667,5,0.5,,,,,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,58,25,23,1,9,48,0.43103448275862066,0.39655172413793105,0.034482758620689655,0.8854334972865135,OK,0.0,0.9672619047619048,0.8695652173913044,0.05555555555555556,5,1.0,,,,,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_INSIDE,332,213,68,3,45,281,0.641566265060241,0.20481927710843373,0.4367469879518072,1.4163188211377474e-18,OK,0.3755868544600939,1.3605442176870748,0.5797101449275363,0.42857142857142855,5,1.0,,,,,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,48,28,16,1,3,44,0.5833333333333334,0.3333333333333333,0.25,0.09614175442061423,UNDERPOWERED,0.3013193360760391,1.2424513132035018,0.7759398496240602,0.251793400286944,5,1.0,,,,,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_INSIDE,259,172,63,4,16,235,0.6640926640926641,0.24324324324324326,0.42084942084942084,7.12334610872853e-13,OK,0.5882352941176471,1.5384615384615385,0.49079754601226994,0.5238095238095238,5,1.0,,,,,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,115,45,40,1,27,85,0.391304347826087,0.34782608695652173,0.043478260869565216,0.6646454904132133,OK,0.0,0.9375,0.7317073170731708,0.09090909090909088,5,1.0,,,,,,,,,,,,,,,,
ES,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,371,240,67,1,56,307,0.6469002695417789,0.18059299191374664,0.46630727762803237,5.243600805777002e-24,OK,0.47905909351692477,1.4625668449197862,0.3519091847265222,0.6000000000000001,5,1.0,,,,,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,36,18,17,0,1,35,0.5,0.4722222222222222,0.027777777777777776,1.0,UNDERPOWERED,0.2857142857142857,1.2765957446808511,1.0172413793103448,-0.17156862745098042,5,1.0,,,,,,,,,,,,,,,,
ES,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,307,217,62,4,18,279,0.7068403908794788,0.20195439739413681,0.504885993485342,2.5107746408809082e-21,OK,0.5555555555555555,1.566820276497696,0.5357142857142857,0.5294117647058824,5,1.0,,,,,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,6,5,1,0,0,6,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.21875,UNDERPOWERED,0.5685011709601874,1.2572215281849934,0.43484023752297474,0.5591397849462365,5,1.0,,,,,,,,,,,,,,,,
NQ,overnight_high,upper,TOUCH_CLOSE_INSIDE,131,87,25,0,19,112,0.6641221374045801,0.19083969465648856,0.4732824427480916,3.2251168988873163e-09,OK,0.39215686274509803,1.380271871732311,0.39215686274509803,0.6249999999999999,5,1.0,,,,,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,2,0,2,0,0,2,0.0,1.0,-1.0,0.5,UNDERPOWERED,-1.5108821895672373,0.39918194212998026,2.0580215118921377,-0.6770833333333333,5,1.0,,,,,,,,,,,,,,,,
NQ,overnight_low,lower,TOUCH_CLOSE_INSIDE,87,56,18,5,6,74,0.6436781609195402,0.20689655172413793,0.4367816091954023,1.1091146210557392e-05,OK,0.31007751937984496,1.3782051282051282,0.72,0.2920353982300885,5,1.0,,,,,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_AT_LEVEL,9,4,3,0,2,7,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,UNDERPOWERED,0.2469135802469136,0.7495069033530571,0.7058823529411765,0.2258064516129032,5,1.0,,,,,,,,,,,,,,,,
NQ,prev_rth_high,upper,TOUCH_CLOSE_INSIDE,136,88,33,0,13,121,0.6470588235294118,0.2426470588235294,0.40441176470588236,5.93077782436201e-07,OK,0.4470212447387246,1.4620236350703995,0.4880016988744956,0.4679849340866291,5,1.0,,,,,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_AT_LEVEL,6,2,4,0,0,6,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6875,UNDERPOWERED,-0.3741496598639456,0.7930918846411805,1.3072682509098694,-0.30139372822299654,5,1.0,,,,,,,,,,,,,,,,
NQ,prev_rth_low,lower,TOUCH_CLOSE_INSIDE,92,64,23,1,3,87,0.6956521739130435,0.25,0.44565217391304346,1.2653512115621955e-05,OK,0.2542372881355932,1.6972477064220184,0.5494505494505495,0.4666666666666667,5,1.0,,,,,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_AT_LEVEL,58,26,9,22,0,35,0.4482758620689655,0.15517241379310345,0.29310344827586204,0.005988120567053557,OK,,,,,10,0.25,0.3305785123966942,1.386138613861386,0.9876543209876544,0.23076923076923078,,,,,,,,,,,,
ES,overnight_high,upper,TOUCH_CLOSE_INSIDE,332,218,19,88,0,237,0.6566265060240963,0.0572289156626506,0.5993975903614458,5.121533707045273e-44,OK,,,,,10,0.25,0.39436619718309857,1.878453038674033,0.898876404494382,0.3333333333333333,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_AT_LEVEL,48,24,12,11,0,36,0.5,0.25,0.25,0.06524533522315325,UNDERPOWERED,,,,,10,0.25,0.0,1.6216216216216217,1.0714285714285714,0.14285714285714288,,,,,,,,,,,,
ES,overnight_low,lower,TOUCH_CLOSE_INSIDE,259,162,13,77,0,175,0.6254826254826255,0.05019305019305019,0.5752895752895753,6.6600076660008705e-34,OK,,,,,10,0.25,0.6461244130094498,1.9652969362567156,0.8750341810226963,0.458041958041958,,,,,,,,,,,,
