instrument,level_type,side,time_stratum,year,n_failed,n_successful,rotation_first_rate_failed,rotation_first_rate_successful,failed_minus_successful_rotation_rate,median_signed_close_contrast,sign
ES,overnight_high,upper,OPEN,2018,26,17,0.875,0.058823529411764705,0.8161764705882353,1.245797389957974,1.0
ES,overnight_high,upper,OPEN,2019,26,11,0.7727272727272727,0.09090909090909091,0.6818181818181818,0.13422619599695773,1.0
ES,overnight_high,upper,OPEN,2020,38,35,0.8,0.08823529411764706,0.711764705882353,1.9504231437196025,1.0
ES,overnight_high,upper,OPEN,2021,48,31,0.8292682926829268,0.03333333333333333,0.7959349593495935,0.3414493891919942,1.0
ES,overnight_high,upper,OPEN,2022,67,34,0.8833333333333333,0.15151515151515152,0.7318181818181818,1.451227221710636,1.0
ES,overnight_high,upper,MID_MORNING,2018,16,17,0.8125,0.0625,0.75,1.2290908355577126,1.0
ES,overnight_high,upper,MID_MORNING,2019,19,14,0.7777777777777778,0.0,0.7777777777777778,0.3277257201307835,1.0
ES,overnight_high,upper,MID_MORNING,2020,36,20,0.7575757575757576,0.1111111111111111,0.6464646464646464,1.596215671081359,1.0
ES,overnight_high,upper,MID_MORNING,2021,26,14,0.64,0.14285714285714285,0.49714285714285716,-0.7948632843369686,1.0
ES,overnight_high,upper,MID_MORNING,2022,50,29,0.86,0.03571428571428571,0.8242857142857143,2.107360125106368,1.0
ES,overnight_high,upper,MIDDAY,2018,21,25,0.95,0.08,0.87,1.7267483777937997,1.0
ES,overnight_high,upper,MIDDAY,2019,11,5,0.9090909090909091,0.0,0.9090909090909091,3.7989273079995436,1.0
ES,overnight_high,upper,MIDDAY,2020,36,23,0.8571428571428571,0.045454545454545456,0.8116883116883117,2.2970555528695065,1.0
ES,overnight_high,upper,MIDDAY,2021,18,23,0.9375,0.047619047619047616,0.8898809523809523,1.2955114275111046,1.0
ES,overnight_high,upper,MIDDAY,2022,34,25,0.8064516129032258,0.0,0.8064516129032258,1.6697191697191696,1.0
ES,overnight_high,upper,AFTERNOON,2018,20,8,0.7333333333333333,0.0,0.7333333333333333,2.343021907096709,1.0
ES,overnight_high,upper,AFTERNOON,2019,22,14,0.875,0.2727272727272727,0.6022727272727273,0.9293726118575126,1.0
ES,overnight_high,upper,AFTERNOON,2020,43,24,0.8387096774193549,0.16666666666666666,0.6720430107526882,1.7383907601956123,1.0
ES,overnight_high,upper,AFTERNOON,2021,35,20,0.88,0.0,0.88,1.119546047082279,1.0
ES,overnight_high,upper,AFTERNOON,2022,55,22,0.8444444444444444,0.0,0.8444444444444444,2.5078994070034195,1.0
ES,overnight_high,upper,ALL_RTH,2018,83,67,0.8533333333333334,0.06153846153846154,0.7917948717948718,1.0389199176321835,1.0
ES,overnight_high,upper,ALL_RTH,2019,78,44,0.8208955223880597,0.0975609756097561,0.7233345467783037,0.46919624643002855,1.0
ES,overnight_high,upper,ALL_RTH,2020,153,102,0.8134328358208955,0.09782608695652174,0.7156067488643738,1.7265556989435467,1.0
ES,overnight_high,upper,ALL_RTH,2021,127,88,0.8130841121495327,0.04938271604938271,0.76370139610015,0.46449156763680366,1.0
ES,overnight_high,upper,ALL_RTH,2022,206,110,0.8548387096774194,0.057692307692307696,0.7971464019851117,1.94315710993039,1.0
ES,overnight_low,lower,OPEN,2018,24,9,0.8260869565217391,0.0,0.8260869565217391,3.9666633120313994,1.0
ES,overnight_low,lower,OPEN,2019,23,14,0.8421052631578947,0.0,0.8421052631578947,1.0400194033470775,1.0
ES,overnight_low,lower,OPEN,2020,37,26,0.8285714285714286,0.041666666666666664,0.786904761904762,1.927398513550701,1.0
ES,overnight_low,lower,OPEN,2021,45,34,0.8717948717948718,0.030303030303030304,0.8414918414918415,2.0356058184143224,1.0
ES,overnight_low,lower,OPEN,2022,85,55,0.7435897435897436,0.05660377358490566,0.686985970004838,2.0836781186470112,1.0
ES,overnight_low,lower,MID_MORNING,2018,35,18,0.8064516129032258,0.05555555555555555,0.7508960573476702,2.621302201935065,1.0
ES,overnight_low,lower,MID_MORNING,2019,15,6,0.8571428571428571,0.16666666666666666,0.6904761904761905,2.663271476950722,1.0
ES,overnight_low,lower,MID_MORNING,2020,34,23,0.8064516129032258,0.08695652173913043,0.7194950911640954,0.18099547511312217,1.0
ES,overnight_low,lower,MID_MORNING,2021,44,22,0.875,0.15,0.725,1.1453916903903185,1.0
ES,overnight_low,lower,MID_MORNING,2022,52,33,0.8541666666666666,0.030303030303030304,0.8238636363636364,1.6651312861593235,1.0
ES,overnight_low,lower,MIDDAY,2018,22,9,0.7727272727272727,0.1111111111111111,0.6616161616161615,0.1802350665209791,1.0
ES,overnight_low,lower,MIDDAY,2019,12,12,0.7272727272727273,0.0,0.7272727272727273,-0.15940084954169464,1.0
ES,overnight_low,lower,MIDDAY,2020,25,17,0.8333333333333334,0.058823529411764705,0.7745098039215687,2.0521795103896365,1.0
ES,overnight_low,lower,MIDDAY,2021,24,24,0.6818181818181818,0.13636363636363635,0.5454545454545454,1.572398190045249,1.0
ES,overnight_low,lower,MIDDAY,2022,55,29,0.8,0.038461538461538464,0.7615384615384616,0.79004329004329,1.0
ES,overnight_low,lower,AFTERNOON,2018,31,9,0.7142857142857143,0.0,0.7142857142857143,2.5887068905936834,1.0
ES,overnight_low,lower,AFTERNOON,2019,12,10,1.0,0.14285714285714285,0.8571428571428572,0.9246681765880068,1.0
ES,overnight_low,lower,AFTERNOON,2020,46,25,0.9696969696969697,0.17647058823529413,0.7932263814616756,0.9964412811387899,1.0
ES,overnight_low,lower,AFTERNOON,2021,28,18,0.8823529411764706,0.0,0.8823529411764706,2.5143641197152906,1.0
ES,overnight_low,lower,AFTERNOON,2022,59,24,0.8333333333333334,0.09523809523809523,0.7380952380952381,1.5138923039095156,1.0
ES,overnight_low,lower,ALL_RTH,2018,112,45,0.7835051546391752,0.046511627906976744,0.7369935267321985,2.0958441193698922,1.0
ES,overnight_low,lower,ALL_RTH,2019,62,42,0.8461538461538461,0.05128205128205128,0.7948717948717948,1.0158918721596797,1.0
ES,overnight_low,lower,ALL_RTH,2020,142,91,0.8617886178861789,0.08641975308641975,0.7753688647997592,1.1358051073832673,1.0
ES,overnight_low,lower,ALL_RTH,2021,141,98,0.8389830508474576,0.07954545454545454,0.759437596302003,1.7171144567194876,1.0
ES,overnight_low,lower,ALL_RTH,2022,251,141,0.7991071428571429,0.05263157894736842,0.7464755639097744,1.6403876703437268,1.0
ES,prev_rth_high,upper,OPEN,2018,21,18,0.9,0.0,0.9,2.1705062874193484,1.0
ES,prev_rth_high,upper,OPEN,2019,15,15,0.8333333333333334,0.07142857142857142,0.761904761904762,0.6150793650793651,1.0
ES,prev_rth_high,upper,OPEN,2020,31,12,0.8571428571428571,0.08333333333333333,0.7738095238095237,1.2686317717109818,1.0
ES,prev_rth_high,upper,OPEN,2021,37,19,0.8709677419354839,0.0,0.8709677419354839,0.7925773465320658,1.0
ES,prev_rth_high,upper,OPEN,2022,30,11,0.75,0.0,0.75,2.059585269316813,1.0
ES,prev_rth_high,upper,MID_MORNING,2018,30,28,0.8518518518518519,0.14285714285714285,0.7089947089947091,0.8190632290067729,1.0
ES,prev_rth_high,upper,MID_MORNING,2019,29,15,0.8928571428571429,0.3333333333333333,0.5595238095238095,0.45714285714285713,1.0
ES,prev_rth_high,upper,MID_MORNING,2020,35,20,0.9393939393939394,0.15,0.7893939393939394,0.7399675077020615,1.0
ES,prev_rth_high,upper,MID_MORNING,2021,35,16,0.7586206896551724,0.0625,0.6961206896551724,1.3519177038354075,1.0
ES,prev_rth_high,upper,MID_MORNING,2022,38,27,0.9142857142857143,0.1111111111111111,0.8031746031746032,0.27825207108075634,1.0
ES,prev_rth_high,upper,MIDDAY,2018,21,14,0.9,0.0,0.9,1.6974027061506558,1.0
ES,prev_rth_high,upper,MIDDAY,2019,13,9,0.8461538461538461,0.2222222222222222,0.6239316239316239,0.924149956408021,1.0
ES,prev_rth_high,upper,MIDDAY,2020,13,16,0.9090909090909091,0.06666666666666667,0.8424242424242424,1.6744893951296151,1.0
ES,prev_rth_high,upper,MIDDAY,2021,20,17,1.0,0.14285714285714285,0.8571428571428572,0.11235955056179775,1.0
ES,prev_rth_high,upper,MIDDAY,2022,30,20,0.7857142857142857,0.058823529411764705,0.726890756302521,2.641715806331631,1.0
ES,prev_rth_high,upper,AFTERNOON,2018,26,18,0.5625,0.0,0.5625,1.9553517217451641,1.0
ES,prev_rth_high,upper,AFTERNOON,2019,35,14,0.9230769230769231,0.125,0.7980769230769231,2.676935967258548,1.0
ES,prev_rth_high,upper,AFTERNOON,2020,32,20,0.9523809523809523,0.17647058823529413,0.7759103641456582,1.479025852522244,1.0
ES,prev_rth_high,upper,AFTERNOON,2021,34,21,0.7931034482758621,0.15789473684210525,0.6352087114337568,1.4150547394728188,1.0
ES,prev_rth_high,upper,AFTERNOON,2022,40,25,0.7666666666666667,0.05,0.7166666666666667,1.6012199771254285,1.0
ES,prev_rth_high,upper,ALL_RTH,2018,98,78,0.8192771084337349,0.05405405405405406,0.7652230543796809,1.846938445647539,1.0
ES,prev_rth_high,upper,ALL_RTH,2019,92,53,0.8860759493670886,0.1956521739130435,0.6904237754540451,1.142547928262214,1.0
ES,prev_rth_high,upper,ALL_RTH,2020,111,68,0.9139784946236559,0.125,0.7889784946236559,1.2441359809780863,1.0
ES,prev_rth_high,upper,ALL_RTH,2021,126,73,0.8425925925925926,0.09230769230769231,0.7502849002849002,0.824644093559802,1.0
ES,prev_rth_high,upper,ALL_RTH,2022,138,83,0.8099173553719008,0.06756756756756757,0.7423497878043332,1.1184662687646951,1.0
ES,prev_rth_low,lower,OPEN,2018,25,16,0.9565217391304348,0.125,0.8315217391304348,1.8501183313704428,1.0
ES,prev_rth_low,lower,OPEN,2019,23,14,0.85,0.07692307692307693,0.773076923076923,2.5299454413378464,1.0
ES,prev_rth_low,lower,OPEN,2020,27,17,0.8461538461538461,0.125,0.7211538461538461,1.2532120464590402,1.0
ES,prev_rth_low,lower,OPEN,2021,33,18,0.9285714285714286,0.11764705882352941,0.8109243697478992,1.324862136079799,1.0
ES,prev_rth_low,lower,OPEN,2022,38,25,0.7714285714285715,0.04,0.7314285714285714,1.6387848774006524,1.0
ES,prev_rth_low,lower,MID_MORNING,2018,21,25,0.8421052631578947,0.16,0.6821052631578947,0.5255796834744203,1.0
ES,prev_rth_low,lower,MID_MORNING,2019,31,21,0.84,0.1,0.74,0.9306803594351732,1.0
ES,prev_rth_low,lower,MID_MORNING,2020,30,23,0.8571428571428571,0.1,0.7571428571428571,1.1086081017428167,1.0
ES,prev_rth_low,lower,MID_MORNING,2021,39,17,0.8571428571428571,0.125,0.7321428571428571,1.0452825264256818,1.0
ES,prev_rth_low,lower,MID_MORNING,2022,49,24,0.7857142857142857,0.043478260869565216,0.7422360248447205,2.9089553835155026,1.0
ES,prev_rth_low,lower,MIDDAY,2018,26,19,0.9583333333333334,0.16666666666666666,0.7916666666666667,1.2685875161191884,1.0
ES,prev_rth_low,lower,MIDDAY,2019,21,18,0.7333333333333333,0.1111111111111111,0.6222222222222222,3.630737161753541,1.0
