instrument,feature,horizon,target,n_valid,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,p_raw_approx,bonferroni_alpha,significant_bonf,quintile_monotonicity_spearman,q0_mean,q4_mean,cov100_n,cov100_acc,cov50_n,cov50_acc,cov30_n,cov30_acc,cov15_n,cov15_acc,mean_y_given_x_pos,mean_y_given_x_neg,bull_bear_diff,bull_bear_diff_ci_lo,bull_bear_diff_ci_hi,spearman_drop_top_outlier,n_years,year_2018_mean,year_2018_n,year_2018_spearman,year_2019_mean,year_2019_n,year_2019_spearman,year_2020_mean,year_2020_n,year_2020_spearman,year_2021_mean,year_2021_n,year_2021_spearman,year_2022_mean,year_2022_n,year_2022_spearman
ES,overnight_return,5,R,1286,-0.14330773730329713,-0.22109544541313847,-0.04934330955798478,-0.08286631450994639,-0.13704919336591098,-0.025523661810876674,0.0038575077948583836,6.944444444444444e-05,False,-0.8999999999999998,0.8778625954198473,-0.7888446215139442,1286,0.4704472843450479,643,0.47393364928909953,386,0.4566929133858268,193,0.45263157894736844,-0.3402679830747532,0.5496485061511424,-0.8899164892258955,-1.5167838467754529,-0.24637114515605293,-0.0807565903561551,5,0.3623046875,256,-0.04716339587867256,-0.1753875968992248,258,0.055968871629235514,-0.1806640625,256,-0.1693561599327326,0.16375968992248063,258,-0.08466486569331723,0.08042635658914729,258,-0.07428268155038893
ES,overnight_return,5,Q,1286,-0.05737867001944918,-0.10012896565871145,-0.002783864740815221,-0.03691053550802852,-0.08390195621539923,0.01786603061411951,0.19889056151650797,6.944444444444444e-05,False,-0.7,0.06715452853853651,0.0032651234817020567,1286,0.47007182761372707,643,0.48165869218500795,386,0.46825396825396826,193,0.4444444444444444,-0.011929940900404556,0.05001613841058889,-0.06194607931099345,-0.12568543071545396,0.004367006006643229,-0.03661024530078915,5,0.02768397782202795,256,0.03926129792469124,-0.0583752879559022,258,0.08015758374230121,-0.018273521601407244,256,-0.12275007930889319,0.038388234081722865,258,-0.04361092773406526,0.08351712384022406,258,-0.050268960153584535
ES,overnight_return,10,R,1286,-0.17147949679671085,-0.25957420922878116,-0.07867643250945779,-0.1040066742785331,-0.16545404470064753,-0.04118908953849971,0.0002816971804366908,6.944444444444444e-05,False,-0.8999999999999998,1.0295801526717556,-1.4432270916334662,1286,0.45976095617529883,643,0.4521193092621664,386,0.4412532637075718,193,0.40625,-0.5765162200282088,0.8659929701230229,-1.4425091901512317,-2.2411114567660086,-0.569258246967808,-0.10192593599464565,5,0.646484375,256,-0.12659214203345423,0.2005813953488372,258,0.0057989108495450446,-0.837890625,256,-0.2512740585406293,0.1560077519379845,258,-0.09815795972574655,0.15406976744186046,258,-0.020260813907968956
ES,overnight_return,10,Q,1286,-0.08883761828815413,-0.13625480771952359,-0.0341318626674129,-0.05854982090565353,-0.10950855774497725,-0.0035216814026161557,0.0414192284116679,6.944444444444444e-05,False,-0.7,0.06743033472236384,-0.05033748797541464,1286,0.4734758511480602,643,0.46865203761755486,386,0.4464751958224543,193,0.4114583333333333,-0.030225211699327407,0.048400347227134884,-0.0786255589264623,-0.14622658193353075,-0.017947961324880364,-0.05757374325696628,5,0.03870282224019113,256,-0.00796715348917548,-0.024794924747799672,258,0.07253859492453889,-0.0498083189938916,256,-0.1780865447746162,0.026159738218424034,258,-0.06564231612234386,0.029776830586751044,258,-0.05702159015503548
ES,overnight_return,15,R,1286,-0.09042611643649123,-0.18096447345510558,-0.003009447204192769,-0.048478130970099266,-0.1140988353588903,0.014899555847237683,0.09143034230157099,6.944444444444444e-05,False,-0.7,0.04770992366412214,-0.8834661354581673,1286,0.477326968973747,643,0.46919431279620855,386,0.4712041884816754,193,0.45789473684210524,-0.2933709449929478,0.3602811950790861,-0.6536521400720339,-1.7148556656693628,0.2813729329905971,-0.046262367827467364,5,0.5556640625,256,-0.029120628974476353,0.11046511627906977,258,0.07852382946290125,-0.9501953125,256,-0.1440385904669074,0.3391472868217054,258,-0.10521222355370458,-0.09108527131782945,258,0.03283394925899962
ES,overnight_return,15,Q,1286,-0.07491610435737571,-0.12727909855626132,-0.019225377797985665,-0.045831481865749125,-0.09842839868123726,0.010810058478571595,0.11057433003574313,6.944444444444444e-05,False,-0.7,0.05545039588564055,-0.04442420911677387,1286,0.4746031746031746,643,0.4637223974763407,386,0.4461942257217848,193,0.418848167539267,-0.026024131415551374,0.04082220870639921,-0.06684634012195058,-0.13598742874657316,-0.004327948606778995,-0.04455033790149239,5,0.049213760967481146,256,0.0008060081326329226,-0.017262493893884318,258,0.08260895023551329,-0.05253870963895273,256,-0.15508003987848987,0.01866584848646706,258,-0.050665518336151155,0.018529905598879067,258,-0.056635284244657705
ES,overnight_return,30,R,1286,-0.037450090985097745,-0.12869156017626768,0.06459301009655928,-0.008005046446547748,-0.07192992825639798,0.059211096503014767,0.7806244654722931,6.944444444444444e-05,False,-0.6,0.11164122137404581,0.049800796812749,1286,0.48853754940711464,643,0.4968847352024922,386,0.5116883116883116,193,0.533678756476684,0.09873060648801128,0.632688927943761,-0.5339583214557497,-1.9569814784059332,0.7593766034737892,-0.005687939353782937,5,0.32421875,256,-0.000228941497160186,0.26841085271317827,258,0.06353475812156299,-0.3232421875,256,-0.1525294121281684,0.9011627906976745,258,-0.047646227116172404,0.48158914728682173,258,0.11699184543148886
ES,overnight_return,30,Q,1286,-0.04622264068738433,-0.10345330578471552,0.009707188102517915,-0.027792107452364115,-0.08488420109876399,0.028257279488446137,0.3334691716918843,6.944444444444444e-05,False,-0.7999999999999999,0.023061485377380186,-0.040469522458819754,1286,0.47709320695102686,643,0.47955974842767296,386,0.4751958224543081,193,0.48704663212435234,-0.024602426314152395,0.024237909149486866,-0.048840335463639264,-0.11769958167649879,0.02429538097046516,-0.026370322449924162,5,0.035423873360228855,256,-0.007463045581308615,-0.04168959591286041,258,0.09009975578044195,-0.053869654364200235,256,-0.1406810885283346,0.03157426369579539,258,-0.03541034770265994,0.011746164768588151,258,0.006527579574457317
ES,overnight_range,5,R,1286,-0.01722031402979435,-0.10797952925192836,0.0960164246883281,0.010509257593691155,-0.04873637716620876,0.07951327340098634,0.7146370395860819,6.944444444444444e-05,False,0.3,-0.43703007518796994,0.1181640625,1286,0.48412698412698413,643,0.49056603773584906,386,0.4830287206266319,193,0.47643979057591623,,,,,,0.012820434986286908,5,0.3623046875,256,0.12194069877568055,-0.1753875968992248,258,0.06456952151839496,-0.1806640625,256,-0.006801062848434223,0.16375968992248063,258,0.09442429438115944,0.08042635658914729,258,-0.06107674572181879
ES,overnight_range,5,Q,1286,0.030131250674934575,-0.019982565312445928,0.08354605924427588,0.0806655846397599,0.027965741780756705,0.13841381961076094,0.0049157239060035884,6.944444444444444e-05,False,0.49999999999999994,-0.09680814533279647,0.03559288088505101,1286,0.5019825535289453,643,0.5372424722662441,386,0.5354330708661418,193,0.544973544973545,,,,,,0.08287390622200785,5,0.02768397782202795,256,0.07748893238066391,-0.0583752879559022,258,0.10436778163564599,-0.018273521601407244,256,0.013513554594740214,0.038388234081722865,258,0.16399175826257512,0.08351712384022406,258,-0.02825119323094161
