instrument,feature,horizon,target,n_valid,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,p_raw_approx,significant_bonf,quintile_monotonicity_spearman,cov100_acc,cov50_acc,cov30_acc,cov15_acc,bull_bear_diff,bull_bear_diff_ci_lo,bull_bear_diff_ci_hi,spearman_drop_top_outlier
ES,overnight_return,5,R,1286,-0.14330773730329713,-0.22109544541313847,-0.04934330955798478,-0.08286631450994639,-0.13704919336591098,-0.025523661810876674,0.0038575077948583836,False,-0.8999999999999998,0.4704472843450479,0.47393364928909953,0.4566929133858268,0.45263157894736844,-0.8899164892258955,-1.5167838467754529,-0.24637114515605293,-0.0807565903561551
ES,overnight_return,5,Q,1286,-0.05737867001944918,-0.10012896565871145,-0.002783864740815221,-0.03691053550802852,-0.08390195621539923,0.01786603061411951,0.19889056151650797,False,-0.7,0.47007182761372707,0.48165869218500795,0.46825396825396826,0.4444444444444444,-0.06194607931099345,-0.12568543071545396,0.004367006006643229,-0.03661024530078915
ES,overnight_return,10,R,1286,-0.17147949679671085,-0.25957420922878116,-0.07867643250945779,-0.1040066742785331,-0.16545404470064753,-0.04118908953849971,0.0002816971804366908,False,-0.8999999999999998,0.45976095617529883,0.4521193092621664,0.4412532637075718,0.40625,-1.4425091901512317,-2.2411114567660086,-0.569258246967808,-0.10192593599464565
ES,overnight_return,10,Q,1286,-0.08883761828815413,-0.13625480771952359,-0.0341318626674129,-0.05854982090565353,-0.10950855774497725,-0.0035216814026161557,0.0414192284116679,False,-0.7,0.4734758511480602,0.46865203761755486,0.4464751958224543,0.4114583333333333,-0.0786255589264623,-0.14622658193353075,-0.017947961324880364,-0.05757374325696628
ES,overnight_return,15,R,1286,-0.09042611643649123,-0.18096447345510558,-0.003009447204192769,-0.048478130970099266,-0.1140988353588903,0.014899555847237683,0.09143034230157099,False,-0.7,0.477326968973747,0.46919431279620855,0.4712041884816754,0.45789473684210524,-0.6536521400720339,-1.7148556656693628,0.2813729329905971,-0.046262367827467364
ES,overnight_return,15,Q,1286,-0.07491610435737571,-0.12727909855626132,-0.019225377797985665,-0.045831481865749125,-0.09842839868123726,0.010810058478571595,0.11057433003574313,False,-0.7,0.4746031746031746,0.4637223974763407,0.4461942257217848,0.418848167539267,-0.06684634012195058,-0.13598742874657316,-0.004327948606778995,-0.04455033790149239
ES,overnight_return,30,R,1286,-0.037450090985097745,-0.12869156017626768,0.06459301009655928,-0.008005046446547748,-0.07192992825639798,0.059211096503014767,0.7806244654722931,False,-0.6,0.48853754940711464,0.4968847352024922,0.5116883116883116,0.533678756476684,-0.5339583214557497,-1.9569814784059332,0.7593766034737892,-0.005687939353782937
ES,overnight_return,30,Q,1286,-0.04622264068738433,-0.10345330578471552,0.009707188102517915,-0.027792107452364115,-0.08488420109876399,0.028257279488446137,0.3334691716918843,False,-0.7999999999999999,0.47709320695102686,0.47955974842767296,0.4751958224543081,0.48704663212435234,-0.048840335463639264,-0.11769958167649879,0.02429538097046516,-0.026370322449924162
ES,overnight_range,5,R,1286,-0.01722031402979435,-0.10797952925192836,0.0960164246883281,0.010509257593691155,-0.04873637716620876,0.07951327340098634,0.7146370395860819,False,0.3,0.48412698412698413,0.49056603773584906,0.4830287206266319,0.47643979057591623,,,,0.012820434986286908
ES,overnight_range,5,Q,1286,0.030131250674934575,-0.019982565312445928,0.08354605924427588,0.0806655846397599,0.027965741780756705,0.13841381961076094,0.0049157239060035884,False,0.49999999999999994,0.5019825535289453,0.5372424722662441,0.5354330708661418,0.544973544973545,,,,0.08287390622200785
