instrument,horizon,check,n
ES,1.0,U>=0_violations,0
ES,1.0,D>=0_violations,0
ES,1.0,Q_out_of_bounds,0
ES,3.0,U>=0_violations,0
ES,3.0,D>=0_violations,0
ES,3.0,Q_out_of_bounds,0
ES,5.0,U>=0_violations,0
ES,5.0,D>=0_violations,0
ES,5.0,Q_out_of_bounds,0
ES,10.0,U>=0_violations,0
ES,10.0,D>=0_violations,0
ES,10.0,Q_out_of_bounds,0
ES,15.0,U>=0_violations,0
ES,15.0,D>=0_violations,0
ES,15.0,Q_out_of_bounds,0
ES,30.0,U>=0_violations,0
ES,30.0,D>=0_violations,0
ES,30.0,Q_out_of_bounds,0
ES,60.0,U>=0_violations,0
ES,60.0,D>=0_violations,0
ES,60.0,Q_out_of_bounds,0
ES,3.0,U_monotone_violations_vs_prev_h,0
ES,5.0,U_monotone_violations_vs_prev_h,0
ES,10.0,U_monotone_violations_vs_prev_h,0
ES,15.0,U_monotone_violations_vs_prev_h,0
ES,30.0,U_monotone_violations_vs_prev_h,0
ES,3.0,D_monotone_violations_vs_prev_h,0
ES,5.0,D_monotone_violations_vs_prev_h,0
ES,10.0,D_monotone_violations_vs_prev_h,0
ES,15.0,D_monotone_violations_vs_prev_h,0
ES,30.0,D_monotone_violations_vs_prev_h,0
ES,,missing_session:incomplete_0930_0959_window,3
ES,,missing_session:incomplete_0930_1029_window_secondary_only,1
NQ,1.0,U>=0_violations,0
NQ,1.0,D>=0_violations,0
NQ,1.0,Q_out_of_bounds,0
NQ,3.0,U>=0_violations,0
NQ,3.0,D>=0_violations,0
NQ,3.0,Q_out_of_bounds,0
NQ,5.0,U>=0_violations,0
NQ,5.0,D>=0_violations,0
NQ,5.0,Q_out_of_bounds,0
NQ,10.0,U>=0_violations,0
NQ,10.0,D>=0_violations,0
NQ,10.0,Q_out_of_bounds,0
NQ,15.0,U>=0_violations,0
NQ,15.0,D>=0_violations,0
NQ,15.0,Q_out_of_bounds,0
NQ,30.0,U>=0_violations,0
NQ,30.0,D>=0_violations,0
NQ,30.0,Q_out_of_bounds,0
NQ,60.0,U>=0_violations,0
NQ,60.0,D>=0_violations,0
NQ,60.0,Q_out_of_bounds,0
NQ,3.0,U_monotone_violations_vs_prev_h,0
NQ,5.0,U_monotone_violations_vs_prev_h,0
NQ,10.0,U_monotone_violations_vs_prev_h,0
NQ,15.0,U_monotone_violations_vs_prev_h,0
NQ,30.0,U_monotone_violations_vs_prev_h,0
NQ,3.0,D_monotone_violations_vs_prev_h,0
NQ,5.0,D_monotone_violations_vs_prev_h,0
NQ,10.0,D_monotone_violations_vs_prev_h,0
NQ,15.0,D_monotone_violations_vs_prev_h,0
NQ,30.0,D_monotone_violations_vs_prev_h,0
NQ,,missing_session:incomplete_0930_0959_window,3
NQ,,missing_session:incomplete_0930_1029_window_secondary_only,1
