instrument,horizon,n,mean_U,mean_D,mean_U_minus_D,ci_lo,ci_hi
ES,1,1286,2.1909020217729394,1.931959564541213,0.25894245723172626,0.1016378304821151,0.4263365085536546
ES,3,1286,3.5386858475894245,3.165629860031104,0.37305598755832037,0.12541310264385694,0.6316631026438567
ES,5,1286,4.254082426127527,3.962091757387247,0.29199066874027996,-0.03337383359253498,0.6268711119751167
ES,10,1286,5.577760497667185,5.409603421461897,0.16815707620528772,-0.27521384136858473,0.66489599533437
ES,15,1286,6.3291213063763605,6.365668740279938,-0.03654743390357698,-0.5387052877138414,0.5201691290824257
ES,30,1286,8.216757387247279,8.449261275272162,-0.23250388802488337,-0.8906541601866251,0.5180355754276821
ES,60,1285,10.684046692607003,11.385408560311284,-0.7013618677042801,-1.5606177042801557,0.10218385214007751
NQ,1,1284,10.33781152647975,9.361565420560748,0.9762461059190031,0.2346086448598131,1.8020103193146415
NQ,3,1284,17.27570093457944,15.49493769470405,1.7807632398753894,0.4573208722741433,3.0814203660436132
NQ,5,1284,20.437305295950157,19.180295950155763,1.2570093457943925,-0.43382496105919,2.7548919392523357
NQ,10,1284,26.643496884735203,26.15401090342679,0.4894859813084112,-1.6861127336448598,2.557092095015576
NQ,15,1284,30.154205607476637,30.3547507788162,-0.20054517133956387,-2.650613317757009,2.343229166666666
NQ,30,1284,38.14933800623053,39.10942367601246,-0.9600856697819314,-4.009637850467289,2.370215147975077
NQ,60,1283,48.18939984411536,50.747661730319564,-2.558261886204209,-6.116250974279033,1.627844894777863
