instrument,var1,var2,spearman
ES,R_1,R_1,1.0
ES,R_1,U_1,0.6848246884626216
ES,R_1,D_1,-0.5884153909283285
ES,R_1,Q_1,0.7904000133819462
ES,R_1,E_1,0.9500464314787758
ES,R_1,R_3,0.5217628330934093
ES,R_1,U_3,0.638978083812719
ES,R_1,D_3,-0.5595119224499796
ES,R_1,Q_3,0.7507020932309139
ES,R_1,E_3,0.5463908650968485
ES,R_1,R_5,0.4204823159242794
ES,R_1,U_5,0.591932561240396
ES,R_1,D_5,-0.47007517151001044
ES,R_1,Q_5,0.6706082990958053
ES,R_1,E_5,0.4619955938215288
ES,R_1,R_10,0.3113525950979736
ES,R_1,U_10,0.520040044761671
ES,R_1,D_10,-0.37337988608799305
ES,R_1,Q_10,0.5578312864221698
ES,R_1,E_10,0.3637734054966402
ES,R_1,R_15,0.2851119570736732
ES,R_1,U_15,0.4812382213290883
ES,R_1,D_15,-0.32670864013117357
ES,R_1,Q_15,0.5054072465794786
ES,R_1,E_15,0.3246225906933431
ES,R_1,R_30,0.2271793922878728
ES,R_1,U_30,0.41772758207975835
ES,R_1,D_30,-0.25689454346546464
ES,R_1,Q_30,0.42523688677252125
ES,R_1,E_30,0.2708795597217658
ES,R_1,R_60,0.1643053125031911
ES,R_1,U_60,0.3478206312552475
ES,R_1,D_60,-0.18266788466153375
ES,R_1,Q_60,0.34292934560767374
ES,R_1,E_60,0.21101537779104104
ES,U_1,U_1,0.9999999999999999
ES,U_1,D_1,-0.2641817615770727
ES,U_1,Q_1,0.7771956143139023
ES,U_1,E_1,0.6735141516051317
ES,U_1,R_3,0.3510180119934248
ES,U_1,U_3,0.8120091010620561
ES,U_1,D_3,-0.1750204634739082
ES,U_1,Q_3,0.6273932252262024
ES,U_1,E_3,0.4174822690073843
ES,U_1,R_5,0.24763199269740596
ES,U_1,U_5,0.7458073819436745
ES,U_1,D_5,-0.08969872015081905
ES,U_1,Q_5,0.5395523423147042
ES,U_1,E_5,0.3215310939862084
ES,U_1,R_10,0.16967218729985623
ES,U_1,U_10,0.6533029204397789
ES,U_1,D_10,-0.006247713827878708
ES,U_1,Q_10,0.42092848222797574
ES,U_1,E_10,0.23280500703626844
ES,U_1,R_15,0.1651863778577547
ES,U_1,U_15,0.6149298464522165
ES,U_1,D_15,0.029969955140624744
ES,U_1,Q_15,0.3698711780306807
ES,U_1,E_15,0.2012864745511549
ES,U_1,R_30,0.14241995767939825
ES,U_1,U_30,0.5545182920955769
ES,U_1,D_30,0.08186144817710969
ES,U_1,Q_30,0.30131824281858327
ES,U_1,E_30,0.1784775315822443
ES,U_1,R_60,0.09699598740345346
ES,U_1,U_60,0.505386925651586
ES,U_1,D_60,0.13002721640848744
ES,U_1,Q_60,0.24008486824862965
ES,U_1,E_60,0.1256893129942002
ES,D_1,D_1,1.0
ES,D_1,Q_1,-0.7877977084572977
ES,D_1,E_1,-0.6325893118766007
ES,D_1,R_3,-0.32068252671144976
ES,D_1,U_3,-0.172251385286217
ES,D_1,D_3,0.7919259537401655
ES,D_1,Q_3,-0.605713213756581
ES,D_1,E_3,-0.38755788229116883
ES,D_1,R_5,-0.2816253735286285
ES,D_1,U_5,-0.12730026770229888
ES,D_1,D_5,0.6956091714224845
ES,D_1,Q_5,-0.5204059359417509
ES,D_1,E_5,-0.32823362082033775
ES,D_1,R_10,-0.2144638981446807
ES,D_1,U_10,-0.07550006081424002
ES,D_1,D_10,0.5865357595702569
ES,D_1,Q_10,-0.421449776535123
ES,D_1,E_10,-0.28041289004811387
ES,D_1,R_15,-0.20347498553162707
ES,D_1,U_15,-0.047485328177996104
ES,D_1,D_15,0.5539932730892918
ES,D_1,Q_15,-0.39200118193025557
ES,D_1,E_15,-0.26292281717616695
ES,D_1,R_30,-0.15688082716771287
ES,D_1,U_30,-0.002838810088814842
ES,D_1,D_30,0.4858256820157519
ES,D_1,Q_30,-0.3255978528419122
ES,D_1,E_30,-0.21120587179603487
ES,D_1,R_60,-0.106626340272611
ES,D_1,U_60,0.043376846142280455
ES,D_1,D_60,0.4158733440490148
ES,D_1,Q_60,-0.2574257929567345
ES,D_1,E_60,-0.16751505133108704
ES,Q_1,Q_1,1.0
ES,Q_1,E_1,0.833140618658918
ES,Q_1,R_3,0.4235863024483566
ES,Q_1,U_3,0.6104336394478642
ES,Q_1,D_3,-0.6026840120261596
ES,Q_1,Q_3,0.7896670504691149
ES,Q_1,E_3,0.519973356150895
ES,Q_1,R_5,0.3337668235587111
ES,Q_1,U_5,0.5425733537067046
ES,Q_1,D_5,-0.49083753937489477
ES,Q_1,Q_5,0.6797300271656501
ES,Q_1,E_5,0.4201255957327676
ES,Q_1,R_10,0.24498723552060941
ES,Q_1,U_10,0.45230972454516444
ES,Q_1,D_10,-0.3735341583876139
ES,Q_1,Q_10,0.5416823891746668
ES,Q_1,E_10,0.33382428703555345
ES,Q_1,R_15,0.23691766194925312
ES,Q_1,U_15,0.41151083503510044
ES,Q_1,D_15,-0.3339357811842613
ES,Q_1,Q_15,0.4917462876683578
ES,Q_1,E_15,0.3027420827682751
ES,Q_1,R_30,0.1941140410104721
ES,Q_1,U_30,0.3480024221767789
ES,Q_1,D_30,-0.25958194619378155
ES,Q_1,Q_30,0.4058480531226125
ES,Q_1,E_30,0.2536517588461961
ES,Q_1,R_60,0.13514235942744954
ES,Q_1,U_60,0.2872231821275818
ES,Q_1,D_60,-0.18681576974441635
ES,Q_1,Q_60,0.32262986426032864
ES,Q_1,E_60,0.1920207075427079
ES,E_1,E_1,1.0
ES,E_1,R_3,0.506169931717632
ES,E_1,U_3,0.6257292954394301
ES,E_1,D_3,-0.5930270889903042
ES,E_1,Q_3,0.784766920236245
ES,E_1,E_3,0.5682628175571006
ES,E_1,R_5,0.410370303229356
ES,E_1,U_5,0.577327602960458
ES,E_1,D_5,-0.49907846707647197
ES,E_1,Q_5,0.6997784694915987
ES,E_1,E_5,0.48071679328967926
ES,E_1,R_10,0.30262036956535704
ES,E_1,U_10,0.4979829185788663
ES,E_1,D_10,-0.3992304816081561
ES,E_1,Q_10,0.5793595538045675
ES,E_1,E_10,0.37465566020680724
ES,E_1,R_15,0.2793994811361264
ES,E_1,U_15,0.45817668047046356
ES,E_1,D_15,-0.3534772437700521
ES,E_1,Q_15,0.5265555822721704
ES,E_1,E_15,0.33820638569692585
ES,E_1,R_30,0.223305183912367
ES,E_1,U_30,0.39388553953270844
ES,E_1,D_30,-0.2812529906214369
ES,E_1,Q_30,0.44374188772544215
ES,E_1,E_30,0.2852355320804886
ES,E_1,R_60,0.15611615962363487
ES,E_1,U_60,0.32891014463257084
ES,E_1,D_60,-0.20043063913716475
ES,E_1,Q_60,0.3571446248716936
ES,E_1,E_60,0.21930627324334473
ES,R_3,R_3,1.0
ES,R_3,U_3,0.6556407365075428
ES,R_3,D_3,-0.6189154598616624
ES,R_3,Q_3,0.7978133089786541
ES,R_3,E_3,0.9433461847484426
ES,R_3,R_5,0.7613609583342374
ES,R_3,U_5,0.6881914974250636
ES,R_3,D_5,-0.645392430840958
ES,R_3,Q_5,0.8380329654873875
ES,R_3,E_5,0.7442467486744966
ES,R_3,R_10,0.5820212977635366
ES,R_3,U_10,0.6502735747560398
ES,R_3,D_10,-0.5761842169870869
ES,R_3,Q_10,0.7641988638552416
ES,R_3,E_10,0.6038768916642563
ES,R_3,R_15,0.5168138079220466
ES,R_3,U_15,0.6250024656308324
ES,R_3,D_15,-0.5378296795045134
ES,R_3,Q_15,0.7267530539540962
ES,R_3,E_15,0.5527486148936287
ES,R_3,R_30,0.41491980388231153
ES,R_3,U_30,0.5591015098996314
ES,R_3,D_30,-0.46571820389823454
ES,R_3,Q_30,0.639347986753009
ES,R_3,E_30,0.44530870429637476
ES,R_3,R_60,0.2943202773135727
ES,R_3,U_60,0.4677529638380349
ES,R_3,D_60,-0.3709255122523929
ES,R_3,Q_60,0.5294209370072269
ES,R_3,E_60,0.35271050474530674
ES,U_3,U_3,1.0
ES,U_3,D_3,-0.23191662782074904
ES,U_3,Q_3,0.7738827213026993
ES,U_3,E_3,0.6810059299614445
ES,U_3,R_5,0.4762586995588989
ES,U_3,U_5,0.9411725068260449
ES,U_3,D_5,-0.19205693904798096
ES,U_3,Q_5,0.7205621297204131
ES,U_3,E_5,0.5362642990830068
ES,U_3,R_10,0.3557610396623777
ES,U_3,U_10,0.8454476391656309
ES,U_3,D_10,-0.12724587422231096
ES,U_3,Q_10,0.6116804976717305
