instrument,horizon,metric,n_valid,n_defined,n_undefined,mean,median,q5,q10,q25,q50,q75,q90,q95,mean_ci_lo,mean_ci_hi
ES,1,R,1286,1286,0,0.3059875583203733,0.25,-3.75,-2.5,-1.1875,0.25,1.5,3.5,4.9375,0.1608621695178849,0.4628693623639191
ES,1,U,1286,1286,0,2.1909020217729394,1.5,0.25,0.5,0.75,1.5,3.0,4.75,6.0,2.07172433903577,2.3059243779160186
ES,1,D,1286,1286,0,1.931959564541213,1.25,0.25,0.25,0.75,1.25,2.5,4.25,5.5,1.8294615085536547,2.0441242223950233
ES,1,Q,1286,1286,0,0.05378857444453657,0.09090909090909091,-0.8461538461538461,-0.75,-0.45454545454545453,0.09090909090909091,0.5555555555555556,0.8095238095238095,0.8937799043062201,0.022114121443792677,0.08420459654741455
ES,1,E,1286,1286,0,0.05325761057610686,0.06458333333333333,-0.75,-0.6550343249427918,-0.37384259259259256,0.06458333333333333,0.5,0.7272727272727273,0.8125,0.027142150114057108,0.07846577060498613
ES,3,R,1286,1286,0,0.31745723172628304,0.0,-6.6875,-4.5,-2.25,0.0,2.5,6.0,8.75,0.05771772939346812,0.5766572706065317
ES,3,U,1286,1286,0,3.5386858475894245,2.5,0.25,0.5,1.25,2.5,4.75,8.0,10.5,3.3590250777604975,3.7357358087091757
ES,3,D,1286,1286,0,3.165629860031104,2.25,0.25,0.5,1.0,2.25,4.25,7.0,9.5,3.0079024105754275,3.3442846034214617
ES,3,Q,1286,1286,0,0.0343172552016844,0.04380952380952381,-0.8666666666666667,-0.7647058823529411,-0.5,0.04380952380952381,0.5877281947261663,0.8268365817091454,0.8904040404040403,0.0013710449861540975,0.06415661262695305
ES,3,E,1286,1286,0,0.020547696721908947,0.0,-0.7935049019607843,-0.7,-0.46153846153846156,0.0,0.5,0.7519230769230769,0.8333333333333334,-0.008572967443127164,0.048830384346704975
ES,5,R,1286,1286,0,0.049961119751166405,-0.25,-8.0,-6.25,-3.0,-0.25,2.9375,6.5,10.1875,-0.24704024105754277,0.39214618973561427
ES,5,U,1286,1286,0,4.254082426127527,3.0,0.25,0.5,1.5,3.0,5.5,9.75,12.75,4.0184146578538105,4.522458203732504
ES,5,D,1286,1286,0,3.962091757387247,3.0,0.25,0.5,1.25,3.0,5.25,8.5,11.25,3.740824261275272,4.15506901244168
ES,5,Q,1286,1286,0,0.014618845135084317,0.0,-0.8778409090909091,-0.7777777777777778,-0.51318391562294,0.0,0.5555555555555556,0.8333333333333334,0.8995762711864407,-0.0192368021590222,0.04660804969324376
ES,5,E,1286,1286,0,-0.006126625846871734,-0.04006410256410256,-0.7951203208556149,-0.6933760683760684,-0.48298192771084336,-0.04006410256410256,0.4696078431372549,0.7222222222222222,0.8187014667817084,-0.03479618046401548,0.024192258845203648
