horizon,metric,spearman_ES_NQ,n
1,R,0.7033823591772764,1284
1,Q,0.618266079035915,1284
3,R,0.7333080173338868,1284
3,Q,0.665937711241922,1284
5,R,0.7252677560818049,1284
5,Q,0.6799984740759389,1284
10,R,0.7362219753701723,1284
10,Q,0.6787991086798052,1284
15,R,0.749326150023216,1284
15,Q,0.6779236247381331,1284
30,R,0.7871590368493179,1284
30,Q,0.70158749287382,1284
60,R,0.8185611370305179,1284
60,Q,0.7395213171740493,1284
