instrument,horizon,metric,year,n,mean,note
ES,60,Q,2022,258,-0.00973664506148784,
NQ,1,R,2018,256,0.5595703125,
NQ,1,R,2019,257,0.7762645914396887,
NQ,1,R,2020,255,0.8764705882352941,
NQ,1,R,2021,258,0.9815891472868217,
NQ,1,R,2022,258,4.778100775193798,
NQ,1,Q,2018,256,0.07446101535785697,
NQ,1,Q,2019,257,0.028199708370606924,
NQ,1,Q,2020,255,0.01347961392230003,
NQ,1,Q,2021,258,0.024279503273489413,
NQ,1,Q,2022,258,0.10640028944282295,
NQ,3,R,2018,256,2.1982421875,
NQ,3,R,2019,257,0.24124513618677043,
NQ,3,R,2020,255,3.503921568627451,
NQ,3,R,2021,258,0.25872093023255816,
NQ,3,R,2022,258,1.6618217054263567,
NQ,3,Q,2018,256,0.08424650351393159,
NQ,3,Q,2019,257,-0.0017108888475317672,
NQ,3,Q,2020,255,0.04924070311131456,
NQ,3,Q,2021,258,0.04326797269458538,
NQ,3,Q,2022,258,0.07000145458094581,
NQ,5,R,2018,256,1.966796875,
NQ,5,R,2019,257,0.835603112840467,
NQ,5,R,2020,255,1.2058823529411764,
NQ,5,R,2021,258,-1.1647286821705427,
NQ,5,R,2022,258,-1.3585271317829457,
NQ,5,Q,2018,256,0.07755847734650126,
NQ,5,Q,2019,257,-0.006009653398769016,
NQ,5,Q,2020,255,0.027829407287122042,
NQ,5,Q,2021,258,0.025149253805751497,
NQ,5,Q,2022,258,0.03801619740567639,
NQ,10,R,2018,256,1.8974609375,
NQ,10,R,2019,257,2.267509727626459,
NQ,10,R,2020,255,-0.6137254901960785,
NQ,10,R,2021,258,-0.22286821705426357,
NQ,10,R,2022,258,-1.2877906976744187,
NQ,10,Q,2018,256,0.06242952039666318,
NQ,10,Q,2019,257,0.02491222539400414,
NQ,10,Q,2020,255,0.014670309691651317,
NQ,10,Q,2021,258,0.005581367836094513,
NQ,10,Q,2022,258,-0.007458250233318715,
NQ,15,R,2018,256,1.6201171875,
NQ,15,R,2019,257,1.534046692607004,
NQ,15,R,2020,255,-0.16568627450980392,
NQ,15,R,2021,258,0.0562015503875969,
NQ,15,R,2022,258,-1.3449612403100775,
NQ,15,Q,2018,256,0.05849152659106546,
NQ,15,Q,2019,257,0.032607037612159814,
NQ,15,Q,2020,255,0.012361963683575092,
