instrument,feature,window,horizon,target,n_valid,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,p_raw_approx,significant_bonf,quintile_monotonicity_spearman,cov100_acc,cov50_acc,cov30_acc,cov15_acc,bull_bear_diff,bull_bear_diff_ci_lo,bull_bear_diff_ci_hi,spearman_drop_top_outlier
ES,norm_ret,1,5,R,1220,0.007686862532686469,-0.15434764354372407,0.16913932791129607,0.01235377561374421,-0.04632262402860129,0.07024575808382014,0.6754979663319518,False,0.49999999999999994,0.49736842105263157,0.5041876046901173,0.5082872928176796,0.5111111111111111,0.15190864600326262,-0.5088473602254189,0.73644981833012,0.00992053316354738
ES,norm_ret,1,5,Q,1220,-0.023411096245145632,-0.07698027324441713,0.030272351794355216,-0.03875676619084286,-0.09369944927980253,0.014814910185776367,0.18888477902234824,False,-0.49999999999999994,0.4899211218229623,0.4724540901502504,0.46368715083798884,0.441340782122905,-0.0321775371560169,-0.10671559652316565,0.026342666191401704,-0.040496611643683886
ES,norm_ret,1,10,R,1220,-0.01605417028777355,-0.14707145947700018,0.11463726428769101,0.013159461015865582,-0.04539599476012983,0.07126413010939511,0.6556560894674326,False,-0.09999999999999999,0.503056768558952,0.49417637271214643,0.48760330578512395,0.4722222222222222,0.20680038558505115,-0.8309183968559988,1.0528912576004739,0.010803109328307399
ES,norm_ret,1,10,Q,1220,-0.003247140915163058,-0.06458610009565285,0.05418822262037867,-0.010846291048285472,-0.06207120887453221,0.0421851193364342,0.7132250770915074,False,0.09999999999999999,0.4973958333333333,0.5074135090609555,0.5027472527472527,0.4972375690607735,-0.0065359204158600415,-0.08239687000604289,0.058259366026013705,-0.01252484252912002
ES,norm_ret,1,15,R,1220,0.014744071070449076,-0.130590918540226,0.1609832789453649,0.00767375427321897,-0.054324935692534805,0.06514447527265642,0.7948474154045495,False,0.3,0.48863636363636365,0.49498327759197325,0.5140449438202247,0.5337078651685393,-0.000401156755153495,-1.013250593207771,1.0229989062731715,0.005237230966548511
ES,norm_ret,1,15,Q,1220,-0.001817576565327321,-0.06329129435478424,0.05694082263667348,-0.011516055044343582,-0.06871895704974561,0.04265662334205918,0.6963700445705379,False,-0.09999999999999999,0.5004359197907585,0.5041459369817579,0.49444444444444446,0.48066298342541436,-0.01873703728768817,-0.0946199438861773,0.04832041163391393,-0.01319033832512735
ES,norm_ret,1,30,R,1220,0.0764210754529706,-0.04406074383981061,0.19107252968605587,0.04299157921497888,-0.019002948694427285,0.09533939654403012,0.14494603935682537,False,0.8999999999999998,0.5082536924413553,0.5132013201320133,0.5302197802197802,0.5414364640883977,0.9334450541302092,-0.5683496032923031,2.1799019168026104,0.040642149242746846
ES,norm_ret,1,30,Q,1220,0.02094350450720096,-0.036415521877009104,0.08163873112413887,0.011479114579703246,-0.04369503587941585,0.06830299588011507,0.697295875976683,False,0.3,0.5177797051170858,0.5306799336650083,0.5467032967032966,0.532967032967033,0.005194783848986013,-0.07328109937046472,0.07322745943534661,0.009813438252426511
ES,norm_ret,5,5,R,1220,0.007718470584293671,-0.11784330827948197,0.12535428237683396,0.016732907958147643,-0.04146204529440663,0.07590996034455674,0.5706953257808252,False,-0.19999999999999998,0.506896551724138,0.5033333333333333,0.48476454293628807,0.5055555555555555,0.22661273520690214,-0.48029358230850244,0.8493013716418887,0.014355255506914492
ES,norm_ret,5,5,Q,1220,-0.024030988285904553,-0.07835206158360881,0.025633857895396708,-0.0157460676868334,-0.06922156562539335,0.03947040736154494,0.5936314475733551,False,-0.19999999999999998,0.49612403100775193,0.4983277591973244,0.49303621169916434,0.46111111111111114,0.0034326739218863422,-0.0688760933703029,0.07120845437534315,-0.016127528219763307
ES,norm_ret,5,10,R,1220,0.06187830372352468,-0.06934546392685707,0.19520872804791806,0.01716235412496333,-0.0414879818596114,0.07881668317983254,0.5608474544370599,False,0.3,0.4845360824742268,0.51,0.5165745856353591,0.5300546448087432,0.08865298830137308,-0.7788582244286966,1.0646107973274959,0.014750978835482976
ES,norm_ret,5,10,Q,1220,0.0027859421802096337,-0.05025532049129106,0.05755073702273481,-0.005955168002360124,-0.06458311628426533,0.04850257056718278,0.8400838535116135,False,-0.19999999999999998,0.4995730145175064,0.5074380165289256,0.5068870523415978,0.4945054945054945,-0.008166611448393528,-0.0755954836189192,0.05824540382832853,-0.007023495020096188
ES,norm_ret,5,15,R,1220,0.10215158528452914,-0.03190040991706115,0.2397751830772436,0.019674991616997692,-0.039946852094736814,0.08066604754788853,0.504931897280597,False,0.8999999999999998,0.488412017167382,0.5141903171953256,0.5083333333333333,0.5082872928176796,0.2797674259310526,-0.6929280066384499,1.3520715188807664,0.017270450541171205
ES,norm_ret,5,15,Q,1220,0.015454458775622524,-0.04367671930888974,0.07389682772603276,-0.0023857942936296654,-0.05916213631026039,0.05839491242468245,0.9355692158276263,False,-0.3,0.488013698630137,0.5099337748344371,0.5263157894736842,0.5082872928176796,-0.016573066722750697,-0.07814946271193525,0.05060223079464583,-0.0037874257383748357
ES,norm_ret,5,30,R,1220,0.10667001481835872,-0.02105435647829304,0.2282262407729752,0.014970172675596295,-0.04354317423322338,0.07357715066124187,0.6119551967081192,False,0.8999999999999998,0.4910333048676345,0.49834437086092714,0.49175824175824173,0.489010989010989,0.2629422660345964,-0.9794049654235507,1.5653391431661925,0.012543859961750076
ES,norm_ret,5,30,Q,1220,0.029258487730949616,-0.029032447838099915,0.08763594769335571,0.011124622186956144,-0.04394982107850875,0.07270621648770889,0.7062031539140152,False,0.09999999999999999,0.5093856655290102,0.5346534653465347,0.5274725274725275,0.5138121546961326,-0.0006143909005431104,-0.06203316570860784,0.0663502972413705,0.009629669192368644
ES,norm_ret,10,5,R,1220,-0.040300191156752506,-0.1501527432425209,0.07396688368497273,-0.01540492194645685,-0.07332755474547159,0.041979947826964265,0.601657180225112,False,-0.19999999999999998,0.48456260720411665,0.4900332225913621,0.5,0.5055555555555555,-0.2587491327719148,-0.8977809008173095,0.452566536840977,-0.015087363660938614
ES,norm_ret,10,5,Q,1220,-0.05925621049653542,-0.11002924903856763,-0.008557662003265522,-0.066174840196314,-0.12234924891996495,-0.013156536751183405,0.02473361688095066,False,-0.6,0.47986289631533846,0.4908485856905158,0.5,0.4972067039106145,-0.08631960960821039,-0.15189976312523007,-0.024375877484901207,-0.06518404729087511
ES,norm_ret,10,10,R,1220,0.010646479222312936,-0.1075837153636465,0.14479130610862134,-0.001109885817608799,-0.05496656957218099,0.054117326915078555,0.9700008784699321,False,0.09999999999999999,0.4777777777777778,0.49916805324459235,0.5305555555555556,0.5469613259668509,-0.4217330178409264,-1.2696238028022042,0.49633245364912626,-0.002775977163289537
ES,norm_ret,10,10,Q,1220,-0.018245611821576246,-0.0722376843956663,0.034261525247506086,-0.042645879705141554,-0.0981324790730807,0.011206248770504593,0.14821023586067916,False,-0.6,0.4855687606112054,0.4884488448844885,0.521978021978022,0.5138121546961326,-0.07709274348161806,-0.1390020821129952,-0.015720286474736604,-0.04250805912424355
ES,norm_ret,10,15,R,1220,0.046440476537215,-0.08375551988679,0.18743657292861143,0.006866418574299152,-0.04589832020879712,0.06875931023278536,0.8160222152603236,False,0.19999999999999998,0.4850555081127242,0.5033333333333333,0.5431754874651811,0.5337078651685393,-0.36243999909751873,-1.3739940330477356,0.6881095626350182,0.005177121911170202
ES,norm_ret,10,15,Q,1220,-0.0071627479564576125,-0.06166847616768415,0.05324962096702955,-0.034574390939943266,-0.09180707666904242,0.02575798033384553,0.241205265494163,False,-0.19999999999999998,0.4851063829787234,0.49585406301824214,0.5401662049861495,0.5388888888888889,-0.07403306527477126,-0.1437017527822096,-0.01704489501227594,-0.03463789082548822
ES,norm_ret,10,30,R,1220,0.04859202997305743,-0.06074858955071697,0.16565866686878708,6.924416541116178e-06,-0.061822146329509685,0.05281075593762413,0.9998127957952314,False,0.19999999999999998,0.4762308998302207,0.48509933774834435,0.5234159779614325,0.5245901639344263,-0.2697234458990687,-1.6094233497284096,1.1018301509117876,0.0021425565031300943
ES,norm_ret,10,30,Q,1220,0.004892848240083806,-0.0482552550565653,0.06398279553944201,-0.017422247975539224,-0.06960168898079917,0.0435210341267231,0.5549278451753077,False,-0.19999999999999998,0.5008474576271187,0.5148514851485149,0.559228650137741,0.5604395604395604,-0.055875935910601505,-0.1312576373689319,0.006365063981997113,-0.016679589261826187
ES,norm_ret,15,5,R,1220,-0.05488165917123631,-0.17023757091388617,0.05622191161617827,-0.0022929057113172412,-0.06291796239839076,0.05132433855982128,0.9380726292997321,False,-0.3,0.4940068493150685,0.49585406301824214,0.5096952908587258,0.5027932960893855,-0.08250178939834112,-0.7184764325712601,0.6097826933602786,-0.003351763261156435
ES,norm_ret,15,5,Q,1220,-0.06347268210553092,-0.1182747358473475,-0.01375915686174928,-0.06156902347357049,-0.12059127655739542,-0.007823758023301113,0.03672251097925683,False,-0.8999999999999998,0.4884910485933504,0.48258706467661694,0.5069252077562327,0.4888888888888889,-0.07640791997210772,-0.13806751069888015,-0.006674059331349635,-0.061535899250841235
ES,norm_ret,15,10,R,1220,0.005657423618143994,-0.12506430890369263,0.15171557037543887,0.02112739068851953,-0.03539489231007864,0.0858606668362097,0.47400170368308947,False,0.09999999999999999,0.4940374787052811,0.5050335570469798,0.5266106442577031,0.5355191256830601,0.1271062271062271,-0.6911181634457497,1.1114376236790025,0.019899034268763487
ES,norm_ret,15,10,Q,1220,-0.020355959998750967,-0.07836783766863085,0.035187221370639836,-0.0297698687488058,-0.08753432376122501,0.029415715387206026,0.3129674401091356,False,-0.49999999999999994,0.49746192893401014,0.5066225165562914,0.5193370165745856,0.5138121546961326,-0.042890468383726066,-0.10229977827186974,0.028546646100080626,-0.030021754956829568
ES,norm_ret,15,15,R,1220,0.04423986690339309,-0.09698688123709848,0.19222608713545883,0.016864586457976245,-0.039134837938743484,0.08025822824205393,0.5676670060365565,False,0.09999999999999999,0.4931972789115646,0.4974958263772955,0.5111731843575419,0.55,0.31929602964085724,-0.659981579722959,1.5028248284282761,0.014754924919149686
ES,norm_ret,15,15,Q,1220,-0.006249876824260741,-0.060704994239546874,0.052433294482061056,-0.021653224111666605,-0.07950356017348768,0.03819439130065944,0.46306537917283963,False,-0.09999999999999999,0.5038232795242141,0.5166666666666667,0.5318559556786704,0.5604395604395604,-0.03941419037090954,-0.10444286229602406,0.03040216009307258,-0.022784802583608852
ES,norm_ret,15,30,R,1220,0.04669583163179724,-0.0798720731786985,0.18042352698305322,0.011382125036512057,-0.04700464721114053,0.06687806541913131,0.699728844633426,False,0.09999999999999999,0.48646362098138746,0.46942148760330576,0.48066298342541436,0.5027322404371585,0.28769314976211524,-1.0257942297166436,1.7693892888720455,0.009023974310488344
