instrument,side,activation_window,context_dim,context_value,horizon_min,barrier,valid_blocks,first_interactions,same_bar_reversal_rate,same_bar_breakthrough_rate,same_bar_unresolved_rate,median_signed_close_atr,median_rev_exc_atr,median_brk_exc_atr,median_dominance,p_rev_exc_gt_brk_exc,p_brk_exc_gt_rev_exc,retouch_rate,reversal_first_n,breakthrough_first_n,tie_n,neither_n,n_nontied,reversal_first_rate,breakthrough_first_rate,rev_minus_brk_first_rate,tie_rate,neither_rate,binom_p,sample_status
ES,lower,WITHIN_10AM_CANDLE,ALL,ALL,15,0.5,251,251,0.4701195219123506,0.30278884462151395,0.22709163346613545,0.0,0.2923076923076923,0.25806451612903225,0.08333333333333331,0.5139442231075697,0.4701195219123506,0.9123505976095617,64,51,0,136,115,0.2549800796812749,0.20318725099601595,0.05179282868525897,0.0,0.5418326693227091,0.26305395754293537,OK
ES,lower,WITHIN_10AM_CANDLE,pre10_stratum,PRE10_DOWN,15,0.5,228,228,0.4692982456140351,0.30701754385964913,0.2236842105263158,0.0,0.2904837430610626,0.237468671679198,0.11437908496732029,0.5263157894736842,0.4605263157894737,0.9078947368421053,58,44,0,126,102,0.2543859649122807,0.19298245614035087,0.06140350877192982,0.0,0.5526315789473685,0.1977898630680834,OK
ES,lower,WITHIN_10AM_CANDLE,pre10_stratum,PRE10_FLAT,15,0.5,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.42857142857142855,0.14285714285714285,0.5,0.6666666666666666,0.3333333333333333,1.0,1,1,0,1,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,UNDERPOWERED
ES,lower,WITHIN_10AM_CANDLE,pre10_stratum,PRE10_UP,15,0.5,20,20,0.5,0.25,0.25,0.058823529411764705,0.28425794215267897,0.4392982456140351,-0.12857142857142856,0.35,0.6,0.95,5,6,0,9,11,0.25,0.3,-0.05,0.0,0.45,1.0,UNDERPOWERED
ES,lower,WITHIN_10AM_CANDLE,close_loc_stratum,CLOSE_HIGH,15,0.5,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3103448275862069,0.7241379310344828,0.1724137931034483,0.6153846153846154,0.6666666666666666,0.3333333333333333,0.6666666666666666,2,1,0,0,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,UNDERPOWERED
ES,lower,WITHIN_10AM_CANDLE,close_loc_stratum,CLOSE_LOW,15,0.5,191,191,0.4607329842931937,0.3507853403141361,0.18848167539267016,0.0,0.26666666666666666,0.26,0.0,0.49214659685863876,0.4869109947643979,0.8952879581151832,40,36,0,115,76,0.2094240837696335,0.18848167539267016,0.020942408376963352,0.0,0.6020942408376964,0.7310088822226056,OK
ES,lower,WITHIN_10AM_CANDLE,close_loc_stratum,CLOSE_MIDDLE,15,0.5,57,57,0.5087719298245614,0.12280701754385964,0.3684210526315789,0.06315789473684211,0.390625,0.25806451612903225,0.23076923076923078,0.5789473684210527,0.42105263157894735,0.9824561403508771,22,14,0,21,36,0.38596491228070173,0.24561403508771928,0.14035087719298245,0.0,0.3684210526315789,0.24298495403490966,OK
ES,lower,WITHIN_10AM_CANDLE,dominance_stratum,BALANCED,15,0.5,73,73,0.4520547945205479,0.3013698630136986,0.2465753424657534,0.022222222222222223,0.3541666666666667,0.23684210526315788,0.23076923076923075,0.5616438356164384,0.4383561643835616,0.958904109589041,23,16,0,34,39,0.3150684931506849,0.2191780821917808,0.0958904109589041,0.0,0.4657534246575342,0.3367836351899315,OK
ES,lower,WITHIN_10AM_CANDLE,dominance_stratum,DOWN_DOMINANT,15,0.5,138,138,0.4927536231884058,0.2826086956521739,0.2246376811594203,0.0036231884057971015,0.2633333333333333,0.22100907941615905,0.08012820512820512,0.5144927536231884,0.47101449275362317,0.8840579710144928,30,26,0,82,56,0.21739130434782608,0.18840579710144928,0.028985507246376812,0.0,0.5942028985507246,0.6888797607233395,OK
ES,lower,WITHIN_10AM_CANDLE,dominance_stratum,UP_DOMINANT,15,0.5,40,40,0.425,0.375,0.2,0.0,0.297270955165692,0.36330698287220026,-0.05714285714285714,0.425,0.525,0.925,11,9,0,20,20,0.275,0.225,0.05,0.0,0.5,0.8238029479980469,UNDERPOWERED
ES,lower,WITHIN_10AM_CANDLE,freshness,PRETOUCHED,15,0.5,133,133,0.5413533834586466,0.2556390977443609,0.20300751879699247,0.05384615384615385,0.3333333333333333,0.22,0.23076923076923073,0.5789473684210527,0.39097744360902253,0.9022556390977443,36,25,0,72,61,0.2706766917293233,0.18796992481203006,0.08270676691729323,0.0,0.5413533834586466,0.20003136851310313,OK
ES,lower,WITHIN_10AM_CANDLE,freshness,PRISTINE,15,0.5,118,118,0.3898305084745763,0.3559322033898305,0.2542372881355932,0.0,0.24497449744974498,0.27890295358649786,-0.07774086378737538,0.4406779661016949,0.559322033898305,0.923728813559322,28,26,0,64,54,0.23728813559322035,0.22033898305084745,0.01694915254237288,0.0,0.5423728813559322,0.8919231511047488,OK
