instrument,side,freshness,activation_window,horizon_min,n_observations,n_nontied,rev_minus_brk_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,1,97,6,0.041237113402061855,0.015873015873015872,0.21875,False,0.4375,5,4,4.123711340206185,UNDERPOWERED
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,3,97,14,0.041237113402061855,0.03225806451612903,0.4239501953125,False,0.6982709099264706,5,4,4.123711340206185,UNDERPOWERED
ES,lower,PRETOUCHED,WITHIN_5MIN,1,197,7,0.015228426395939087,0.0136986301369863,0.453125,False,0.7223069334487667,5,3,1.5228426395939088,UNDERPOWERED
ES,lower,PRETOUCHED,WITHIN_10MIN,1,255,7,0.011764705882352941,0.015873015873015872,0.453125,False,0.7223069334487667,5,4,1.1764705882352942,UNDERPOWERED
ES,lower,PRETOUCHED,WITHIN_15MIN,1,304,8,0.006578947368421052,0.017370470200658877,0.7265625,False,0.9041666666666667,5,4,0.6578947368421052,UNDERPOWERED
ES,lower,PRETOUCHED,WITHIN_30MIN,1,359,8,0.005571030640668524,0.011764705882352941,0.7265625,False,0.9041666666666667,5,3,0.5571030640668524,UNDERPOWERED
ES,lower,PRETOUCHED,WITHIN_60MIN,1,411,10,0.004866180048661801,0.011494252873563218,0.75390625,False,0.9227061170212766,5,4,0.48661800486618007,UNDERPOWERED
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,1,67,3,-0.04477611940298507,0.0,0.25,False,0.47191011235955055,4,3,-4.477611940298507,UNDERPOWERED
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,3,67,7,-0.07462686567164178,0.0,0.125,False,0.30518952358937296,4,3,-7.462686567164178,UNDERPOWERED
ES,lower,PRISTINE,WITHIN_10AM_CANDLE,5,67,12,-0.08955223880597014,0.0,0.14599609375,False,0.3401114555178394,4,2,-8.955223880597014,UNDERPOWERED
