instrument,side,freshness,activation_window,horizon_min,year,n_observations,rev_minus_brk_first_rate,median_signed_close_atr,same_bar_reversal_rate,same_bar_breakthrough_rate,sign
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,30,2022,28,-0.07142857142857142,-0.11329486717153504,0.42857142857142855,0.4642857142857143,-1.0
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,2018,17,-0.17647058823529413,0.0,0.47058823529411764,0.23529411764705882,0.0
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,2019,17,0.4117647058823529,0.26666666666666666,0.7647058823529411,0.058823529411764705,1.0
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,2020,11,0.36363636363636365,0.1095890410958904,0.7272727272727273,0.09090909090909091,1.0
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,2021,24,0.4583333333333333,0.3675,0.5833333333333334,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,2022,28,-0.10714285714285714,0.0,0.42857142857142855,0.4642857142857143,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,1,2018,31,0.03225806451612903,0.10714285714285714,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,1,2019,40,0.05,0.05210371819960861,0.575,0.15,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,1,2020,31,0.0,0.0,0.6451612903225806,0.06451612903225806,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,1,2021,41,0.0,0.0,0.5121951219512195,0.1951219512195122,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,1,2022,54,0.0,0.0,0.4074074074074074,0.3888888888888889,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,3,2018,31,0.06451612903225806,0.10526315789473684,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,3,2019,40,0.025,0.05531609195402298,0.575,0.15,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,3,2020,31,0.06451612903225806,0.0,0.6451612903225806,0.06451612903225806,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,3,2021,41,0.04878048780487805,0.0,0.5121951219512195,0.1951219512195122,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,3,2022,54,0.0,0.019440353460972018,0.4074074074074074,0.3888888888888889,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,5,2018,31,0.06451612903225806,0.058823529411764705,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,5,2019,40,0.0,0.09722222222222221,0.575,0.15,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,5,2020,31,0.06451612903225806,0.075,0.6451612903225806,0.06451612903225806,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,5,2021,41,0.14634146341463414,0.07079646017699115,0.5121951219512195,0.1951219512195122,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,5,2022,54,0.05555555555555555,0.0,0.4074074074074074,0.3888888888888889,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,10,2018,31,0.12903225806451613,0.14705882352941177,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,10,2019,40,0.0,0.0,0.575,0.15,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,10,2020,31,0.16129032258064516,0.027777777777777776,0.6451612903225806,0.06451612903225806,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,10,2021,41,0.21951219512195122,0.0,0.5121951219512195,0.1951219512195122,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,10,2022,54,0.037037037037037035,0.0,0.4074074074074074,0.3888888888888889,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,15,2018,31,0.12903225806451613,0.16666666666666666,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,15,2019,40,0.0,0.0,0.575,0.15,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,15,2020,31,0.16129032258064516,0.16666666666666666,0.6451612903225806,0.06451612903225806,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,15,2021,41,0.21951219512195122,0.06451612903225806,0.5121951219512195,0.1951219512195122,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,15,2022,54,-0.018518518518518517,0.0,0.4074074074074074,0.3888888888888889,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,30,2018,31,0.1935483870967742,0.17857142857142858,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,30,2019,40,0.075,0.03398617511520737,0.575,0.15,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,30,2020,31,0.2903225806451613,0.1320754716981132,0.6451612903225806,0.06451612903225806,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,30,2021,41,0.2926829268292683,0.0782608695652174,0.5121951219512195,0.1951219512195122,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,30,2022,54,0.05555555555555555,0.0,0.4074074074074074,0.3888888888888889,0.0
ES,lower,PRETOUCHED,WITHIN_5MIN,60,2018,31,0.0967741935483871,0.13043478260869565,0.5161290322580645,0.1935483870967742,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,60,2019,40,0.1,0.06227967097532315,0.575,0.15,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,60,2020,31,0.25806451612903225,0.08928571428571429,0.6451612903225806,0.06451612903225806,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,60,2021,41,0.2926829268292683,0.08490566037735849,0.5121951219512195,0.1951219512195122,1.0
ES,lower,PRETOUCHED,WITHIN_5MIN,60,2022,54,0.018518518518518517,0.033783783783783786,0.4074074074074074,0.3888888888888889,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,1,2018,42,0.023809523809523808,0.07947368421052631,0.4523809523809524,0.19047619047619047,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,1,2019,56,0.03571428571428571,0.009433962264150943,0.5892857142857143,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,1,2020,40,0.0,0.034252297410192145,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,1,2021,51,0.0,0.011494252873563218,0.5294117647058824,0.1568627450980392,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,1,2022,66,0.0,0.0,0.3787878787878788,0.3333333333333333,0.0
ES,lower,PRETOUCHED,WITHIN_10MIN,3,2018,42,0.023809523809523808,0.0972972972972973,0.4523809523809524,0.19047619047619047,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,3,2019,56,0.017857142857142856,0.05309139784946236,0.5892857142857143,0.125,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,3,2020,40,0.125,0.11211082547843473,0.625,0.075,1.0
ES,lower,PRETOUCHED,WITHIN_10MIN,3,2021,51,0.0392156862745098,0.0,0.5294117647058824,0.1568627450980392,0.0
