instrument,candle_state,context_dim,context_value,horizon_min,barrier,n_observations,continuation_first_rate,reversal_first_rate,cont_minus_rev_first_rate,tie_rate,neither_rate,median_signed_close_atr,median_cont_exc_atr,median_rev_exc_atr,median_dominance,p_cont_exc_gt_rev_exc,p_rev_exc_gt_cont_exc,retouch_rate,n_nontied,binom_p,sample_status
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,10,1.0,293,0.06143344709897611,0.0034129692832764505,0.05802047781569966,0.0,0.9351535836177475,0.1125,0.37142857142857144,0.11538461538461539,0.5555555555555556,0.7201365187713311,0.26621160409556316,0.8498293515358362,19,7.62939453125e-05,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,15,0.25,293,0.726962457337884,0.2150170648464164,0.5119453924914675,0.0034129692832764505,0.05460750853242321,0.10891089108910891,0.42857142857142855,0.1686746987951807,0.4666666666666667,0.6996587030716723,0.27986348122866894,0.8498293515358362,276,3.244692371306674e-20,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,15,0.5,293,0.40955631399317405,0.11262798634812286,0.29692832764505117,0.0,0.4778156996587031,0.10891089108910891,0.42857142857142855,0.1686746987951807,0.4666666666666667,0.6996587030716723,0.27986348122866894,0.8498293515358362,153,8.276309548310359e-13,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,15,1.0,293,0.09215017064846416,0.0034129692832764505,0.08873720136518772,0.0,0.9044368600682594,0.10891089108910891,0.42857142857142855,0.1686746987951807,0.4666666666666667,0.6996587030716723,0.27986348122866894,0.8498293515358362,28,2.1606683731079102e-07,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,30,0.25,293,0.7406143344709898,0.2354948805460751,0.5051194539249146,0.0034129692832764505,0.020477815699658702,0.14634146341463414,0.5434782608695652,0.2537313432835821,0.3962264150943396,0.6518771331058021,0.3378839590443686,0.8498293515358362,286,5.48549639983327e-19,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,30,0.5,293,0.5290102389078498,0.21843003412969283,0.310580204778157,0.0,0.2525597269624573,0.14634146341463414,0.5434782608695652,0.2537313432835821,0.3962264150943396,0.6518771331058021,0.3378839590443686,0.8498293515358362,219,6.808307754738393e-10,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,30,1.0,293,0.16723549488054607,0.05460750853242321,0.11262798634812286,0.0,0.7781569965870307,0.14634146341463414,0.5434782608695652,0.2537313432835821,0.3962264150943396,0.6518771331058021,0.3378839590443686,0.8498293515358362,65,5.084767048790175e-05,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,60,0.25,293,0.7440273037542662,0.24914675767918087,0.4948805460750853,0.0034129692832764505,0.0034129692832764505,0.14619883040935672,0.6607142857142857,0.34507042253521125,0.30000000000000004,0.6245733788395904,0.36860068259385664,0.8498293515358362,291,6.218514571963798e-18,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,60,0.5,293,0.6006825938566553,0.29692832764505117,0.3037542662116041,0.0,0.10238907849829351,0.14619883040935672,0.6607142857142857,0.34507042253521125,0.30000000000000004,0.6245733788395904,0.36860068259385664,0.8498293515358362,263,4.318202012490537e-08,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,60,1.0,293,0.3003412969283277,0.1296928327645051,0.17064846416382254,0.0,0.5699658703071673,0.14619883040935672,0.6607142857142857,0.34507042253521125,0.30000000000000004,0.6245733788395904,0.36860068259385664,0.8498293515358362,126,9.848038166935363e-06,OK
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,1,0.25,8,0.5,0.0,0.5,0.0,0.5,0.17119565217391303,0.27389705882352944,0.0,1.0,1.0,0.0,1.0,4,0.125,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,1,0.5,8,0.125,0.0,0.125,0.0,0.875,0.17119565217391303,0.27389705882352944,0.0,1.0,1.0,0.0,1.0,1,1.0,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,1,1.0,8,0.0,0.0,0.0,0.0,1.0,0.17119565217391303,0.27389705882352944,0.0,1.0,1.0,0.0,1.0,0,,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,3,0.25,8,0.625,0.125,0.5,0.0,0.25,0.22146739130434784,0.36141304347826086,0.0,1.0,0.875,0.125,1.0,6,0.21875,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,3,0.5,8,0.25,0.0,0.25,0.0,0.75,0.22146739130434784,0.36141304347826086,0.0,1.0,0.875,0.125,1.0,2,0.5,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,3,1.0,8,0.0,0.0,0.0,0.0,1.0,0.22146739130434784,0.36141304347826086,0.0,1.0,0.875,0.125,1.0,0,,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,5,0.25,8,0.625,0.125,0.5,0.0,0.25,0.11490683229813664,0.42391304347826086,0.07427536231884058,0.5606060606060606,0.75,0.125,1.0,6,0.21875,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,5,0.5,8,0.5,0.125,0.375,0.0,0.375,0.11490683229813664,0.42391304347826086,0.07427536231884058,0.5606060606060606,0.75,0.125,1.0,5,0.375,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,5,1.0,8,0.0,0.0,0.0,0.0,1.0,0.11490683229813664,0.42391304347826086,0.07427536231884058,0.5606060606060606,0.75,0.125,1.0,0,,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,10,0.25,8,0.75,0.125,0.625,0.0,0.125,0.06159420289855072,0.48641304347826086,0.13664596273291924,0.5470085470085471,0.75,0.25,1.0,7,0.125,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,10,0.5,8,0.5,0.25,0.25,0.0,0.25,0.06159420289855072,0.48641304347826086,0.13664596273291924,0.5470085470085471,0.75,0.25,1.0,6,0.6875,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,10,1.0,8,0.125,0.0,0.125,0.0,0.875,0.06159420289855072,0.48641304347826086,0.13664596273291924,0.5470085470085471,0.75,0.25,1.0,1,1.0,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,15,0.25,8,0.75,0.125,0.625,0.0,0.125,0.18167701863354035,0.6041666666666667,0.16925465838509318,0.5892857142857142,0.625,0.375,1.0,7,0.125,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,15,0.5,8,0.625,0.25,0.375,0.0,0.125,0.18167701863354035,0.6041666666666667,0.16925465838509318,0.5892857142857142,0.625,0.375,1.0,7,0.453125,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,15,1.0,8,0.25,0.0,0.25,0.0,0.75,0.18167701863354035,0.6041666666666667,0.16925465838509318,0.5892857142857142,0.625,0.375,1.0,2,0.5,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,30,0.25,8,0.75,0.25,0.5,0.0,0.0,-0.28894927536231885,0.6041666666666667,0.375,0.1,0.5,0.5,1.0,8,0.2890625,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,30,0.5,8,0.625,0.375,0.25,0.0,0.0,-0.28894927536231885,0.6041666666666667,0.375,0.1,0.5,0.5,1.0,8,0.7265625,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,30,1.0,8,0.25,0.25,0.0,0.0,0.5,-0.28894927536231885,0.6041666666666667,0.375,0.1,0.5,0.5,1.0,4,1.0,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,60,0.25,8,0.75,0.25,0.5,0.0,0.0,-0.2950310559006211,0.6041666666666667,0.5357142857142857,-0.09487666034155598,0.5,0.5,1.0,8,0.2890625,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,60,0.5,8,0.625,0.375,0.25,0.0,0.0,-0.2950310559006211,0.6041666666666667,0.5357142857142857,-0.09487666034155598,0.5,0.5,1.0,8,0.7265625,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_FLAT,60,1.0,8,0.25,0.375,-0.125,0.0,0.375,-0.2950310559006211,0.6041666666666667,0.5357142857142857,-0.09487666034155598,0.5,0.5,1.0,5,1.0,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_UP,1,0.25,298,0.31543624161073824,0.02348993288590604,0.29194630872483224,0.0,0.6610738255033557,0.09375,0.16666666666666666,0.0,1.0,0.825503355704698,0.14429530201342283,0.8825503355704698,101,1.4633698424991997e-20,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,1,0.5,298,0.04697986577181208,0.0,0.04697986577181208,0.0,0.9530201342281879,0.09375,0.16666666666666666,0.0,1.0,0.825503355704698,0.14429530201342283,0.8825503355704698,14,0.0001220703125,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_UP,1,1.0,298,0.003355704697986577,0.0,0.003355704697986577,0.0,0.9966442953020134,0.09375,0.16666666666666666,0.0,1.0,0.825503355704698,0.14429530201342283,0.8825503355704698,1,1.0,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_UP,3,0.25,298,0.4664429530201342,0.11073825503355705,0.35570469798657717,0.0,0.4228187919463087,0.08606701940035273,0.22095959595959597,0.031754032258064516,0.732488822652757,0.7516778523489933,0.2214765100671141,0.8825503355704698,172,1.1137047323553833e-16,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,3,0.5,298,0.09731543624161074,0.003355704697986577,0.09395973154362416,0.0,0.8993288590604027,0.08606701940035273,0.22095959595959597,0.031754032258064516,0.732488822652757,0.7516778523489933,0.2214765100671141,0.8825503355704698,30,5.774199962615967e-08,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,3,1.0,298,0.006711409395973154,0.0,0.006711409395973154,0.0,0.9932885906040269,0.08606701940035273,0.22095959595959597,0.031754032258064516,0.732488822652757,0.7516778523489933,0.2214765100671141,0.8825503355704698,2,0.5,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_UP,5,0.25,298,0.5134228187919463,0.1476510067114094,0.36577181208053694,0.0,0.3389261744966443,0.09122919334186941,0.2541383989145183,0.06539558089807555,0.5857142857142857,0.697986577181208,0.28187919463087246,0.8825503355704698,197,2.604008169188834e-15,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,5,0.5,298,0.15436241610738255,0.02348993288590604,0.13087248322147652,0.0,0.8221476510067114,0.09122919334186941,0.2541383989145183,0.06539558089807555,0.5857142857142857,0.697986577181208,0.28187919463087246,0.8825503355704698,53,4.003196174551249e-08,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,5,1.0,298,0.016778523489932886,0.0,0.016778523489932886,0.0,0.9832214765100671,0.09122919334186941,0.2541383989145183,0.06539558089807555,0.5857142857142857,0.697986577181208,0.28187919463087246,0.8825503355704698,5,0.0625,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_UP,10,0.25,298,0.610738255033557,0.21476510067114093,0.3959731543624161,0.0,0.174496644295302,0.11251780344991297,0.30958385876418665,0.11777389277389277,0.4349298500241896,0.6711409395973155,0.31543624161073824,0.8825503355704698,246,2.7301522539643083e-14,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,10,0.5,298,0.2684563758389262,0.06040268456375839,0.2080536912751678,0.0,0.6711409395973155,0.11251780344991297,0.30958385876418665,0.11777389277389277,0.4349298500241896,0.6711409395973155,0.31543624161073824,0.8825503355704698,98,1.6606697571045604e-10,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,10,1.0,298,0.040268456375838924,0.0,0.040268456375838924,0.0,0.959731543624161,0.11251780344991297,0.30958385876418665,0.11777389277389277,0.4349298500241896,0.6711409395973155,0.31543624161073824,0.8825503355704698,12,0.00048828125,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_UP,15,0.25,298,0.6610738255033557,0.24496644295302014,0.4161073825503356,0.0,0.09395973154362416,0.08401880141010576,0.36811594202898545,0.1461100569259962,0.41338112305854247,0.6644295302013423,0.32550335570469796,0.8825503355704698,270,2.4716540517427527e-14,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,15,0.5,298,0.3389261744966443,0.09731543624161074,0.24161073825503357,0.0,0.5637583892617449,0.08401880141010576,0.36811594202898545,0.1461100569259962,0.41338112305854247,0.6644295302013423,0.32550335570469796,0.8825503355704698,130,1.582681806486603e-10,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,15,1.0,298,0.07718120805369127,0.006711409395973154,0.07046979865771812,0.0,0.9161073825503355,0.08401880141010576,0.36811594202898545,0.1461100569259962,0.41338112305854247,0.6644295302013423,0.32550335570469796,0.8825503355704698,25,1.9431114196777344e-05,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,30,0.25,298,0.6912751677852349,0.28187919463087246,0.40939597315436244,0.0,0.026845637583892617,0.056228956228956226,0.4616176470588236,0.2572892040977147,0.31731875719217484,0.6073825503355704,0.3825503355704698,0.8825503355704698,290,5.458082522715783e-13,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,30,0.5,298,0.44966442953020136,0.2080536912751678,0.24161073825503357,0.0,0.3422818791946309,0.056228956228956226,0.4616176470588236,0.2572892040977147,0.31731875719217484,0.6073825503355704,0.3825503355704698,0.8825503355704698,196,2.9370924277452296e-07,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,30,1.0,298,0.17114093959731544,0.030201342281879196,0.14093959731543623,0.0,0.7986577181208053,0.056228956228956226,0.4616176470588236,0.2572892040977147,0.31731875719217484,0.6073825503355704,0.3825503355704698,0.8825503355704698,60,3.085035609438902e-08,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,60,0.25,298,0.697986577181208,0.2953020134228188,0.40268456375838924,0.0,0.006711409395973154,0.027696078431372548,0.5854166666666667,0.3797010607521697,0.23238095238095235,0.5906040268456376,0.40604026845637586,0.8825503355704698,296,2.3201290333773665e-12,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,60,0.5,298,0.5302013422818792,0.33557046979865773,0.19463087248322147,0.0,0.1342281879194631,0.027696078431372548,0.5854166666666667,0.3797010607521697,0.23238095238095235,0.5906040268456376,0.40604026845637586,0.8825503355704698,258,0.00036777127632735897,OK
ES,BEARISH_1000,pre10_stratum,PRE10_UP,60,1.0,298,0.28859060402684567,0.10738255033557047,0.18120805369127516,0.0,0.6040268456375839,0.027696078431372548,0.5854166666666667,0.3797010607521697,0.23238095238095235,0.5906040268456376,0.40604026845637586,0.8825503355704698,118,6.904732386830466e-07,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,1,0.25,207,0.24154589371980675,0.024154589371980676,0.21739130434782608,0.0,0.7342995169082126,0.08571428571428572,0.15384615384615385,0.0,1.0,0.8405797101449275,0.13043478260869565,0.893719806763285,55,2.1358426138817774e-10,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,1,0.5,207,0.03864734299516908,0.0,0.03864734299516908,0.0,0.961352657004831,0.08571428571428572,0.15384615384615385,0.0,1.0,0.8405797101449275,0.13043478260869565,0.893719806763285,8,0.0078125,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,1,1.0,207,0.004830917874396135,0.0,0.004830917874396135,0.0,0.9951690821256038,0.08571428571428572,0.15384615384615385,0.0,1.0,0.8405797101449275,0.13043478260869565,0.893719806763285,1,1.0,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,3,0.25,207,0.38164251207729466,0.11594202898550725,0.26570048309178745,0.0,0.5024154589371981,0.06666666666666667,0.19607843137254902,0.041666666666666664,0.6250000000000001,0.7294685990338164,0.24154589371980675,0.893719806763285,103,4.980762968257179e-08,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,3,0.5,207,0.06280193236714976,0.00966183574879227,0.05314009661835749,0.0,0.927536231884058,0.06666666666666667,0.19607843137254902,0.041666666666666664,0.6250000000000001,0.7294685990338164,0.24154589371980675,0.893719806763285,15,0.00738525390625,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,3,1.0,207,0.004830917874396135,0.0,0.004830917874396135,0.0,0.9951690821256038,0.06666666666666667,0.19607843137254902,0.041666666666666664,0.6250000000000001,0.7294685990338164,0.24154589371980675,0.893719806763285,1,1.0,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,5,0.25,207,0.42995169082125606,0.16908212560386474,0.2608695652173913,0.0,0.40096618357487923,0.07936507936507936,0.21761658031088082,0.07746478873239436,0.4545454545454546,0.6763285024154589,0.30917874396135264,0.893719806763285,124,1.3391625040993677e-06,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,5,0.5,207,0.10628019323671498,0.028985507246376812,0.07729468599033816,0.0,0.8647342995169082,0.07936507936507936,0.21761658031088082,0.07746478873239436,0.4545454545454546,0.6763285024154589,0.30917874396135264,0.893719806763285,28,0.0037191659212112427,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,5,1.0,207,0.00966183574879227,0.0,0.00966183574879227,0.0,0.9903381642512077,0.07936507936507936,0.21761658031088082,0.07746478873239436,0.4545454545454546,0.6763285024154589,0.30917874396135264,0.893719806763285,2,0.5,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,10,0.25,207,0.5314009661835749,0.2608695652173913,0.27053140096618356,0.0,0.20772946859903382,0.08695652173913043,0.265625,0.11888111888111888,0.4,0.6376811594202898,0.3526570048309179,0.893719806763285,164,1.460983514936857e-05,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,10,0.5,207,0.2028985507246377,0.07246376811594203,0.13043478260869565,0.0,0.7246376811594203,0.08695652173913043,0.265625,0.11888111888111888,0.4,0.6376811594202898,0.3526570048309179,0.893719806763285,57,0.00046000500864878935,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,10,1.0,207,0.01932367149758454,0.0,0.01932367149758454,0.0,0.9806763285024155,0.08695652173913043,0.265625,0.11888111888111888,0.4,0.6376811594202898,0.3526570048309179,0.893719806763285,4,0.125,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,15,0.25,207,0.5990338164251208,0.2946859903381642,0.30434782608695654,0.0,0.10628019323671498,0.046875,0.32142857142857145,0.14285714285714285,0.38461538461538464,0.6376811594202898,0.34782608695652173,0.893719806763285,185,4.210926882969811e-06,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,15,0.5,207,0.2753623188405797,0.10628019323671498,0.16908212560386474,0.0,0.6183574879227053,0.046875,0.32142857142857145,0.14285714285714285,0.38461538461538464,0.6376811594202898,0.34782608695652173,0.893719806763285,79,0.00010259635179423318,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,15,1.0,207,0.04830917874396135,0.004830917874396135,0.043478260869565216,0.0,0.9468599033816425,0.046875,0.32142857142857145,0.14285714285714285,0.38461538461538464,0.6376811594202898,0.34782608695652173,0.893719806763285,11,0.01171875,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,30,0.25,207,0.6328502415458938,0.3333333333333333,0.2995169082125604,0.0,0.033816425120772944,0.016666666666666666,0.4235294117647059,0.2549019607843137,0.31250000000000006,0.5797101449275363,0.4106280193236715,0.893719806763285,200,1.3857451572364535e-05,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,30,0.5,207,0.38164251207729466,0.21256038647342995,0.16908212560386474,0.0,0.4057971014492754,0.016666666666666666,0.4235294117647059,0.2549019607843137,0.31250000000000006,0.5797101449275363,0.4106280193236715,0.893719806763285,123,0.002045039581843465,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,30,1.0,207,0.10144927536231885,0.01932367149758454,0.0821256038647343,0.0,0.8792270531400966,0.016666666666666666,0.4235294117647059,0.2549019607843137,0.31250000000000006,0.5797101449275363,0.4106280193236715,0.893719806763285,25,0.0009105205535888672,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,60,0.25,207,0.642512077294686,0.34782608695652173,0.2946859903381642,0.0,0.00966183574879227,0.0,0.48826291079812206,0.3375,0.18181818181818182,0.5797101449275363,0.41545893719806765,0.893719806763285,205,2.4462147139291295e-05,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,60,0.5,207,0.4782608695652174,0.34299516908212563,0.13526570048309178,0.0,0.178743961352657,0.0,0.48826291079812206,0.3375,0.18181818181818182,0.5797101449275363,0.41545893719806765,0.893719806763285,170,0.03806366960413438,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_HIGH,60,1.0,207,0.21256038647342995,0.09178743961352658,0.12077294685990338,0.0,0.6956521739130435,0.0,0.48826291079812206,0.3375,0.18181818181818182,0.5797101449275363,0.41545893719806765,0.893719806763285,63,0.0022275315109880345,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,1,0.25,136,0.34558823529411764,0.0,0.34558823529411764,0.007352941176470588,0.6470588235294118,0.11866791744840526,0.19840131174420989,0.0,1.0,0.8602941176470589,0.11029411764705882,0.8455882352941176,47,1.4210854715202004e-14,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,1,0.5,136,0.07352941176470588,0.0,0.07352941176470588,0.0,0.9264705882352942,0.11866791744840526,0.19840131174420989,0.0,1.0,0.8602941176470589,0.11029411764705882,0.8455882352941176,10,0.001953125,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,1,1.0,136,0.0,0.0,0.0,0.0,1.0,0.11866791744840526,0.19840131174420989,0.0,1.0,0.8602941176470589,0.11029411764705882,0.8455882352941176,0,,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,3,0.25,136,0.49264705882352944,0.014705882352941176,0.47794117647058826,0.007352941176470588,0.4852941176470588,0.12743506493506493,0.24885321100917432,0.018706293706293706,0.8499999999999999,0.8088235294117647,0.16911764705882354,0.8455882352941176,69,8.185726402265558e-18,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,3,0.5,136,0.13970588235294118,0.0,0.13970588235294118,0.0,0.8602941176470589,0.12743506493506493,0.24885321100917432,0.018706293706293706,0.8499999999999999,0.8088235294117647,0.16911764705882354,0.8455882352941176,19,3.814697265625e-06,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,3,1.0,136,0.0,0.0,0.0,0.0,1.0,0.12743506493506493,0.24885321100917432,0.018706293706293706,0.8499999999999999,0.8088235294117647,0.16911764705882354,0.8455882352941176,0,,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,5,0.25,136,0.5808823529411765,0.058823529411764705,0.5220588235294118,0.007352941176470588,0.35294117647058826,0.11645021645021644,0.29695373339441133,0.058604917095483135,0.6189516129032258,0.7794117647058824,0.21323529411764705,0.8455882352941176,87,8.377941473730054e-16,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,5,0.5,136,0.21323529411764705,0.007352941176470588,0.20588235294117646,0.0,0.7794117647058824,0.11645021645021644,0.29695373339441133,0.058604917095483135,0.6189516129032258,0.7794117647058824,0.21323529411764705,0.8455882352941176,30,5.774199962615967e-08,OK
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,5,1.0,136,0.007352941176470588,0.0,0.007352941176470588,0.0,0.9926470588235294,0.11645021645021644,0.29695373339441133,0.058604917095483135,0.6189516129032258,0.7794117647058824,0.21323529411764705,0.8455882352941176,1,1.0,UNDERPOWERED
ES,BEARISH_1000,close_loc_stratum,CLOSE_LOW,10,0.25,136,0.6470588235294118,0.16911764705882354,0.47794117647058826,0.007352941176470588,0.17647058823529413,0.09776785714285714,0.33493825761867,0.11701434159061277,0.511904761904762,0.7058823529411765,0.2867647058823529,0.8455882352941176,111,3.795723347076606e-10,OK
