instrument,candle_state,context_dim,context_value,horizon_min,barrier,n_observations,continuation_first_rate,reversal_first_rate,cont_minus_rev_first_rate,tie_rate,neither_rate,median_signed_close_atr,median_cont_exc_atr,median_rev_exc_atr,median_dominance,p_cont_exc_gt_rev_exc,p_rev_exc_gt_cont_exc,retouch_rate,n_nontied,binom_p,sample_status
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,1,0.25,293,0.37542662116040953,0.006825938566552901,0.36860068259385664,0.0034129692832764505,0.6143344709897611,0.13846153846153847,0.21052631578947367,0.0,1.0,0.9010238907849829,0.07849829351535836,0.8498293515358362,112,2.437842123605363e-30,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,1,0.5,293,0.06825938566552901,0.0,0.06825938566552901,0.0,0.931740614334471,0.13846153846153847,0.21052631578947367,0.0,1.0,0.9010238907849829,0.07849829351535836,0.8498293515358362,20,1.9073486328125e-06,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,1,1.0,293,0.006825938566552901,0.0,0.006825938566552901,0.0,0.9931740614334471,0.13846153846153847,0.21052631578947367,0.0,1.0,0.9010238907849829,0.07849829351535836,0.8498293515358362,2,0.5,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,3,0.25,293,0.5494880546075085,0.040955631399317405,0.5085324232081911,0.0034129692832764505,0.4061433447098976,0.125,0.2857142857142857,0.0,1.0,0.8361774744027304,0.14675767918088736,0.8498293515358362,173,1.8312802271375588e-34,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,3,0.5,293,0.16723549488054607,0.0034129692832764505,0.16382252559726962,0.0,0.8293515358361775,0.125,0.2857142857142857,0.0,1.0,0.8361774744027304,0.14675767918088736,0.8498293515358362,50,9.059419880941277e-14,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,3,1.0,293,0.010238907849829351,0.0,0.010238907849829351,0.0,0.9897610921501706,0.125,0.2857142857142857,0.0,1.0,0.8361774744027304,0.14675767918088736,0.8498293515358362,3,0.25,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,5,0.25,293,0.6416382252559727,0.08191126279863481,0.5597269624573379,0.0034129692832764505,0.27303754266211605,0.14705882352941177,0.3170731707317073,0.05263157894736842,0.7142857142857143,0.7986348122866894,0.19112627986348124,0.8498293515358362,212,9.841192267780557e-33,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,5,0.5,293,0.24573378839590443,0.020477815699658702,0.22525597269624573,0.0,0.7337883959044369,0.14705882352941177,0.3170731707317073,0.05263157894736842,0.7142857142857143,0.7986348122866894,0.19112627986348124,0.8498293515358362,78,1.8493658649069896e-15,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,5,1.0,293,0.030716723549488054,0.0,0.030716723549488054,0.0,0.9692832764505119,0.14705882352941177,0.3170731707317073,0.05263157894736842,0.7142857142857143,0.7986348122866894,0.19112627986348124,0.8498293515358362,9,0.00390625,UNDERPOWERED
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,10,0.25,293,0.6962457337883959,0.17747440273037543,0.5187713310580204,0.0034129692832764505,0.12286689419795221,0.1125,0.37142857142857144,0.11538461538461539,0.5555555555555556,0.7201365187713311,0.26621160409556316,0.8498293515358362,256,1.8510782576732105e-22,OK
ES,BEARISH_1000,pre10_stratum,PRE10_DOWN,10,0.5,293,0.3447098976109215,0.04436860068259386,0.3003412969283277,0.0,0.6109215017064846,0.1125,0.37142857142857144,0.11538461538461539,0.5555555555555556,0.7201365187713311,0.26621160409556316,0.8498293515358362,114,4.774037347032614e-18,OK
