instrument,session,direction,state,n,resolved,reversal_rate
ES,ASIA,-1,HIGH_VOLUME_DECAY,265,234,0.5213675213675214
ES,ASIA,-1,HIGH_VOLUME_PROGRESS_CONTROL,1366,1255,0.5258964143426295
ES,ASIA,1,HIGH_VOLUME_DECAY,306,248,0.5
ES,ASIA,1,HIGH_VOLUME_PROGRESS_CONTROL,1282,1183,0.5680473372781065
ES,LONDON,-1,HIGH_VOLUME_DECAY,196,180,0.5333333333333333
ES,LONDON,-1,HIGH_VOLUME_PROGRESS_CONTROL,852,774,0.5645994832041343
ES,LONDON,1,HIGH_VOLUME_DECAY,197,169,0.47928994082840237
ES,LONDON,1,HIGH_VOLUME_PROGRESS_CONTROL,767,709,0.5218617771509168
ES,NEW_YORK,-1,HIGH_VOLUME_DECAY,220,196,0.49489795918367346
ES,NEW_YORK,-1,HIGH_VOLUME_PROGRESS_CONTROL,1125,1042,0.5220729366602687
ES,NEW_YORK,1,HIGH_VOLUME_DECAY,216,195,0.441025641025641
ES,NEW_YORK,1,HIGH_VOLUME_PROGRESS_CONTROL,890,823,0.5151883353584447
NQ,ASIA,-1,HIGH_VOLUME_DECAY,244,208,0.4807692307692308
NQ,ASIA,-1,HIGH_VOLUME_PROGRESS_CONTROL,1493,1372,0.5422740524781341
NQ,ASIA,1,HIGH_VOLUME_DECAY,332,264,0.4583333333333333
NQ,ASIA,1,HIGH_VOLUME_PROGRESS_CONTROL,1467,1344,0.5386904761904762
NQ,LONDON,-1,HIGH_VOLUME_DECAY,173,154,0.44155844155844154
NQ,LONDON,-1,HIGH_VOLUME_PROGRESS_CONTROL,941,862,0.531322505800464
NQ,LONDON,1,HIGH_VOLUME_DECAY,204,167,0.5149700598802395
NQ,LONDON,1,HIGH_VOLUME_PROGRESS_CONTROL,856,781,0.5134443021766966
NQ,NEW_YORK,-1,HIGH_VOLUME_DECAY,205,177,0.4406779661016949
NQ,NEW_YORK,-1,HIGH_VOLUME_PROGRESS_CONTROL,1169,1088,0.5045955882352942
NQ,NEW_YORK,1,HIGH_VOLUME_DECAY,230,202,0.42574257425742573
NQ,NEW_YORK,1,HIGH_VOLUME_PROGRESS_CONTROL,941,872,0.5
