instrument,session,direction,year,state,n,resolved,reversal_rate,median_progress_ratio
ES,NEW_YORK,1,2022,HIGH_VOLUME_DECAY,52,47,0.3404255319148936,0.08114035087719296
ES,NEW_YORK,1,2022,LOW_VOLUME_DECAY_CONTROL,51,48,0.4166666666666667,0.0606060606060606
NQ,ASIA,-1,2018,HIGH_VOLUME_DECAY,32,24,0.375,0.04951690821256035
NQ,ASIA,-1,2018,LOW_VOLUME_DECAY_CONTROL,41,38,0.47368421052631576,0.0
NQ,ASIA,-1,2019,HIGH_VOLUME_DECAY,43,40,0.55,0.0196078431372549
NQ,ASIA,-1,2019,LOW_VOLUME_DECAY_CONTROL,48,45,0.5555555555555556,0.0
NQ,ASIA,-1,2020,HIGH_VOLUME_DECAY,59,47,0.5319148936170213,0.0285714285714285
NQ,ASIA,-1,2020,LOW_VOLUME_DECAY_CONTROL,36,34,0.47058823529411764,0.0519568151147098
NQ,ASIA,-1,2021,HIGH_VOLUME_DECAY,47,41,0.43902439024390244,0.0384615384615384
NQ,ASIA,-1,2021,LOW_VOLUME_DECAY_CONTROL,38,32,0.65625,0.0464743589743589
NQ,ASIA,-1,2022,HIGH_VOLUME_DECAY,63,56,0.4642857142857143,0.081967213114754
NQ,ASIA,-1,2022,LOW_VOLUME_DECAY_CONTROL,43,41,0.4634146341463415,0.073170731707317
NQ,ASIA,1,2018,HIGH_VOLUME_DECAY,52,41,0.43902439024390244,0.06573275862068964
NQ,ASIA,1,2018,LOW_VOLUME_DECAY_CONTROL,57,50,0.5,0.0
NQ,ASIA,1,2019,HIGH_VOLUME_DECAY,53,36,0.5277777777777778,0.05
NQ,ASIA,1,2019,LOW_VOLUME_DECAY_CONTROL,58,50,0.44,0.06547619047619045
NQ,ASIA,1,2020,HIGH_VOLUME_DECAY,61,43,0.46511627906976744,0.0588235294117647
NQ,ASIA,1,2020,LOW_VOLUME_DECAY_CONTROL,65,57,0.38596491228070173,0.0338983050847457
NQ,ASIA,1,2021,HIGH_VOLUME_DECAY,83,76,0.4342105263157895,0.0677966101694915
NQ,ASIA,1,2021,LOW_VOLUME_DECAY_CONTROL,43,37,0.4594594594594595,0.0555555555555555
NQ,ASIA,1,2022,HIGH_VOLUME_DECAY,83,68,0.45588235294117646,0.0806451612903225
NQ,ASIA,1,2022,LOW_VOLUME_DECAY_CONTROL,56,56,0.5714285714285714,0.05381274131274125
