instrument,confirmation,state,outcome_15,n
ES,CONFIRMED,HIGH_VOLUME_DECAY,CONTINUATION_FIRST,220
ES,CONFIRMED,HIGH_VOLUME_DECAY,INCOMPLETE_HORIZON,14
ES,CONFIRMED,HIGH_VOLUME_DECAY,NEITHER_WITHIN_HORIZON,67
ES,CONFIRMED,HIGH_VOLUME_DECAY,REVERSAL_FIRST,180
ES,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,CONTINUATION_FIRST,1132
ES,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,INCOMPLETE_HORIZON,94
ES,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,NEITHER_WITHIN_HORIZON,60
ES,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,REVERSAL_FIRST,1336
ES,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,SAME_BAR_AMBIGUOUS,69
ES,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,CONTINUATION_FIRST,102
ES,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,INCOMPLETE_HORIZON,11
ES,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,NEITHER_WITHIN_HORIZON,12
ES,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,REVERSAL_FIRST,139
ES,NO_MATCH,HIGH_VOLUME_DECAY,CONTINUATION_FIRST,396
ES,NO_MATCH,HIGH_VOLUME_DECAY,INCOMPLETE_HORIZON,27
ES,NO_MATCH,HIGH_VOLUME_DECAY,NEITHER_WITHIN_HORIZON,69
ES,NO_MATCH,HIGH_VOLUME_DECAY,REVERSAL_FIRST,426
ES,NO_MATCH,HIGH_VOLUME_DECAY,SAME_BAR_AMBIGUOUS,1
ES,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,CONTINUATION_FIRST,1547
ES,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,INCOMPLETE_HORIZON,112
ES,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,NEITHER_WITHIN_HORIZON,20
ES,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,REVERSAL_FIRST,1771
ES,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,SAME_BAR_AMBIGUOUS,141
ES,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,CONTINUATION_FIRST,486
ES,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,INCOMPLETE_HORIZON,46
ES,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,NEITHER_WITHIN_HORIZON,41
ES,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,REVERSAL_FIRST,487
ES,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,SAME_BAR_AMBIGUOUS,3
NQ,CONFIRMED,HIGH_VOLUME_DECAY,CONTINUATION_FIRST,202
NQ,CONFIRMED,HIGH_VOLUME_DECAY,INCOMPLETE_HORIZON,12
NQ,CONFIRMED,HIGH_VOLUME_DECAY,NEITHER_WITHIN_HORIZON,79
NQ,CONFIRMED,HIGH_VOLUME_DECAY,REVERSAL_FIRST,155
NQ,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,CONTINUATION_FIRST,1186
NQ,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,INCOMPLETE_HORIZON,95
NQ,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,NEITHER_WITHIN_HORIZON,73
NQ,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,REVERSAL_FIRST,1325
NQ,CONFIRMED,HIGH_VOLUME_PROGRESS_CONTROL,SAME_BAR_AMBIGUOUS,55
NQ,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,CONTINUATION_FIRST,103
NQ,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,INCOMPLETE_HORIZON,15
NQ,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,NEITHER_WITHIN_HORIZON,11
NQ,CONFIRMED,LOW_VOLUME_DECAY_CONTROL,REVERSAL_FIRST,125
NQ,NO_MATCH,HIGH_VOLUME_DECAY,CONTINUATION_FIRST,431
NQ,NO_MATCH,HIGH_VOLUME_DECAY,INCOMPLETE_HORIZON,30
NQ,NO_MATCH,HIGH_VOLUME_DECAY,NEITHER_WITHIN_HORIZON,93
NQ,NO_MATCH,HIGH_VOLUME_DECAY,REVERSAL_FIRST,384
NQ,NO_MATCH,HIGH_VOLUME_DECAY,SAME_BAR_AMBIGUOUS,2
NQ,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,CONTINUATION_FIRST,1821
NQ,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,INCOMPLETE_HORIZON,160
NQ,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,NEITHER_WITHIN_HORIZON,49
NQ,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,REVERSAL_FIRST,1987
NQ,NO_MATCH,HIGH_VOLUME_PROGRESS_CONTROL,SAME_BAR_AMBIGUOUS,116
NQ,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,CONTINUATION_FIRST,443
NQ,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,INCOMPLETE_HORIZON,38
NQ,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,NEITHER_WITHIN_HORIZON,36
NQ,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,REVERSAL_FIRST,415
NQ,NO_MATCH,LOW_VOLUME_DECAY_CONTROL,SAME_BAR_AMBIGUOUS,6
