instrument,family_a,family_b,n_pairs,n_clustered,clustered_rate
ES,family1,family1,111839,3031,0.02710145834637291
ES,family1,family2,86030,1108,0.012879228176217599
ES,family1,family3,49896,258,0.00517075517075517
ES,family1,family4,34412,246,0.007148669068929444
ES,family2,family2,12910,10,0.000774593338497289
ES,family2,family3,18675,82,0.004390896921017403
ES,family2,family4,12910,128,0.009914794732765297
ES,family3,family3,3735,15,0.004016064257028112
ES,family3,family4,7470,39,0.005220883534136547
ES,family4,family4,1291,1,0.000774593338497289
NQ,family1,family1,111657,2834,0.025381301664920246
NQ,family1,family2,85890,1486,0.017301199208289673
NQ,family1,family3,49812,298,0.0059824941781096925
NQ,family1,family4,34356,362,0.010536733030620561
NQ,family2,family2,12890,10,0.0007757951900698216
NQ,family2,family3,18645,103,0.005524269241083401
NQ,family2,family4,12890,192,0.014895267649340575
NQ,family3,family3,3729,24,0.006436041834271922
NQ,family3,family4,7458,31,0.004156610351300617
NQ,family4,family4,1289,1,0.0007757951900698216
