instrument,family,level_id,n_valid,n_total
ES,family1,mad_D_1.0,1229,1291
ES,family1,mad_D_1.5,1229,1291
ES,family1,mad_D_2.0,1229,1291
ES,family1,mad_U_1.0,1229,1291
ES,family1,mad_U_1.5,1229,1291
ES,family1,mad_U_2.0,1229,1291
ES,family1,mult_D_0.5,1229,1291
ES,family1,mult_D_1.0,1229,1291
ES,family1,mult_D_1.5,1229,1291
ES,family1,mult_D_2.0,1229,1291
ES,family1,mult_U_0.5,1229,1291
ES,family1,mult_U_1.0,1229,1291
ES,family1,mult_U_1.5,1229,1291
ES,family1,mult_U_2.0,1229,1291
ES,family2,vwap_on_j+0,1291,1291
ES,family2,vwap_on_j+1,1291,1291
ES,family2,vwap_on_j+2,1291,1291
ES,family2,vwap_on_j-1,1291,1291
ES,family2,vwap_on_j-2,1291,1291
ES,family3,prior_close,1245,1291
ES,family3,prior_high,1245,1291
ES,family3,prior_low,1245,1291
ES,family4,overnight_high,1291,1291
ES,family4,overnight_low,1291,1291
NQ,family1,mad_D_1.0,1227,1289
NQ,family1,mad_D_1.5,1227,1289
NQ,family1,mad_D_2.0,1227,1289
NQ,family1,mad_U_1.0,1227,1289
NQ,family1,mad_U_1.5,1227,1289
NQ,family1,mad_U_2.0,1227,1289
NQ,family1,mult_D_0.5,1227,1289
NQ,family1,mult_D_1.0,1227,1289
NQ,family1,mult_D_1.5,1227,1289
NQ,family1,mult_D_2.0,1227,1289
NQ,family1,mult_U_0.5,1227,1289
NQ,family1,mult_U_1.0,1227,1289
NQ,family1,mult_U_1.5,1227,1289
NQ,family1,mult_U_2.0,1227,1289
NQ,family2,vwap_on_j+0,1289,1289
NQ,family2,vwap_on_j+1,1289,1289
NQ,family2,vwap_on_j+2,1289,1289
NQ,family2,vwap_on_j-1,1289,1289
NQ,family2,vwap_on_j-2,1289,1289
NQ,family3,prior_close,1243,1289
NQ,family3,prior_high,1243,1289
NQ,family3,prior_low,1243,1289
NQ,family4,overnight_high,1289,1289
NQ,family4,overnight_low,1289,1289
