instrument,year,n_sessions,n_all_families_valid,n_family1_valid,n_family2_valid,n_family3_valid,n_family4_valid
ES,2018,257,189,196,257,246,257
ES,2019,258,249,258,258,249,258
ES,2020,259,249,259,259,249,259
ES,2021,259,251,258,259,251,259
ES,2022,258,250,258,258,250,258
NQ,2018,257,189,196,257,246,257
NQ,2019,257,248,257,257,248,257
NQ,2020,258,248,258,258,248,258
NQ,2021,259,251,258,259,251,259
NQ,2022,258,250,258,258,250,258
