instrument,session_date,reason
ES,2020-03-09,incomplete_0930_0959_window
ES,2020-03-12,incomplete_0930_0959_window
ES,2020-03-16,incomplete_0930_0959_window
ES,2020-06-30,incomplete_0930_1029_window_secondary_only
