instrument,session_date,reason
ES,2018-01-03,no_predecessor_session
ES,2018-01-16,predecessor_early_close
ES,2018-02-20,predecessor_early_close
ES,2018-05-29,predecessor_early_close
ES,2018-07-04,predecessor_early_close
ES,2018-07-05,predecessor_early_close
ES,2018-09-04,predecessor_early_close
ES,2018-11-23,predecessor_early_close
ES,2018-11-26,predecessor_early_close
ES,2018-12-06,predecessor_early_close
ES,2018-12-26,predecessor_early_close
ES,2019-01-22,predecessor_early_close
ES,2019-02-19,predecessor_early_close
ES,2019-05-28,predecessor_early_close
ES,2019-07-04,predecessor_early_close
ES,2019-07-05,predecessor_early_close
ES,2019-09-03,predecessor_early_close
ES,2019-11-29,predecessor_early_close
ES,2019-12-02,predecessor_early_close
ES,2019-12-26,predecessor_early_close
ES,2020-01-21,predecessor_early_close
ES,2020-02-18,predecessor_early_close
ES,2020-03-02,predecessor_early_close
ES,2020-05-26,predecessor_early_close
ES,2020-07-01,predecessor_early_close
ES,2020-07-06,predecessor_early_close
ES,2020-09-08,predecessor_early_close
ES,2020-11-27,predecessor_early_close
ES,2020-11-30,predecessor_early_close
ES,2020-12-28,predecessor_early_close
ES,2021-01-19,predecessor_early_close
ES,2021-02-16,predecessor_early_close
ES,2021-04-05,predecessor_early_close
ES,2021-06-01,predecessor_early_close
ES,2021-07-06,predecessor_early_close
ES,2021-09-07,predecessor_early_close
ES,2021-11-26,predecessor_early_close
ES,2021-11-29,predecessor_early_close
ES,2022-01-18,predecessor_early_close
ES,2022-02-22,predecessor_early_close
ES,2022-05-31,predecessor_early_close
ES,2022-06-21,predecessor_early_close
ES,2022-07-05,predecessor_early_close
ES,2022-09-06,predecessor_early_close
ES,2022-11-25,predecessor_early_close
ES,2022-11-28,predecessor_early_close
