instrument,anchor,dev_bin,n,adequate,break_extreme_rate,full_failure_rate,post50_break_rate,fret_30_ticks,med_M_ticks
ES,globex,1.5-2.0,19004,True,0.9788991791201852,0.8728459809483036,0.950497818547936,-0.9039675857714166,7.0
ES,globex,2.0-2.5,10578,True,0.9782567593117791,0.850143815915628,0.9446141315414376,-0.5146530535072793,8.0
ES,globex,2.5-3.0,3764,True,0.9808714133900106,0.8253883235136583,0.9283216783216783,1.035334750265675,9.0
ES,globex,3.0-4.0,983,True,0.9735503560528993,0.7859327217125383,0.9093997734994338,-1.3489318413021363,10.0
ES,globex,4.0+,25,False,0.96,0.64,0.8,-11.28,23.0
ES,rth,1.5-2.0,6509,True,0.9863266246735289,0.8439661798616449,0.9632157123834887,1.1703794745736673,10.0
ES,rth,2.0-2.5,4289,True,0.9895080438330613,0.8313112459169388,0.9641495041952708,1.1802284914898578,11.0
ES,rth,2.5-3.0,1727,True,0.984944991314418,0.8235635519442832,0.9446564885496184,0.2576722640416908,12.0
ES,rth,3.0-4.0,564,True,0.9893617021276596,0.8173758865248227,0.9315068493150684,-4.1436170212765955,13.0
ES,rth,4.0+,26,False,1.0,0.7307692307692307,0.96,0.19230769230769232,17.0
NQ,globex,1.5-2.0,18732,True,0.9863335468716634,0.8601857783472133,0.9570879467615169,-1.1583386717915867,25.0
NQ,globex,2.0-2.5,11190,True,0.9859696157283289,0.839946380697051,0.9470198675496688,1.2775692582663092,27.0
NQ,globex,2.5-3.0,4412,True,0.9886672710788758,0.8125566636446057,0.9368289637952559,2.2558930190389845,31.0
NQ,globex,3.0-4.0,1388,True,0.9913544668587896,0.7579250720461095,0.9228876127973749,6.543948126801153,39.0
NQ,globex,4.0+,56,False,0.9821428571428571,0.6428571428571429,0.8666666666666667,-69.67857142857143,59.0
NQ,rth,1.5-2.0,5654,True,0.988503714184648,0.8190661478599222,0.9581141632573543,6.1726211531659,38.0
NQ,rth,2.0-2.5,3792,True,0.9912974683544303,0.8127637130801688,0.9576765907764156,3.151898734177215,42.0
NQ,rth,2.5-3.0,1572,True,0.9910941475826972,0.8002544529262087,0.9384395132426628,3.739821882951654,44.5
NQ,rth,3.0-4.0,572,True,0.993006993006993,0.736013986013986,0.9367588932806324,-14.77972027972028,48.0
NQ,rth,4.0+,37,False,1.0,0.6486486486486487,0.9375,33.78378378378378,25.0
