instrument,k,z_thr,n_events,n_decided,cont_rate,p_none,p_ambig,fret_1_ticks,fret_5_ticks,fret_15_ticks,fret_30_ticks,fret_60_ticks,mae_ticks,mfe_ticks,med_t_mfe,med_t_mae,med_fp_bars,cont_rate_ci_lo,cont_rate_ci_hi,fret_30_ci_lo,fret_30_ci_hi
ES,1,3.0,101297,100868,0.4828885275806004,0.004165967402785868,0.013712153370780971,0.01666386961114347,-0.18448475492087996,-0.20698897945355627,-0.13204143741056493,0.011375590437490975,40.42185849531575,40.63026545702242,25.0,26.0,2.0,0.47952804152317596,0.4858961442630881,-0.3874044207138364,0.12922093045644517
ES,1,4.0,63137,62864,0.478413718503436,0.004213060487511285,0.016487954765034767,0.011087001282924435,-0.21501841971544716,-0.239413185723199,-0.13113348006214395,-0.19057861905786191,43.649365665140884,43.78150688186008,24.0,26.0,2.0,,,,
ES,3,3.0,108372,107841,0.47626598418041377,0.004835197283431144,0.012115675635773078,-0.04403351419185768,-0.19969634971625363,-0.19582201562543755,-0.16377687599912974,-0.06874535862740748,39.375226073155424,39.72228066290186,24.0,26.0,2.0,,,,
ES,3,4.0,62676,62358,0.47552840052599504,0.0049620269321590405,0.014678664879698768,-0.10876571574446359,-0.2483948956882335,-0.14137513129191243,-0.11751677522025167,0.0781599973255775,44.01139192035229,44.6252632586636,24.0,26.0,2.0,,,,
NQ,1,3.0,103439,102905,0.4879549098683252,0.005094790166184901,0.012741809182223339,0.30210075503436806,-0.3042997721653982,-0.2747101265080265,0.32956133136475785,-0.08530002638040544,133.3519562254082,135.16114811628108,25.0,26.0,2.0,0.48463411941992673,0.49103100499071356,-0.5331228292437535,1.1317044807319245
NQ,1,4.0,56986,56686,0.4827470627668207,0.005141613729687994,0.016196960657003476,0.2394798722493244,-0.6229519736726326,-0.49157263501525794,0.10120377712102645,-0.5209995567375887,146.53755308321342,148.40423963780577,24.0,26.0,2.0,,,,
NQ,3,3.0,103397,102851,0.47981059979971025,0.005222588663114017,0.012128011451009217,-0.06402506842558295,-0.4650774870531645,-0.14545970155091822,0.3347645443096969,0.12977075997280374,135.9023956207627,138.92841184947338,25.0,27.0,2.0,,,,
NQ,3,4.0,56161,55861,0.4765041800182596,0.005234949520129627,0.015224087890172896,-0.261498192695999,-0.583449408907461,-0.3632873749662071,1.167985492911309,0.3162505393085595,150.4930111643311,154.8164206477805,24.0,27.0,2.0,,,,
