n,n_M>=2t,med_M_ticks,break_extreme_rate,full_failure_rate,med_t_break,fret_30_ticks,p_retr_10_20,p_retr_20_30,p_retr_30_40,p_retr_40_50,p_retr_50_100,p_retr_ge100,p_reach_10,p_reach_20,p_reach_30,p_reach_40,p_reach_50,p_reach_100,post50_break_rate,post50_mfe_ticks,post50_mae_ticks,med_t_from50_to_break,instrument,band,z_lo,z_hi
101929,101929,5.0,0.9804569847639043,0.8818098872744754,1.0,-0.0683711210744734,0.006376987903344485,0.020710494559938782,0.005523452599358377,0.010997851445614104,0.060964004355973274,0.8818098872744754,0.9863826781387044,0.9800056902353599,0.9592951956754211,0.9537717430760627,0.9427738916304487,0.8818098872744754,0.9599775224775224,43.642362845487845,42.953353937728934,0.0,ES,p90_95,2.2483025315886507,3.3724537973829762
40238,40238,8.0,0.9833242208857299,0.8610020378746459,1.0,-0.1801779412495651,0.015060390675480888,0.012525473433073215,0.014861573636860678,0.009344400815149858,0.07294100104378945,0.8610020378746459,0.9857348774789999,0.9706744868035191,0.9581490133704459,0.9432874397335852,0.9339430389184353,0.8610020378746459,0.9545769026077701,56.0138238424694,55.05182277807344,0.0,ES,p95_98,3.4174198480147493,5.395926075812762
11737,11737,11.0,0.9867938996336372,0.8458720286274176,1.0,0.4242992246741075,0.015932521087160263,0.015080514611911051,0.014143307489136918,0.01704012950498424,0.07736218795262843,0.8458720286274176,0.9854306892732385,0.9694981681860783,0.9544176535741672,0.9402743460850302,0.923234216580046,0.8458720286274176,0.9504429678848284,70.86627906976744,69.30370985603544,0.0,ES,p98_99,5.492281898595133,7.515754177024918
17101,12766,13.0,0.9736272732588738,0.8396522011593295,1.0,-0.43576399040991753,0.011358295472348425,0.013081623061256462,0.015274949083503055,0.01574494751684161,0.08843803853987153,0.8396522011593295,0.9835500548331506,0.9721917593608022,0.9591101362995457,0.9438351872160426,0.928090239699201,0.8396522011593295,0.9443787981093855,85.329380486158,82.49928257933828,0.0,ES,p99_100,7.531813480821979,inf
84963,84963,19.0,0.988759813095112,0.8781587279168579,1.0,0.3662888551487118,0.011146028271129786,0.012122924096371362,0.011287266221767123,0.012064074950272471,0.06107364382142815,0.8781587279168579,0.9858526652778268,0.974706637006697,0.9625837129103256,0.9512964466885585,0.9392323717382861,0.8781587279168579,0.9686591478696742,149.67498120300752,148.26970551378446,0.0,NQ,p90_95,2.3607176581680833,3.327487746751203
50891,50891,24.0,0.9884065944862549,0.8627655184610246,1.0,0.4563871804444794,0.011927452791259752,0.014010335815763102,0.013715588217956024,0.013204692381757088,0.06877443948831817,0.8627655184610246,0.9843980271560787,0.9724705743648189,0.9584602385490558,0.9447446503310998,0.9315399579493427,0.8627655184610246,0.9618832661843187,168.1742886071677,165.4729786740355,0.0,NQ,p95_98,3.330298124915689,4.946265569495031
17131,17131,34.0,0.988150137178215,0.8440838246453797,1.0,-0.39921779230634524,0.013017336991419064,0.01564415387309556,0.016694880625766156,0.01500204307979686,0.08008872803689218,0.8440838246453797,0.9845309672523496,0.9715136302609305,0.9558694763878349,0.9391745957620687,0.9241725526822719,0.8440838246453797,0.9554699343102577,199.619315310763,200.1355482566953,0.0,NQ,p98_99,4.946265569495032,6.744907594765952
16828,16828,48.0,0.9894818160209176,0.8159614927501783,1.0,1.0650106964582837,0.015806988352745424,0.01747088186356073,0.018956501069645828,0.019253624910862847,0.09383170905633469,0.8159614927501783,0.9812811980033278,0.9654742096505824,0.9480033277870217,0.9290468267173758,0.9097932018065129,0.8159614927501783,0.9453951665578053,248.04402351404312,242.01338994121488,0.0,NQ,p99_100,6.7449075947659525,inf
