instrument,axis,outcome,spearman,ci_lo,ci_hi,n
ES,zmod1_abs,break_extreme,0.005686370103273616,0.0003384394577145331,0.01143864830366575,166670
ES,zmod1_abs,full_failure,-0.04021669239764251,-0.04786362248498673,-0.03389890914093527,166670
NQ,zmod1_abs,break_extreme,0.0028832599001822634,-0.002111872531777393,0.008156664049796935,169813
NQ,zmod1_abs,full_failure,-0.05381066982692284,-0.061488214475365385,-0.04637691226740903,169813
