instrument,k,z_thr,increment,feature,topbot_diff,ci_lo,ci_hi
ES,1,3.0,persistence,P15_d,-0.009985674634957215,-0.023108322153101265,0.002229218943891752
ES,1,3.0,path_efficiency,E15_d,-0.024717510388313137,-0.0350872905983687,-0.013482419176421814
ES,1,3.0,candle_efficiency,body_eff,-0.0038963135734424955,-0.015902377030912015,0.00493057893303428
ES,1,3.0,volume,z_vol,-0.031698898454557575,-0.039770286060411816,-0.022438149388447723
ES,1,3.0,vwap_distance,dev_g_d,-0.02019909886665929,-0.03267363998908891,-0.007714349420244858
ES,1,4.0,persistence,P15_d,-0.01978109411675386,,
ES,1,4.0,path_efficiency,E15_d,-0.033534166268874226,,
ES,1,4.0,candle_efficiency,body_eff,-0.009271424051417712,,
ES,1,4.0,volume,z_vol,-0.040881274304497076,,
ES,1,4.0,vwap_distance,dev_g_d,-0.03495473872583976,,
ES,3,3.0,persistence,P15_d,-0.0012757525230643642,,
ES,3,3.0,path_efficiency,E15_d,-0.009758533084570175,,
ES,3,3.0,candle_efficiency,body_eff,-0.023981688798917912,,
ES,3,3.0,volume,z_vol,-0.01768868592818029,,
ES,3,3.0,vwap_distance,dev_g_d,-0.009829142002126577,,
ES,3,4.0,persistence,P15_d,-0.00576217944897004,,
ES,3,4.0,path_efficiency,E15_d,-0.01429118545808398,,
ES,3,4.0,candle_efficiency,body_eff,-0.030893973898662393,,
ES,3,4.0,volume,z_vol,-0.0244953934339506,,
ES,3,4.0,vwap_distance,dev_g_d,-0.02008582944952919,,
NQ,1,3.0,persistence,P15_d,-0.014630497975177202,-0.026469081422382013,-0.0034393854670674733
NQ,1,3.0,path_efficiency,E15_d,-0.022330997881581577,-0.031539580424751454,-0.013806276863147664
NQ,1,3.0,candle_efficiency,body_eff,-0.0001861498102895045,-0.008451224930479537,0.008395402916222733
NQ,1,3.0,volume,z_vol,-0.028543998866374452,-0.037724209403265895,-0.021282564082846057
NQ,1,3.0,vwap_distance,dev_g_d,-0.01605792146852716,-0.028612760776055565,-0.004719408397179826
NQ,1,4.0,persistence,P15_d,-0.01314280676711831,,
NQ,1,4.0,path_efficiency,E15_d,-0.025742939682047664,,
NQ,1,4.0,candle_efficiency,body_eff,-0.0024045220603669164,,
NQ,1,4.0,volume,z_vol,-0.04305130894210402,,
NQ,1,4.0,vwap_distance,dev_g_d,-0.03033550346947764,,
NQ,3,3.0,persistence,P15_d,-0.013744959624124805,,
NQ,3,3.0,path_efficiency,E15_d,-0.010146210306535433,,
NQ,3,3.0,candle_efficiency,body_eff,-0.01851872827104581,,
NQ,3,3.0,volume,z_vol,-0.016798154428318626,,
NQ,3,3.0,vwap_distance,dev_g_d,-0.007171552879917329,,
NQ,3,4.0,persistence,P15_d,-0.011978133058191474,,
NQ,3,4.0,path_efficiency,E15_d,-0.01225862324863978,,
NQ,3,4.0,candle_efficiency,body_eff,-0.022315687411299356,,
NQ,3,4.0,volume,z_vol,-0.027524766808169926,,
NQ,3,4.0,vwap_distance,dev_g_d,-0.011951191763516437,,
