instrument,n_events,n_placebo,event_cont_rate,placebo_cont_rate,event_fret_30_ticks,placebo_fret_30_ticks,placebo_ci_lo,placebo_ci_hi
ES,100868,82327,0.4828885275806004,0.4934711577003899,-0.13204143741056493,-0.015424132930216553,0.4901648785571364,0.49685360933162936
NQ,102905,94942,0.4879549098683252,0.4969771018095258,0.32956133136475785,0.415333824802077,0.4937169245393218,0.5000819939908296
