instrument,k,z_thr,feature,quintile,n,feat_lo,feat_hi,cont_rate,fret_15_ticks,fret_30_ticks,fret_60_ticks
ES,1,3.0,D5_atr_d,0,20176,-30.0,-1.255813953488372,0.490434179222839,-0.14284288281094032,-0.13688499849079383,-0.14571369975389664
ES,1,3.0,D5_atr_d,1,20172,-1.255656108597285,-0.3409090909090909,0.4955383700178465,0.03021525245967138,0.09475969305331179,0.3384885946309419
ES,1,3.0,D5_atr_d,2,20191,-0.340522133938706,0.4166666666666667,0.48338368580060426,-0.2361520403576245,0.07807124063954665,0.4837788736049831
ES,1,3.0,D5_atr_d,3,20219,0.41739130434782606,1.3333333333333333,0.4820218606261437,-0.25371422873666366,-0.6658429572847849,-0.9932920536635707
ES,1,3.0,D5_atr_d,4,20110,1.3345195729537367,30.0,0.46300348085529586,-0.42023541197094916,-0.0012617341273846775,0.4096979658927471
ES,1,3.0,D15_atr_d,0,20177,-30.0,-2.1524663677130045,0.4874361897209694,-0.8871144824832817,-0.7455937153791923,-0.21762191667954064
ES,1,3.0,D15_atr_d,1,20173,-2.1522693997071745,-0.5555555555555556,0.4904575422594557,-0.048568430520161895,0.37256288513991315,0.47862453531598514
ES,1,3.0,D15_atr_d,2,20173,-0.5555555555555555,0.8064516129032258,0.4921429633668765,0.2338298510446866,-0.1398099474322685,-0.08240707232590601
ES,1,3.0,D15_atr_d,3,20173,0.8068459657701712,2.3863636363636367,0.4838645714568978,-0.06837137292114069,-0.455533097524002,-0.6921489734860209
ES,1,3.0,D15_atr_d,4,20172,2.386980108499096,30.0,0.4605393614911759,-0.2509613943964441,0.3364043699340482,0.602860965318514
ES,1,3.0,D60_atr_d,0,19683,-110.39999999999999,-4.588235294117647,0.4899151552100798,-0.6204113110539846,-0.17593027503783729,1.4121325494388028
ES,1,3.0,D60_atr_d,1,19665,-4.587378640776699,-1.2580645161290323,0.4843122298499873,-0.34876590525831674,-0.3541034216619501,-0.10910237544671011
ES,1,3.0,D60_atr_d,2,19675,-1.2578616352201257,1.694915254237288,0.48452350698856417,0.27268091182620224,0.47553273427471116,0.7844700944386149
ES,1,3.0,D60_atr_d,3,19673,1.6953316953316953,4.9411764705882355,0.4855893864687643,0.305585364607287,0.3360469909315746,0.9238421052631579
ES,1,3.0,D60_atr_d,4,19674,4.941690962099125,32.19679633867277,0.47214597946528414,-0.676525144270404,-0.9835739694496757,-3.1444194274686392
ES,1,3.0,P5_d,0,47587,0.0,0.4,0.48796940340849393,-0.1299938602248428,-0.26354168894211233,-0.32786921124047974
ES,1,3.0,P5_d,1,33757,0.6,0.6,0.4836626477471339,-0.2676977278834383,-0.01788730694980695,0.23959231432442418
ES,1,3.0,P5_d,2,14674,0.8,1.0,0.4670846394984326,-0.3654480483782298,0.1114353202723357,0.9926031294452347
ES,1,3.0,P15_d,0,26562,0.0,0.4,0.4841126421203223,-0.5655457719751025,-0.801280331199448,-0.9797658337262297
ES,1,3.0,P15_d,1,22080,0.4666666666666667,0.4666666666666667,0.4837409420289855,-0.34287276704338315,-0.3539835228057256,-0.23486376213478405
ES,1,3.0,P15_d,2,22351,0.5333333333333333,0.5333333333333333,0.48534741174891505,0.3806474885021192,0.3801001821493625,0.8708120649651973
ES,1,3.0,P15_d,3,15493,0.6,0.6,0.48170141354159945,0.059784022898776996,0.13138350312191915,-0.04820816244200901
ES,1,3.0,P15_d,4,11505,0.6666666666666666,0.9333333333333333,0.4733594089526293,-0.7199299167761717,0.3572378335253967,1.228073377749384
ES,1,3.0,P60_d,0,19877,0.016666666666666666,0.43333333333333335,0.4718518891180762,-1.0476287091047425,-1.185122613013874,-0.44627147046501886
ES,1,3.0,P60_d,1,20052,0.44999999999999996,0.4833333333333333,0.4870337123478955,0.12735588279640148,-0.24145820622330688,0.10558265020234513
ES,1,3.0,P60_d,2,19315,0.48333333333333334,0.5166666666666666,0.4884804556044525,-0.46238522537562604,-0.09038684515652999,0.31665859824646336
ES,1,3.0,P60_d,3,19603,0.5166666666666667,0.55,0.48941488547671275,0.15413881748071978,0.7402921453449083,0.47969124301304233
ES,1,3.0,P60_d,4,18218,0.5666666666666667,0.9833333333333333,0.4806784498847294,0.12388646046588835,-0.01700033553293815,-0.6461132162131129
