inst,band,n,med_M_ticks,cont_first_rate,ci_lo,ci_hi
ES,p90_95,67759,5.0,0.7294,0.725,0.7336
ES,p95_98,21941,7.0,0.7878,0.7813,0.7935
ES,p98_99,11452,10.0,0.8278,0.8195,0.8364
ES,p99_100,10447,15.0,0.8038,0.7871,0.8168
NQ,p90_95,54026,19.0,0.8261,0.8223,0.8308
NQ,p95_98,33503,24.0,0.8414,0.8359,0.847
NQ,p98_99,11441,34.0,0.8662,0.8587,0.8732
NQ,p99_100,11442,48.0,0.8825,0.875,0.8897
