instrument,k,z_thr,feature,n,spearman_cont,spearman_fret30,ci_lo,ci_hi
ES,1,3.0,D5_atr_d,100868,-0.01976241169625641,-0.005772392131531992,-0.026520634588203033,-0.012228834176227357
ES,1,3.0,D15_atr_d,100868,-0.018341862265775038,-0.004758711940538931,-0.025770057345121,-0.011695039002628643
ES,1,3.0,D60_atr_d,98370,-0.010583029125181914,-0.011990832526101336,-0.01741660985541636,-0.00297236681165392
ES,1,3.0,P5_d,96018,-0.013692087911697053,0.000169337532234775,-0.02047581002716403,-0.007573129739110582
ES,1,3.0,P15_d,97991,-0.004690475602895415,0.004662070008510898,-0.012193819735186857,0.002288136835259586
ES,1,3.0,P60_d,97065,0.005750276093570363,0.009796302478478838,-0.00041605768846989373,0.012589293623656454
ES,1,3.0,E5_d,96018,-0.019242921765862595,-0.006550082215316965,-0.026327283681771448,-0.011556461634262894
ES,1,3.0,E15_d,97991,-0.01807626200986581,-0.003958548117217985,-0.02545869430217771,-0.011388748809035537
ES,1,3.0,E60_d,97065,-0.009787970769607867,-0.010823024841924883,-0.016462827456102728,-0.002831662530989327
ES,1,3.0,run_d,100868,-0.018437509584039766,-0.0020639399037708263,-0.02506639621689214,-0.012083165255743674
ES,1,3.0,z_vol,100868,-0.020479224865833038,-0.008766702802857023,-0.025836978900589246,-0.014393947759823575
ES,1,3.0,vol_ratio,100868,-0.021273574849316936,-0.009497117108541687,-0.027010044142029187,-0.015019981391418967
ES,1,3.0,body_eff,100345,-0.0055672924064929545,-0.0002698162710881992,-0.011873215713735273,0.000771135713604594
ES,1,3.0,closeloc_dir,100345,-0.007623678818520328,-0.0018878592037953818,-0.013569287154256158,-0.001395851688266203
ES,1,3.0,dev_g_d,100868,-0.01374949901126867,-0.0036485934735798896,-0.021131266688940182,-0.0068231093928089155
ES,1,3.0,dev_r_d,31897,0.011118388990580173,0.021210131496545923,-0.0009847961452433616,0.02203372491499002
