instrument,k,z_thr,feature,n,spearman_cont,spearman_fret30,ci_lo,ci_hi
ES,1,3.0,slope_d,100868,-0.010047873579215105,-0.009027365499025929,-0.01708733530445917,-0.0034850810992126963
ES,1,4.0,D5_atr_d,62864,-0.027499228658256523,-0.005709304194729388,,
ES,1,4.0,D15_atr_d,62864,-0.023605945433695253,-0.0032876728407989332,,
ES,1,4.0,D60_atr_d,61065,-0.01631140332335518,-0.015467028488008936,,
ES,1,4.0,P5_d,59684,-0.01908860421716831,0.001617967818009976,,
ES,1,4.0,P15_d,60952,-0.009442362658703542,0.007039668766672951,,
ES,1,4.0,P60_d,60197,0.004004276132520038,0.011116573891077798,,
ES,1,4.0,E5_d,59684,-0.026386645269466612,-0.005615637777265101,,
ES,1,4.0,E15_d,60952,-0.023766413249679905,-0.002515628738669914,,
ES,1,4.0,E60_d,60197,-0.01565809017225648,-0.014236123991943933,,
ES,1,4.0,run_d,62864,-0.02180105364527297,-0.004035054515358065,,
ES,1,4.0,z_vol,62864,-0.023895106251855494,-0.006390556272427394,,
ES,1,4.0,vol_ratio,62864,-0.02484702667886001,-0.008366038259895915,,
ES,1,4.0,body_eff,62341,-0.008426921923144537,0.0012124195278439157,,
ES,1,4.0,closeloc_dir,62341,-0.009747086747829755,-0.0019197546851285408,,
ES,1,4.0,dev_g_d,62864,-0.021087613652497134,-0.005595403221560621,,
ES,1,4.0,dev_r_d,18697,-0.0027531773201842145,0.01296954782383944,,
ES,1,4.0,slope_d,62864,-0.015363077811550323,-0.010833284999682967,,
ES,3,3.0,D5_atr_d,107841,-0.010821494318839121,-0.0005118528940539163,,
ES,3,3.0,D15_atr_d,107841,-0.009484489863098031,-0.002765834318219919,,
ES,3,3.0,D60_atr_d,105108,-0.0020777398833321096,-0.013871489718426791,,
ES,3,3.0,P5_d,104690,-0.009239917284304781,-0.0017451217049406773,,
ES,3,3.0,P15_d,105561,-0.00044083986423503786,0.008071227219641609,,
ES,3,3.0,P60_d,103968,0.004106363128623997,0.008348606428708273,,
ES,3,3.0,E5_d,104690,-0.010011682735110055,-0.0015603716065413537,,
ES,3,3.0,E15_d,105561,-0.009952117880417354,-0.0020785147837965334,,
ES,3,3.0,E60_d,103968,-0.0013919497520329506,-0.012758650721387965,,
ES,3,3.0,run_d,107841,-0.008741944237680823,-0.004902665374893921,,
ES,3,3.0,z_vol,107841,-0.014086142022086516,-0.007897618793690298,,
ES,3,3.0,vol_ratio,107841,-0.015050489597047039,-0.009071175655459639,,
ES,3,3.0,body_eff,107840,-0.017596572972153633,-0.0024205904086400856,,
ES,3,3.0,closeloc_dir,107840,-0.016145525566161233,-0.0055287710422489665,,
ES,3,3.0,dev_g_d,107841,-0.005418182260181512,-0.001183642314569435,,
ES,3,3.0,dev_r_d,32233,0.01384793817068348,0.022000794778792684,,
ES,3,3.0,slope_d,107841,-0.0016609841859387899,-0.0068058825976729355,,
ES,3,4.0,D5_atr_d,62358,-0.015482970097726974,0.0028987651396253818,,
ES,3,4.0,D15_atr_d,62358,-0.01161658196336708,-0.0007127576432417852,,
ES,3,4.0,D60_atr_d,60674,-0.006356596638146716,-0.01611884193137365,,
ES,3,4.0,P5_d,60765,-0.0103280887796964,-0.0013806894369342306,,
ES,3,4.0,P15_d,61258,-0.00382982629116122,0.006230662297241681,,
ES,3,4.0,P60_d,60099,0.0017176645812748163,0.005920180862713469,,
ES,3,4.0,E5_d,60765,-0.01380561982730297,0.0012300227438209871,,
ES,3,4.0,E15_d,61258,-0.013336754462938657,-0.0005188549053123508,,
ES,3,4.0,E60_d,60099,-0.005724088155874396,-0.015524135959204809,,
ES,3,4.0,run_d,62358,-0.012027165836687434,-0.0004736691077986603,,
ES,3,4.0,z_vol,62358,-0.02049494710366502,-0.005016872406418783,,
ES,3,4.0,vol_ratio,62358,-0.02129572661159951,-0.007557954958944707,,
ES,3,4.0,body_eff,62357,-0.023937668525548027,-0.004610640001517457,,
ES,3,4.0,closeloc_dir,62357,-0.020436054831850733,-0.010319784984518719,,
ES,3,4.0,dev_g_d,62358,-0.012452992416329679,-0.0054567875501440434,,
ES,3,4.0,dev_r_d,18050,0.004031689239938656,0.012232628192703713,,
ES,3,4.0,slope_d,62358,-0.0065673430022246,-0.011890467673118181,,
NQ,1,3.0,D5_atr_d,102905,-0.02217318828192834,-0.0059882214884083166,-0.029063328221936725,-0.016236193063689137
NQ,1,3.0,D15_atr_d,102905,-0.019187759843314816,-0.00771249770129819,-0.026166591223487596,-0.012862942941619037
NQ,1,3.0,D60_atr_d,100071,-0.008364688819717782,-0.01966072225240053,-0.015096428117889145,-0.0011953823949235397
NQ,1,3.0,P5_d,101440,-0.016476167934764793,-0.005600038558536687,-0.023798604103948268,-0.00994247183376964
NQ,1,3.0,P15_d,102081,-0.009319926952985315,-0.0023497985255106777,-0.016143216426677237,-0.003287613065697921
NQ,1,3.0,P60_d,99693,-0.004986574098607058,-0.010444469327265544,-0.012292611209439542,0.0020430052063171453
NQ,1,3.0,E5_d,101440,-0.021217607207813807,-0.006904205693306088,-0.02784261684889008,-0.015407922473198485
NQ,1,3.0,E15_d,102081,-0.01858203068190985,-0.0066290206029372386,-0.025434187195005727,-0.012020294453813758
NQ,1,3.0,E60_d,99693,-0.00798934261473171,-0.018398807645444246,-0.014553031913958132,-0.0007924073961302751
NQ,1,3.0,run_d,102905,-0.020317117549089336,-0.00473010229684571,-0.026518550071011192,-0.014196772799595355
NQ,1,3.0,z_vol,102905,-0.02357159594208503,-0.008420127787793087,-0.0289843481932125,-0.018406317342083114
NQ,1,3.0,vol_ratio,102905,-0.02587403037195129,-0.010427324627783528,-0.03170713586986455,-0.02053500936226087
NQ,1,3.0,body_eff,102905,-0.002428131337408168,-0.0006329302428175386,-0.008701747030363043,0.0027098784871549247
NQ,1,3.0,closeloc_dir,102905,-0.0032346359043418055,-0.00045192216604374055,-0.009348639354302753,0.0027406073279172116
NQ,1,3.0,dev_g_d,102905,-0.010566440591658543,-0.008350421647300314,-0.018127429304942166,-0.0023719567780017495
NQ,1,3.0,dev_r_d,28888,0.014152176372826076,0.0032529815202606473,9.919634240426333e-05,0.027955788261175573
NQ,1,3.0,slope_d,102905,-0.006871721373851056,-0.015295851167776273,-0.01405742736555079,0.0012992024292659112
NQ,1,4.0,D5_atr_d,56686,-0.02762255566046081,-0.007018669757821766,,
NQ,1,4.0,D15_atr_d,56686,-0.020593383868009418,-0.003093562066943899,,
NQ,1,4.0,D60_atr_d,55010,-0.011820638445978464,-0.01714433825967689,,
NQ,1,4.0,P5_d,55972,-0.020375415287588527,-0.008472457948085663,,
NQ,1,4.0,P15_d,56270,-0.008714366296920873,0.0018861848725883347,,
NQ,1,4.0,P60_d,54831,-0.008185016353316261,-0.006972139907995515,,
NQ,1,4.0,E5_d,55972,-0.02599466476088784,-0.009052313349881122,,
NQ,1,4.0,E15_d,56270,-0.020165484946871363,-0.0024807478759836924,,
NQ,1,4.0,E60_d,54831,-0.011255437172554806,-0.01551935111024449,,
NQ,1,4.0,run_d,56686,-0.025355047819053487,-0.00527046599375439,,
NQ,1,4.0,z_vol,56686,-0.03228062593471286,-0.0053730664060997625,,
NQ,1,4.0,vol_ratio,56686,-0.035284703239750574,-0.007990611708384259,,
NQ,1,4.0,body_eff,56686,-0.004797592322284397,0.00021212789260615086,,
NQ,1,4.0,closeloc_dir,56686,-0.003080981173935196,-0.0007247565877879558,,
NQ,1,4.0,dev_g_d,56686,-0.017505544535642254,-0.0026161089424137575,,
NQ,1,4.0,dev_r_d,15502,0.003311185367334539,-0.0033989527345856083,,
NQ,1,4.0,slope_d,56686,-0.011191067899975725,-0.010864658494577644,,
NQ,3,3.0,D5_atr_d,102851,-0.015157866475434765,0.00019531812550541177,,
NQ,3,3.0,D15_atr_d,102851,-0.011339993399405304,0.0011778317523798393,,
NQ,3,3.0,D60_atr_d,100156,-0.001362517823462684,-0.012254231313451625,,
NQ,3,3.0,P5_d,102016,-0.008906188260516333,-0.002542147952730809,,
NQ,3,3.0,P15_d,102246,-0.005813391785025567,0.0056775404799769245,,
NQ,3,3.0,P60_d,99856,0.00124086511562991,-0.00642317843943281,,
NQ,3,3.0,E5_d,102016,-0.015183567771340174,-0.0017208303239738896,,
NQ,3,3.0,E15_d,102246,-0.010446699941035977,0.001975979023888474,,
NQ,3,3.0,E60_d,99856,0.00037586214033005186,-0.010996397850306256,,
NQ,3,3.0,run_d,102851,-0.008186693376242213,-0.00424239368026065,,
NQ,3,3.0,z_vol,102851,-0.013759961876838405,-0.005108521382627391,,
NQ,3,3.0,vol_ratio,102851,-0.015467071167142934,-0.0069061234602795915,,
NQ,3,3.0,body_eff,102851,-0.013818762472079095,-0.0011857751491637634,,
NQ,3,3.0,closeloc_dir,102851,-0.012341192506172514,-0.00255913911135747,,
NQ,3,3.0,dev_g_d,102851,-0.004530567436679413,-0.00039692178483815004,,
NQ,3,3.0,dev_r_d,29638,0.012921035718525018,0.012637878708737234,,
NQ,3,3.0,slope_d,102851,-0.0024376546877035916,-0.00870066067867042,,
NQ,3,4.0,D5_atr_d,55861,-0.015805151514443005,0.004452133729045086,,
NQ,3,4.0,D15_atr_d,55861,-0.013734470886505389,0.006305473588322993,,
NQ,3,4.0,D60_atr_d,54261,-0.005626998935457326,-0.012636710957302488,,
NQ,3,4.0,P5_d,55480,-0.010147939215094118,-0.0047626554294126185,,
NQ,3,4.0,P15_d,55608,-0.0051644967057581,0.008958297398939667,,
NQ,3,4.0,P60_d,54117,-0.001856909119392642,-0.005439074610295917,,
NQ,3,4.0,E5_d,55480,-0.01455128935001243,0.0003660529413001535,,
NQ,3,4.0,E15_d,55608,-0.013055536687016032,0.005298798026507496,,
NQ,3,4.0,E60_d,54117,-0.0039523586674968915,-0.010778929903539382,,
NQ,3,4.0,run_d,55861,-0.00546746923339569,0.000524698657853919,,
NQ,3,4.0,z_vol,55861,-0.022275086575126807,-0.0038702399825835524,,
NQ,3,4.0,vol_ratio,55861,-0.023602542794371566,-0.007695305364885183,,
NQ,3,4.0,body_eff,55861,-0.01482800942675436,-0.0026713981095541333,,
NQ,3,4.0,closeloc_dir,55861,-0.01685033374921234,-0.009591836394284967,,
NQ,3,4.0,dev_g_d,55861,-0.009361761742233332,-0.0018442847943546427,,
NQ,3,4.0,dev_r_d,15754,0.004489411266732542,0.010847192295370652,,
NQ,3,4.0,slope_d,55861,-0.003840644515174434,-0.012454902032978788,,
