instrument,rule,veto,status,n,n_postbreak,post_break_rate,baseline_break_rate
ES,m2of3,1,ACCEPT,11233,11222,0.9459098199964355,0.9808835998947399
ES,m2of3,1,REJECT,185,185,0.6918918918918919,0.9808835998947399
ES,m2of3,0,ACCEPT,11241,11230,0.9457702582368656,0.9808835998947399
ES,m2of3,0,REJECT,0,0,,0.9808835998947399
ES,m3of4,1,ACCEPT,9978,9973,0.9454527223503459,0.9808835998947399
ES,m3of4,1,REJECT,290,290,0.6758620689655173,0.9808835998947399
ES,m3of4,0,ACCEPT,9982,9977,0.9454745915605893,0.9808835998947399
ES,m3of4,0,REJECT,0,0,,0.9808835998947399
ES,m4of5,1,ACCEPT,8887,8878,0.9478486145528272,0.9808835998947399
ES,m4of5,1,REJECT,425,425,0.6776470588235294,0.9808835998947399
ES,m4of5,0,ACCEPT,8892,8883,0.9478779691545649,0.9808835998947399
ES,m4of5,0,REJECT,0,0,,0.9808835998947399
NQ,m2of3,1,ACCEPT,12916,12902,0.9432646101379631,0.9886640009893235
NQ,m2of3,1,REJECT,153,153,0.6666666666666666,0.9886640009893235
NQ,m2of3,0,ACCEPT,12918,12904,0.9432734035957843,0.9886640009893235
NQ,m2of3,0,REJECT,0,0,,0.9886640009893235
NQ,m3of4,1,ACCEPT,11578,11569,0.9424323623476533,0.9886640009893235
NQ,m3of4,1,REJECT,269,269,0.654275092936803,0.9886640009893235
NQ,m3of4,0,ACCEPT,11584,11575,0.9422894168466522,0.9886640009893235
NQ,m3of4,0,REJECT,0,0,,0.9886640009893235
NQ,m4of5,1,ACCEPT,10496,10484,0.9440099198779092,0.9886640009893235
NQ,m4of5,1,REJECT,399,399,0.6516290726817042,0.9886640009893235
NQ,m4of5,0,ACCEPT,10496,10484,0.9440099198779092,0.9886640009893235
NQ,m4of5,0,REJECT,0,0,,0.9886640009893235
