instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,median_real,median_synth,p_bh
ES,mad_D_1.0,D_h,1,1065,1054,tested,0.8424776655345095,0.06522222222217049,0.07385281677294794,0.9941481798145835
ES,mad_D_1.0,D_h,3,1065,1054,tested,0.9604966057751579,0.011599999999816646,0.05011762687418013,0.9732529211643048
ES,mad_D_1.0,D_h,5,1065,1054,tested,0.9879038000652942,0.04377333333322895,0.061958965113171866,0.9879038000652942
ES,mad_D_1.0,D_h,10,1065,1054,tested,0.8915791849910467,0.08385714285707634,0.03223766491217767,0.9873943700496292
ES,mad_D_1.0,D_h,15,1065,1054,tested,0.9482218847870655,-0.10333846153858198,-0.13357285703947736,0.9817143030583395
ES,mad_D_1.5,D_h,1,999,996,tested,0.85966491353051,0.0729555555555837,0.0589395412706033,0.9941481798145835
ES,mad_D_1.5,D_h,3,999,996,tested,0.825613812863006,0.013920000000022506,-0.00965764126299291,0.9732529211643048
ES,mad_D_1.5,D_h,5,999,996,tested,0.9851468516612157,0.054716666666536184,0.045707858666433565,0.9879038000652942
ES,mad_D_1.5,D_h,10,999,996,tested,0.8807164949397559,-0.11195000000043365,-0.08929682213794457,0.9873943700496292
ES,mad_D_1.5,D_h,15,999,996,tested,0.9093045720569515,-0.2333909090909649,-0.197760612206189,0.9817143030583395
ES,mad_D_2.0,D_h,1,953,952,tested,0.5600047004120638,0.015466666666826414,0.013185909945180659,0.9941481798145835
ES,mad_D_2.0,D_h,3,953,952,tested,0.8665319501401751,-0.16792500000019572,-0.143244115290271,0.9732529211643048
ES,mad_D_2.0,D_h,5,953,952,tested,0.633156625271537,-0.11799999999987319,0.024558473148999838,0.9879038000652942
ES,mad_D_2.0,D_h,10,953,952,tested,0.4505850526352255,-0.26582857142862587,-0.07844741124517896,0.9873943700496292
ES,mad_D_2.0,D_h,15,953,952,tested,0.823888989575787,-0.360523076923038,-0.2684650185021383,0.9817143030583395
ES,mad_U_1.0,D_h,1,1091,1081,tested,0.8889809733182675,0.007733333333211097,-0.05405580805533342,0.9941481798145835
ES,mad_U_1.0,D_h,3,1091,1081,tested,0.879635093302232,-0.08955999999998313,-0.033128673010651255,0.9732529211643048
ES,mad_U_1.0,D_h,5,1091,1081,tested,0.7978527174938175,-0.0799642857143356,0.015702307493029366,0.9879038000652942
ES,mad_U_1.0,D_h,10,1091,1081,tested,0.940870138345542,-0.05162500000005821,-0.046717727725081204,0.9873943700496292
ES,mad_U_1.0,D_h,15,1091,1081,tested,0.9594512542582774,0.011599999999816646,0.051514777019292524,0.9817143030583395
ES,mad_U_1.5,D_h,1,1019,1010,tested,0.48127610794087694,-0.04727500000005117,0.047958571457115795,0.9941481798145835
ES,mad_U_1.5,D_h,3,1019,1010,tested,0.7443111653251896,-0.1119499999999789,-0.020804191685152143,0.9732529211643048
ES,mad_U_1.5,D_h,5,1019,1010,tested,0.7337854717474728,-0.10448666666658633,-0.02559025903453485,0.9879038000652942
ES,mad_U_1.5,D_h,10,1019,1010,tested,0.8858332768431126,0.028846666666746994,-0.048624659317383606,0.9873943700496292
ES,mad_U_1.5,D_h,15,1019,1010,tested,0.8298498539101112,0.05471666666683935,0.06288459920332229,0.9817143030583395
ES,mad_U_2.0,D_h,1,943,949,tested,0.6740091848879108,0.017400000000179716,0.04079558765685457,0.9941481798145835
ES,mad_U_2.0,D_h,3,943,949,tested,0.6316552550092243,0.017400000000179716,0.06581249060739841,0.9732529211643048
ES,mad_U_2.0,D_h,5,943,949,tested,0.8685105955177077,0.017400000000179716,-0.02825244600379457,0.9879038000652942
ES,mad_U_2.0,D_h,10,943,949,tested,0.7953965650829414,0.017400000000028133,0.0842259810374344,0.9873943700496292
ES,mad_U_2.0,D_h,15,943,949,tested,0.7194994402660664,0.017400000000179716,0.2025189514624799,0.9817143030583395
ES,mult_D_0.5,D_h,1,1139,1081,tested,0.1490235548254789,0.0,0.06982205369822622,0.9021881866704454
ES,mult_D_0.5,D_h,3,1139,1081,tested,0.6868801997480634,0.07142857142857142,0.047212652149028145,0.9732529211643048
ES,mult_D_0.5,D_h,5,1139,1081,tested,0.6818199853401687,0.0,0.0006684167055936996,0.9879038000652942
ES,mult_D_0.5,D_h,10,1139,1081,tested,0.6575958668254271,0.045454545454545456,0.07679658681399815,0.9873943700496292
ES,mult_D_0.5,D_h,15,1139,1081,tested,0.6085615618931632,-0.07142857142857142,-0.054651922051561996,0.9817143030583395
ES,mult_D_1.0,D_h,1,1050,997,tested,0.8695884939418166,0.0,0.10644476947209114,0.9941481798145835
ES,mult_D_1.0,D_h,3,1050,997,tested,0.8421697191295346,0.0,0.018848201299988432,0.9732529211643048
ES,mult_D_1.0,D_h,5,1050,997,tested,0.6405863865866743,0.0,0.129685639735726,0.9879038000652942
ES,mult_D_1.0,D_h,10,1050,997,tested,0.9256407285180576,0.0,0.04242133624684356,0.9873943700496292
ES,mult_D_1.0,D_h,15,1050,997,tested,0.9056372412779508,-0.12142857142857143,-0.1304089604858415,0.9817143030583395
ES,mult_D_1.5,D_h,1,968,934,tested,0.8602870130070415,0.0,0.0319320251205784,0.9941481798145835
ES,mult_D_1.5,D_h,3,968,934,tested,0.9590707601891086,0.0,-0.05550037716696871,0.9732529211643048
