instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,median_real,median_synth,p_bh
ES,mult_D_1.5,D_h,5,968,934,tested,0.9065592573573324,0.0,-0.024929002717979327,0.9879038000652942
ES,mult_D_1.5,D_h,10,968,934,tested,0.8608793115724529,-0.07983193277310924,-0.0977207092940868,0.9873943700496292
ES,mult_D_1.5,D_h,15,968,934,tested,0.9690558698008112,-0.2596153846153846,-0.17357203782557917,0.9817143030583395
ES,mult_D_2.0,D_h,1,917,843,tested,0.7721546464792384,0.0,-0.08151559048528725,0.9941481798145835
ES,mult_D_2.0,D_h,3,917,843,tested,0.9144645566494839,-0.2222222222222222,-0.18632797279327254,0.9732529211643048
ES,mult_D_2.0,D_h,5,917,843,tested,0.8353303044810231,-0.2,-0.22007818196548865,0.9879038000652942
ES,mult_D_2.0,D_h,10,917,843,tested,0.7547605654012303,-0.25,-0.10030557817071895,0.9873943700496292
ES,mult_D_2.0,D_h,15,917,843,tested,0.9694432129314086,-0.3333333333333333,-0.25535437899154867,0.9817143030583395
ES,mult_U_0.5,D_h,1,1154,1095,tested,0.6720808530982647,-0.0735930735930736,-0.014339977522467962,0.9941481798145835
ES,mult_U_0.5,D_h,3,1154,1095,tested,0.9021983905772993,-0.1,-0.08064828583731772,0.9732529211643048
ES,mult_U_0.5,D_h,5,1154,1095,tested,0.9441924021341772,-0.06521739130434782,-0.1295090836566877,0.9879038000652942
ES,mult_U_0.5,D_h,10,1154,1095,tested,0.9901255189463363,-0.1,-0.04882170340715675,0.9901255189463364
ES,mult_U_0.5,D_h,15,1154,1095,tested,0.8068924321342597,0.04252873563218391,0.01660063394365352,0.9817143030583395
ES,mult_U_1.0,D_h,1,1055,995,tested,0.2541812944752052,0.0,0.03961273165259627,0.9941481798145835
ES,mult_U_1.0,D_h,3,1055,995,tested,0.45617860729529625,-0.16666666666666666,-0.009104241583069475,0.9732529211643048
ES,mult_U_1.0,D_h,5,1055,995,tested,0.7576578063237291,-0.16129032258064516,-0.05427646996054136,0.9879038000652942
ES,mult_U_1.0,D_h,10,1055,995,tested,0.47323179279813665,-0.2,-0.029615774764351954,0.9873943700496292
ES,mult_U_1.0,D_h,15,1055,995,tested,0.9817143030583395,0.0,0.09566035375755746,0.9817143030583395
ES,mult_U_1.5,D_h,1,950,900,tested,0.9061082570878822,0.04700854700854701,0.053093050534016584,0.9941481798145835
ES,mult_U_1.5,D_h,3,950,900,tested,0.7803475480439148,0.03393665158371041,0.06197624847839079,0.9732529211643048
ES,mult_U_1.5,D_h,5,950,900,tested,0.8379615495986522,0.0,0.04026488194795093,0.9879038000652942
ES,mult_U_1.5,D_h,10,950,900,tested,0.912944083067418,0.0,0.048871958779063085,0.9873943700496292
ES,mult_U_1.5,D_h,15,950,900,tested,0.9094918461601963,0.08333333333333333,0.04944724293272884,0.9817143030583395
ES,mult_U_2.0,D_h,1,862,781,tested,0.9387038328498942,0.0,-0.006748575665513176,0.9941481798145835
ES,mult_U_2.0,D_h,3,862,781,tested,0.9063756643168035,0.0,0.004185334206340485,0.9732529211643048
ES,mult_U_2.0,D_h,5,862,781,tested,0.9514689677007707,0.0,0.09548711185717755,0.9879038000652942
ES,mult_U_2.0,D_h,10,862,781,tested,0.7764057692849454,0.0,0.14063917817475158,0.9873943700496292
ES,mult_U_2.0,D_h,15,862,781,tested,0.9786092017543779,0.0,0.11012817142204767,0.9817143030583395
ES,overnight_high,D_h,1,426,803,tested,0.9114518071033294,0.0,0.02339148332903278,0.9941481798145835
ES,overnight_high,D_h,3,426,803,tested,0.7056542161667709,0.1359447004608295,0.19029456724118582,0.9732529211643048
ES,overnight_high,D_h,5,426,803,tested,0.5478683694974742,0.25,0.14478148221792253,0.9879038000652942
ES,overnight_high,D_h,10,426,803,tested,0.9614103076799021,0.25,0.26955919362917485,0.9873943700496292
ES,overnight_high,D_h,15,426,803,tested,0.6082083645252756,0.25,0.22339148332903278,0.9817143030583395
ES,overnight_low,D_h,1,366,841,tested,0.10362872761715261,0.14285714285714285,-0.04331051256506018,0.9021881866704454
ES,overnight_low,D_h,3,366,841,tested,0.29622752060995694,0.0,-0.19395960492426337,0.9732529211643048
ES,overnight_low,D_h,5,366,841,tested,0.8083052863034952,0.0,-0.063863140874552,0.9879038000652942
ES,overnight_low,D_h,10,366,841,tested,0.7625943109740413,-0.29166666666666663,-0.17455124426927987,0.9873943700496292
ES,overnight_low,D_h,15,366,841,tested,0.7498912151589451,-0.2111111111111111,-0.21722454078998352,0.9817143030583395
ES,overnight_mid,D_h,1,648,873,tested,0.8068930853769223,0.0,-0.02668727779814617,0.9941481798145835
ES,overnight_mid,D_h,3,648,873,tested,0.7747038133038701,-0.10912698412698413,-0.06581914226542442,0.9732529211643048
ES,overnight_mid,D_h,5,648,873,tested,0.7049362636534121,-0.06904761904761905,-0.07825448878320458,0.9879038000652942
ES,overnight_mid,D_h,10,648,873,tested,0.9365323569430164,-0.125,-0.06216855251073462,0.9873943700496292
ES,overnight_mid,D_h,15,648,873,tested,0.6223025816137734,-0.125,-0.08268261438774971,0.9817143030583395
ES,overnight_open,D_h,1,454,839,tested,0.42666530673284697,-0.14285714285714285,-0.06533455298570819,0.9941481798145835
ES,overnight_open,D_h,3,454,839,tested,0.1833304844948087,-0.3,-0.02331203212712093,0.9732529211643048
ES,overnight_open,D_h,5,454,839,tested,0.28406084597938697,-0.16666666666666666,-0.019731860958927427,0.9879038000652942
ES,overnight_open,D_h,10,454,839,tested,0.1677696566083926,-0.2792207792207792,0.01606547148409076,0.9873943700496292
ES,overnight_open,D_h,15,454,839,tested,0.23039430898234803,-0.16233766233766234,0.027867412907168425,0.9817143030583395
ES,prior_close,D_h,1,347,808,tested,0.15759602443560294,0.0,-0.034671618194917514,0.9021881866704454
ES,prior_close,D_h,3,347,808,tested,0.7430768746913037,0.0,-0.017283121199882095,0.9732529211643048
ES,prior_close,D_h,5,347,808,tested,0.9424010974862205,-0.07692307692307693,0.0909941321621123,0.9879038000652942
ES,prior_close,D_h,10,347,808,tested,0.7031436487773649,-0.25806451612903225,0.07772073304139276,0.9873943700496292
ES,prior_close,D_h,15,347,808,tested,0.3839796640904459,0.15384615384615385,0.08238496524019345,0.9817143030583395
ES,prior_high,D_h,1,235,768,tested,0.9941481798145836,0.0,-0.012168124604448332,0.9941481798145835
ES,prior_high,D_h,3,235,768,tested,0.7920524403681004,-0.14285714285714285,0.007784645901718999,0.9732529211643048
ES,prior_high,D_h,5,235,768,tested,0.7233590768258128,0.11764705882352941,0.06943949656941935,0.9879038000652942
ES,prior_high,D_h,10,235,768,tested,0.3830675507164921,0.4,0.14108917934602988,0.9873943700496292
ES,prior_high,D_h,15,235,768,tested,0.5209135488165659,0.26666666666666666,0.12340681374689666,0.9817143030583395
ES,prior_low,D_h,1,185,822,tested,0.03713034633972323,0.14285714285714285,-0.10852424825513177,0.7834530763934564
ES,prior_low,D_h,3,185,822,tested,0.1138832260619499,0.0,-0.19292596694983577,0.9732529211643048
ES,prior_low,D_h,5,185,822,tested,0.177328011630287,0.125,-0.15572984885798896,0.9879038000652942
ES,prior_low,D_h,10,185,822,tested,0.443048361475181,0.0,-0.12051836753760199,0.9873943700496292
ES,prior_low,D_h,15,185,822,tested,0.37232664439409435,-0.2,-0.38586916633275903,0.9817143030583395
ES,prior_rth_mid,D_h,1,255,790,tested,0.6757898565890283,0.0,-0.019552461470993876,0.9941481798145835
ES,prior_rth_mid,D_h,3,255,790,tested,0.9732529211643048,0.0,0.03161113861203072,0.9732529211643048
ES,prior_rth_mid,D_h,5,255,790,tested,0.6880446376059275,0.14285714285714285,0.02202088189228056,0.9879038000652942
ES,prior_rth_mid,D_h,10,255,790,tested,0.5843239791258205,0.0,0.10025314955338319,0.9873943700496292
ES,prior_rth_mid,D_h,15,255,790,tested,0.3770623645061305,0.375,0.1086018671439754,0.9817143030583395
ES,prior_rth_vwap,D_h,1,269,799,tested,0.3178308407532128,-0.07918006615632055,0.02883909995216527,0.9941481798145835
ES,prior_rth_vwap,D_h,3,269,799,tested,0.34700191908324074,-0.11888104021932122,0.12109803693116798,0.9732529211643048
ES,prior_rth_vwap,D_h,5,269,799,tested,0.2358554853458168,-0.17492841039666018,0.061357748299005005,0.9879038000652942
ES,prior_rth_vwap,D_h,10,269,799,tested,0.609508504907144,-0.09980045947449981,0.12109803693116798,0.9873943700496292
ES,prior_rth_vwap,D_h,15,269,799,tested,0.5803828690966709,-0.00475176957934309,-0.0014888421087562165,0.9817143030583395
ES,q_D_p25,D_h,1,1152,974,tested,0.16619256070245048,0.0,0.04627920187976997,0.9021881866704454
ES,q_D_p25,D_h,3,1152,974,tested,0.1685479887261796,0.0,0.07568263506351892,0.9732529211643048
ES,q_D_p25,D_h,5,1152,974,tested,0.3212394988909921,-0.1,0.11551611993322694,0.9879038000652942
ES,q_D_p25,D_h,10,1152,974,tested,0.28963561172336705,0.0,0.22089527981938772,0.9873943700496292
ES,q_D_p25,D_h,15,1152,974,tested,0.3169011788955448,-0.19090909090909092,0.027742845481435664,0.9817143030583395
ES,q_D_p75,D_h,1,949,926,tested,0.5356778936355118,-0.03125,-0.020998546275071327,0.9941481798145835
ES,q_D_p75,D_h,3,949,926,tested,0.8375918603950281,-0.2222222222222222,-0.189044516373148,0.9732529211643048
ES,q_D_p75,D_h,5,949,926,tested,0.9506443406942634,-0.07142857142857142,-0.11673080948922537,0.9879038000652942
ES,q_D_p75,D_h,10,949,926,tested,0.8939497764319376,-0.2,-0.16544285360744954,0.9873943700496292
ES,q_D_p75,D_h,15,949,926,tested,0.9751232749127903,-0.225,-0.1495084678900596,0.9817143030583395
ES,q_D_p90,D_h,1,828,850,tested,0.5369829124005356,-0.03666666666680006,-0.0011109691014661663,0.9941481798145835
ES,q_D_p90,D_h,3,828,850,tested,0.7462943560141243,-0.2,-0.1778610298926651,0.9732529211643048
ES,q_D_p90,D_h,5,828,850,tested,0.6769396776902077,-0.2749999999996362,-0.13840180098048127,0.9879038000652942
ES,q_D_p90,D_h,10,828,850,tested,0.4848629165603996,-0.24605263157890905,-0.0951748219843413,0.9873943700496292
ES,q_D_p90,D_h,15,828,850,tested,0.7433967131933217,-0.2400000000001455,-0.2468191294815637,0.9817143030583395
ES,q_D_p95,D_h,1,745,844,tested,0.762070665084229,-0.016666666666424135,-0.1093640760514063,0.9941481798145835
ES,q_D_p95,D_h,3,745,844,tested,0.5964259991024339,-0.17142857142867537,-0.20226600182140828,0.9732529211643048
ES,q_D_p95,D_h,5,745,844,tested,0.9721641711335156,-0.14374999999995453,-0.19235212958240783,0.9879038000652942
ES,q_D_p95,D_h,10,745,844,tested,0.3109959075936741,-0.35294117647058826,-0.1795295421432701,0.9873943700496292
ES,q_D_p95,D_h,15,745,844,tested,0.781683279673934,-0.2875000000003638,-0.23260562947221583,0.9817143030583395
ES,q_U_p25,D_h,1,1151,1044,tested,0.5190222436337615,-0.1111111111111111,-0.054219509820328915,0.9941481798145835
ES,q_U_p25,D_h,3,1151,1044,tested,0.6960784305304208,-0.15,-0.08934096539753061,0.9732529211643048
ES,q_U_p25,D_h,5,1151,1044,tested,0.45872622429148024,0.0,0.007679901640301523,0.9879038000652942
ES,q_U_p25,D_h,10,1151,1044,tested,0.6323995466819348,-0.125,-0.05654264059903187,0.9873943700496292
ES,q_U_p25,D_h,15,1151,1044,tested,0.5678112320753442,0.0,0.08733303341093482,0.9817143030583395
ES,q_U_p75,D_h,1,932,908,tested,0.4682533955964775,0.0,0.10956366294971565,0.9941481798145835
ES,q_U_p75,D_h,3,932,908,tested,0.6217567671585246,0.02586206896551724,0.08315518390625198,0.9732529211643048
ES,q_U_p75,D_h,5,932,908,tested,0.5372788538098792,0.0,0.022091249551538013,0.9879038000652942
ES,q_U_p75,D_h,10,932,908,tested,0.6125486480101874,0.0,-0.015953541294129535,0.9873943700496292
ES,q_U_p75,D_h,15,932,908,tested,0.6020561398547306,0.0,0.0608401934666848,0.9817143030583395
ES,q_U_p90,D_h,1,792,779,tested,0.49444912712299016,-0.013392857142775938,0.022759277549994295,0.9941481798145835
ES,q_U_p90,D_h,3,792,779,tested,0.675977919310931,0.0,0.13675207103066592,0.9732529211643048
ES,q_U_p90,D_h,5,792,779,tested,0.6750024004277347,0.047435897435854295,0.1306293781938924,0.9879038000652942
ES,q_U_p90,D_h,10,792,779,tested,0.9581730740829605,0.09396914446003571,0.17379301933501015,0.9873943700496292
ES,q_U_p90,D_h,15,792,779,tested,0.9624278404773821,0.021875000000022737,0.04813956620351486,0.9817143030583395
ES,q_U_p95,D_h,1,711,774,tested,0.8729116575426212,-0.0062499999999090505,0.03608521951853688,0.9941481798145835
ES,q_U_p95,D_h,3,711,774,tested,0.9627537307658162,0.0,0.16288563652881294,0.9732529211643048
ES,q_U_p95,D_h,5,711,774,tested,0.7804011293191538,-0.009090909090942163,0.0620333249066789,0.9879038000652942
ES,q_U_p95,D_h,10,711,774,tested,0.902575340373612,0.32500000000012125,0.2270724889206946,0.9873943700496292
ES,q_U_p95,D_h,15,711,774,tested,0.7743648815753303,0.17999999999992725,0.04010715020705306,0.9817143030583395
ES,vwap_on_j+0,D_h,1,700,876,tested,0.9440059468361671,-0.009940020857227085,0.020155834873383523,0.9941481798145835
ES,vwap_on_j+0,D_h,3,700,876,tested,0.9431193514191933,0.09282674844811742,0.015414661158744517,0.9732529211643048
ES,vwap_on_j+0,D_h,5,700,876,tested,0.6330036509686455,0.07106061369946864,0.03728284742076843,0.9879038000652942
ES,vwap_on_j+0,D_h,10,700,876,tested,0.7099680029990301,0.1299690990138212,0.04211303414463903,0.9873943700496292
ES,vwap_on_j+0,D_h,15,700,876,tested,0.6789504551735224,0.09197207655035361,0.10511397566399085,0.9817143030583395
ES,vwap_on_j+1,D_h,1,657,859,tested,0.9929154187721195,-0.06152730508893001,0.03151828788425822,0.9941481798145835
ES,vwap_on_j+1,D_h,3,657,859,tested,0.38213888593879464,0.07236009027534844,0.09943671718838232,0.9732529211643048
ES,vwap_on_j+1,D_h,5,657,859,tested,0.24321854472676352,0.06801927971052162,0.03070608686812193,0.9879038000652942
ES,vwap_on_j+1,D_h,10,657,859,tested,0.14461644893154646,0.287395473601282,0.07143047734643915,0.9873943700496292
ES,vwap_on_j+1,D_h,15,657,859,tested,0.2109640486734653,0.27115467198321613,0.0022016487613048716,0.9817143030583395
ES,vwap_on_j+2,D_h,1,418,793,tested,0.16032784528547428,0.14720462047458283,0.04559588891061139,0.9021881866704454
ES,vwap_on_j+2,D_h,3,418,793,tested,0.2969799243168273,0.28747898808684447,0.20404807985895396,0.9732529211643048
ES,vwap_on_j+2,D_h,5,418,793,tested,0.3076723188033891,0.18282912234551602,0.13628183482978784,0.9879038000652942
ES,vwap_on_j+2,D_h,10,418,793,tested,0.1773336168463776,0.47350199011214045,0.2251954250344473,0.9873943700496292
ES,vwap_on_j+2,D_h,15,418,793,tested,0.3685788123383701,0.38112114583843015,0.19965782381435324,0.9817143030583395
ES,vwap_on_j+3,D_h,1,202,773,tested,0.943290976223314,-0.0147399605698824,0.02849088958728003,0.9941481798145835
ES,vwap_on_j+3,D_h,3,202,773,tested,0.690185103072452,-0.08940310417334071,0.04271075027039236,0.9732529211643048
ES,vwap_on_j+3,D_h,5,202,773,tested,0.5093500497998158,0.32142761001573317,0.07435789657231201,0.9879038000652942
ES,vwap_on_j+3,D_h,10,202,773,tested,0.08162857406774038,0.4367083948240439,0.14429859113370186,0.9873943700496292
ES,vwap_on_j+3,D_h,15,202,773,tested,0.0727575098690878,0.7225727148223251,0.15618794526053534,0.9817143030583395
ES,vwap_on_j-1,D_h,1,595,884,tested,0.9471880566487305,-0.11825180110645306,-0.11670775521848295,0.9941481798145835
ES,vwap_on_j-1,D_h,3,595,884,tested,0.9552960851752464,-0.23138474631414283,-0.23742359318897308,0.9732529211643048
ES,vwap_on_j-1,D_h,5,595,884,tested,0.45087911228981536,-0.09080948965557208,-0.07747731611705908,0.9879038000652942
ES,vwap_on_j-1,D_h,10,595,884,tested,0.4522222418585272,-0.2325065170216476,0.03838951628066362,0.9873943700496292
ES,vwap_on_j-1,D_h,15,595,884,tested,0.7932938991776535,-0.17740022612415488,-0.10010188381821583,0.9817143030583395
ES,vwap_on_j-2,D_h,1,385,850,tested,0.04123437244176086,0.16893350861540635,-0.027375055843625283,0.7834530763934564
ES,vwap_on_j-2,D_h,3,385,850,tested,0.5013605761268942,-0.014955625324364518,-0.11707469946577476,0.9732529211643048
ES,vwap_on_j-2,D_h,5,385,850,tested,0.9536434774586595,-0.025556403866046042,-0.03395749512835917,0.9879038000652942
ES,vwap_on_j-2,D_h,10,385,850,tested,0.9521343833699883,-0.15832404359662178,-0.06577050600162693,0.9873943700496292
ES,vwap_on_j-2,D_h,15,385,850,tested,0.6537152757846996,-0.3486260775327817,-0.21457190490952727,0.9817143030583395
ES,vwap_on_j-3,D_h,1,213,845,tested,0.2868175885265979,-0.20170169263838034,-0.04370409898328944,0.9941481798145835
ES,vwap_on_j-3,D_h,3,213,845,tested,0.9505821834604958,-0.3901240966375553,-0.20395684230315964,0.9732529211643048
ES,vwap_on_j-3,D_h,5,213,845,tested,0.27374195346043895,-0.6150291915016298,-0.21328434263289506,0.9879038000652942
ES,vwap_on_j-3,D_h,10,213,845,tested,0.19137986935999562,-0.8653641837154282,-0.00950853407786261,0.9873943700496292
ES,vwap_on_j-3,D_h,15,213,845,tested,0.6980806539249007,-0.7177048523112717,-0.16514890009602823,0.9817143030583395
NQ,mad_D_1.0,D_h,1,1057,1057,tested,0.9922104174996967,-0.09347142857144977,-0.06282335704047,0.9922104174996967
NQ,mad_D_1.0,D_h,3,1057,1057,tested,0.9082617881828692,0.004889230769297753,-0.04302516660315852,0.9830235233716444
NQ,mad_D_1.0,D_h,5,1057,1057,tested,0.9398432461997887,0.035746511627938925,0.018184428729247144,0.9528256122705654
NQ,mad_D_1.0,D_h,10,1057,1057,tested,0.9364986350169171,0.20224631578940286,0.2162108785880264,0.9994710548560781
NQ,mad_D_1.0,D_h,15,1057,1057,tested,0.9219435679921351,-0.09966153846158145,-0.16311733358522743,0.9966175799819441
NQ,mad_D_1.5,D_h,1,985,973,tested,0.7255548819823386,-0.03032656250002219,-0.004473030835924874,0.9922104174996967
NQ,mad_D_1.5,D_h,3,985,973,tested,0.605258481464799,-0.00903827160486181,0.05380169327431109,0.9830235233716444
NQ,mad_D_1.5,D_h,5,985,973,tested,0.6897073223229512,0.06673707865166159,0.1696791660685752,0.9528256122705654
NQ,mad_D_1.5,D_h,10,985,973,tested,0.8805916222476153,0.24154769230763823,0.25137248200767587,0.9994710548560781
NQ,mad_D_1.5,D_h,15,985,973,tested,0.8168450577199231,0.053619767441908384,-0.024179003084758857,0.9966175799819441
NQ,mad_D_2.0,D_h,1,910,911,tested,0.8760120476500847,-0.0589406196213484,-0.054570124744134446,0.9922104174996967
NQ,mad_D_2.0,D_h,3,910,911,tested,0.8860685394328693,0.02833694620248992,0.03805711028369349,0.9830235233716444
NQ,mad_D_2.0,D_h,5,910,911,tested,0.9388633195239575,0.05593784989858611,0.07716544960259104,0.9528256122705654
NQ,mad_D_2.0,D_h,10,910,911,tested,0.7400432392709934,0.2924105300105724,0.141936022066927,0.9994710548560781
NQ,mad_D_2.0,D_h,15,910,911,tested,0.9060231892403696,-0.04059753086415713,-0.12242393099231555,0.9966175799819441
NQ,mad_U_1.0,D_h,1,1083,1081,tested,0.9079179721126407,0.09937590361447972,0.13488545577139718,0.9922104174996967
NQ,mad_U_1.0,D_h,3,1083,1081,tested,0.8514844605588314,0.08905432098757125,0.0982236093906651,0.9830235233716444
NQ,mad_U_1.0,D_h,5,1083,1081,tested,0.7555845130336349,0.1884537313432987,0.20018641403070292,0.9528256122705654
NQ,mad_U_1.0,D_h,10,1083,1081,tested,0.8157757237858966,0.08165853658532042,0.1598919949067819,0.9994710548560781
NQ,mad_U_1.0,D_h,15,1083,1081,tested,0.6970964200828257,0.19416571428571064,0.2663763929862319,0.9966175799819441
NQ,mad_U_1.5,D_h,1,999,1002,tested,0.8216264852928614,0.15639375000000655,0.1542413449319951,0.9922104174996967
NQ,mad_U_1.5,D_h,3,999,1002,tested,0.9097103862771487,0.14674999999988358,0.16731064832471723,0.9830235233716444
NQ,mad_U_1.5,D_h,5,999,1002,tested,0.9528256122705655,0.25060439560431885,0.17506251231966707,0.9528256122705654
NQ,mad_U_1.5,D_h,10,999,1002,tested,0.8612010768380833,0.11036052631588016,0.1252106152433779,0.9994710548560781
NQ,mad_U_1.5,D_h,15,999,1002,tested,0.9759550568709618,0.19087684210527714,0.16020510725426382,0.9966175799819441
NQ,mad_U_2.0,D_h,1,931,929,tested,0.9122016386998443,0.14515897435903286,0.12098095945656201,0.9922104174996967
NQ,mad_U_2.0,D_h,3,931,929,tested,0.9529046000077281,0.15918888888882066,0.10021807300911272,0.9830235233716444
NQ,mad_U_2.0,D_h,5,931,929,tested,0.8561136806645941,0.0709837837837456,0.1318605347461064,0.9528256122705654
NQ,mad_U_2.0,D_h,10,931,929,tested,0.9819515857618275,0.0921268292683332,0.06665580980680298,0.9994710548560781
NQ,mad_U_2.0,D_h,15,931,929,tested,0.9193265151801908,0.030188235294190235,0.03711184045382789,0.9966175799819441
NQ,mult_D_0.5,D_h,1,1121,1077,tested,0.9321172974823699,-0.07575757575757576,-0.07278258352981241,0.9922104174996967
NQ,mult_D_0.5,D_h,3,1121,1077,tested,0.8361123652788689,-0.010638297872340425,0.028859649466279995,0.9830235233716444
NQ,mult_D_0.5,D_h,5,1121,1077,tested,0.8812486419911915,0.016129032258064516,-0.007259989414843872,0.9528256122705654
NQ,mult_D_0.5,D_h,10,1121,1077,tested,0.9031997665048179,0.09574468085106383,0.24932681035613366,0.9994710548560781
NQ,mult_D_0.5,D_h,15,1121,1077,tested,0.9465051215895511,-0.15306122448979592,-0.0981473661702598,0.9966175799819441
NQ,mult_D_1.0,D_h,1,1037,982,tested,0.5537173482849536,-0.09090909090909091,-0.07009520744965779,0.9922104174996967
NQ,mult_D_1.0,D_h,3,1037,982,tested,0.3967840324335318,0.02127659574468085,0.0827993109012502,0.9830235233716444
NQ,mult_D_1.0,D_h,5,1037,982,tested,0.5183981996746508,0.037037037037037035,0.08775121102276205,0.9528256122705654
NQ,mult_D_1.0,D_h,10,1037,982,tested,0.654872286285618,0.19298245614035087,0.34036383417571536,0.9994710548560781
NQ,mult_D_1.0,D_h,15,1037,982,tested,0.6802668804998444,-0.09433962264150944,0.07748082225407793,0.9966175799819441
