instrument,level_id,cluster_rate,real_isolated_rate,synthetic_isolated_rate,pair_separated_rate
ES,mad_D_1.0,0.4816924328722539,0.0,0.0,0.6384976525821596
ES,mad_D_1.5,0.3775427176566314,0.0,0.0,0.6166166166166166
ES,mad_D_2.0,0.49959316517493896,0.0,0.0,0.6841552990556139
ES,mad_U_1.0,0.48413344182262,0.0009157509157509158,0.0,0.6565934065934066
ES,mad_U_1.5,0.38812042310821804,0.0,0.0,0.6362745098039215
ES,mad_U_2.0,0.51586655817738,0.0,0.0,0.701271186440678
ES,mult_D_0.5,0.7453213995117982,0.0,0.0,0.7859649122807018
ES,mult_D_1.0,0.4255492270138324,0.0,0.0,0.7933333333333333
ES,mult_D_1.5,0.5174938974776241,0.0,0.0,0.8068181818181818
ES,mult_D_2.0,0.36208299430431246,0.0,0.0,0.8854961832061069
ES,mult_U_0.5,0.6810414971521562,0.0017316017316017316,0.0,0.8077922077922078
ES,mult_U_1.0,0.4312449145646867,0.0,0.0,0.7964015151515151
ES,mult_U_1.5,0.5598047192839707,0.0,0.0,0.8065194532071503
ES,mult_U_2.0,0.29292107404393813,0.0011587485515643105,0.0012787723785166241,0.9073001158748552
ES,overnight_high,0.13168086754453912,0.07036247334754797,0.0012437810945273632,0.8403755868544601
ES,overnight_low,0.08210689388071263,0.09585492227979274,0.0,0.8852459016393442
ES,overnight_mid,0.2168861347792409,0.061711079943899017,0.0,0.901386748844376
ES,overnight_open,0.15259488768396592,0.05725971370143149,0.0011904761904761906,0.9096916299559471
ES,prior_close,0.11726907630522089,0.08021390374331551,0.002472187886279357,0.9080459770114943
ES,prior_high,0.08032128514056225,0.09578544061302682,0.0039011703511053317,0.902542372881356
ES,prior_low,0.04899598393574297,0.12371134020618557,0.0024330900243309003,0.9027027027027027
ES,prior_rth_mid,0.08433734939759036,0.06985294117647059,0.0025284450063211127,0.9137254901960784
ES,prior_rth_vwap,0.09558232931726908,0.04929577464788732,0.0025,0.9368029739776952
ES,q_D_p25,0.7917005695687551,0.0008680555555555555,0.0,0.6840277777777778
ES,q_D_p75,0.49877949552481693,0.0,0.0,0.7123287671232876
ES,q_D_p90,0.10740439381611067,0.00966183574879227,0.0,0.856280193236715
ES,q_D_p95,0.08136696501220504,0.01879194630872483,0.001184834123222749,0.938255033557047
ES,q_U_p25,0.7819365337672904,0.0008680555555555555,0.0,0.6666666666666666
ES,q_U_p75,0.4898291293734744,0.0,0.0,0.6720257234726688
ES,q_U_p90,0.16354759967453214,0.01008827238335435,0.0,0.7831021437578815
ES,q_U_p95,0.08462164361269324,0.016853932584269662,0.0025806451612903226,0.8623595505617978
ES,vwap_on_j+0,0.24167312161115415,0.06145966709346991,0.0,0.8744650499286734
ES,vwap_on_j+1,0.20061967467079783,0.11924119241192412,0.002325581395348837,0.8738601823708206
ES,vwap_on_j+2,0.10534469403563129,0.10964912280701754,0.0012594458438287153,0.8615751789976134
ES,vwap_on_j+3,0.017815646785437646,0.37962962962962965,0.002583979328165375,0.9455445544554455
ES,vwap_on_j-1,0.17428350116189,0.08006042296072508,0.0011312217194570137,0.8521008403361344
ES,vwap_on_j-2,0.08210689388071263,0.14460784313725492,0.001176470588235294,0.9064935064935065
ES,vwap_on_j-3,0.024012393493415957,0.3194444444444444,0.0,0.9671361502347418
NQ,mad_D_1.0,0.4278728606356968,0.0,0.0,0.619678334910123
NQ,mad_D_1.5,0.39853300733496333,0.0,0.0,0.6588832487309645
NQ,mad_D_2.0,0.4417277913610432,0.0,0.0,0.6802197802197802
NQ,mad_U_1.0,0.41646291768541155,0.0009225092250922509,0.0,0.6042435424354243
NQ,mad_U_1.5,0.41157294213528933,0.001,0.0,0.635
NQ,mad_U_2.0,0.5281173594132029,0.0,0.0,0.6738197424892703
NQ,mult_D_0.5,0.60880195599022,0.00089126559714795,0.0,0.8012477718360071
NQ,mult_D_1.0,0.4743276283618582,0.0,0.0,0.7974927675988428
NQ,mult_D_1.5,0.5077424612876935,0.0,0.0,0.8202959830866807
NQ,mult_D_2.0,0.3691931540342298,0.0011376564277588168,0.0024906600249066002,0.9055745164960182
NQ,mult_U_0.5,0.6992665036674817,0.0,0.0,0.7843996494303243
NQ,mult_U_1.0,0.46862265688671556,0.0,0.000998003992015968,0.8003820439350525
NQ,mult_U_1.5,0.6145069274653626,0.0,0.0,0.7962577962577962
NQ,mult_U_2.0,0.3471882640586797,0.0011402508551881414,0.0037926675094816687,0.8905359179019384
NQ,overnight_high,0.18231186966640806,0.05947955390334572,0.001218026796589525,0.8208661417322834
NQ,overnight_low,0.12335143522110163,0.07322175732217573,0.0,0.8473451327433629
NQ,overnight_mid,0.26144297905352987,0.05449936628643853,0.0,0.8757062146892656
NQ,overnight_open,0.19317300232738557,0.050699300699300696,0.0011806375442739079,0.8888888888888888
NQ,prior_close,0.13274336283185842,0.05092592592592592,0.0012224938875305623,0.9341772151898734
NQ,prior_high,0.08527755430410297,0.08223684210526316,0.0012626262626262627,0.9074074074074074
NQ,prior_low,0.05229283990345937,0.16740088105726872,0.0,0.9342723004694836
NQ,prior_rth_mid,0.10699919549477072,0.05757575757575758,0.0012406947890818859,0.8974358974358975
NQ,prior_rth_vwap,0.11263073209975864,0.08333333333333333,0.0,0.9394904458598726
NQ,q_D_p25,0.6373268133659332,0.0008818342151675485,0.0,0.6790123456790124
NQ,q_D_p75,0.5061124694376528,0.001091703056768559,0.0,0.6462882096069869
NQ,q_D_p90,0.18663406682966585,0.012345679012345678,0.0,0.817283950617284
NQ,q_D_p95,0.11572942135289324,0.017857142857142856,0.0012376237623762376,0.8928571428571429
NQ,q_U_p25,0.7432762836185819,0.0,0.0020942408376963353,0.6771929824561403
NQ,q_U_p75,0.5533822330888346,0.0,0.0,0.6663124335812965
NQ,q_U_p90,0.2396088019559902,0.004920049200492005,0.0,0.7847478474784748
NQ,q_U_p95,0.09046454767726161,0.023224043715846996,0.0,0.8565573770491803
NQ,vwap_on_j+0,0.29712955779674166,0.04132231404958678,0.0022271714922048997,0.8731642189586115
NQ,vwap_on_j+1,0.26764934057408846,0.10473815461346633,0.0011441647597254005,0.8567415730337079
NQ,vwap_on_j+2,0.17377812257564004,0.09461966604823747,0.0,0.7698412698412699
NQ,vwap_on_j+3,0.047323506594259115,0.2761904761904762,0.002531645569620253,0.9377049180327869
NQ,vwap_on_j-1,0.23506594259115593,0.07806191117092867,0.0,0.8403614457831325
NQ,vwap_on_j-2,0.1365399534522886,0.12524461839530332,0.002403846153846154,0.8526970954356846
NQ,vwap_on_j-3,0.0395655546935609,0.2379421221864952,0.0024691358024691358,0.9463087248322147
